gene	wave34_score	wave34_call	failed_gates	gwas_catalog_trait_count	gwas_catalog_min_p	gwas_catalog_traits	local_positive_disease_count	local_negative_disease_count	positive_diseases	residual_retained_disease_count	ms_anchor	ms_wm_delta_log2	ms_wm_p	genetics_ready_score	ot_n_diseases_score_ge_0_5	gtex_n_relevant_tissues_with_significant_cis_eqtl	druggable_activity_count	chembl_target_id	chembl_pref_name	chembl_target_type	chembl_best_nM	clinicaltrials_autoimmune_count	europepmc_autoimmune_hit_count	perturbation_or_model_support	foundation_rescue_recommendation	foundation_real_perturbation_alignment_call	manual_blocker_class	manual_blocker_text_wave34	proxy_call	primary_blocker
SP140	21.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	gate_druggable_surface;gate_perturbation_or_model	8	3e-33	Cholangiocarcinoma in primary sclerosing cholangitis (time to event);Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Colorectal cancer vs inflammatory bowel disease;Crohn's disease;Inflammatory bowel disease;Multiple sclerosis;Multiple sclerosis (MTAG);Psoriasis	4.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	1.0	False	-0.0867628128456026	0.7262224269643743				0.0	CHEMBL3108643	Nuclear body protein SP140	SINGLE PROTEIN		0.0	338.0	False						
STAT4	15.5	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model;gate_not_prior_art_blocked	31	1e-160	Autoimmune thyroid disease;B-cell lymphoblastic leukemia or rheumatoid arthritis (pleiotropy);Celiac disease;Celiac disease and Rheumatoid arthritis;Celiac disease or Rheumatoid arthritis;Crohn's disease;Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS));Graves' disease;Hashimoto thyroiditis;Hypothyroidism or rheumatoid arthritis (pleiotropy);Inflammatory bowel disease;Lupus (localized and systemic) (PheCode 695.4);Lymphocytic thyroiditis;Multiple sclerosis;Primary biliary cholangitis;Primary biliary cirrhosis;Rheumatoid arthritis;Rheumatoid arthritis (ACPA-positive);Rheumatoid arthritis (MTAG);Rheumatoid arthritis (rheumatoid factor and anti-cyclic citrullinated peptide seronegative);Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive);Severe COVID-19 or systemic lupus erythematosus;Sjögren's syndrome;Systemic lupus erythematosus;Systemic lupus erythematosus (MTAG)	2.0	0.0	Crohn disease;ulcerative colitis	0.0	False	0.8684079555977076	0.4607005214454064				0.0	CHEMBL4523296	Signal transducer and activator of transcription 4	SINGLE PROTEIN		5.0	7269.0	False						
DAP	15.5	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	gate_druggable_surface;gate_perturbation_or_model;gate_not_prior_art_blocked	6	3e-14	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Inflammatory bowel disease;Rheumatoid arthritis;Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive);Ulcerative colitis	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis	2.0	True	0.3933456450044126	0.0080691967127082	0.0	0.0	0.0	0.0	CHEMBL3123	Death-associated protein kinase 2	SINGLE PROTEIN		22.0	3004.0	False	do_not_promote	model_contradicted_by_gse162463_screen			NO_GO_CAUSAL_PROXY	no_target_resolved_coloc_or_mr
RGS14	15.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	7	3e-21	Atopic dermatitis;Crohn's disease;Inflammatory bowel disease;Multiple sclerosis;Palmoplantar pustulosis;Psoriasis;Ulcerative colitis	1.0	0.0	Crohn disease	0.0	False	-0.5035394425450566	0.0463387063426136				0.0					0.0	0.0	False						
PARK7	13.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	gate_druggable_surface;gate_perturbation_or_model	5	1e-15	Celiac disease;Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Inflammatory bowel disease;Ulcerative colitis	3.0	0.0	Sjogren syndrome;psoriasis;ulcerative colitis	0.0	False	0.1710418567143854	0.4469378955677691				0.0					0.0	0.0	False						
FAM49B	5.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_druggable_surface;gate_perturbation_or_model	1	2e-10	Rheumatoid arthritis	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis	0.0	False	0.1048061004481475	0.3462797066387407				0.0					0.0	0.0	False						
LYN	5.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_druggable_surface;gate_perturbation_or_model	1	4e-08	Systemic lupus erythematosus	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis	0.0	False	0.1003572031246236	0.4510979646191576				0.0					0.0	0.0	False						
DAB2	0.5999999999999996	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_druggable_surface;gate_perturbation_or_model	1	8e-06	Systemic lupus erythematosus	0.0	3.0		0.0	True	0.5378984279794476	0.0111306912319104				0.0					0.0	0.0	False						
