Sample_ID	SegmentDisplayName	geo_accession	series	title	location	Type_main	Patient_ID	Slide.Name	Run	is_ms	in_author_figure4	dcc_gz_name	dcc_deposited	slide name	available_qc_pass	gene_detection_rate	retained_after_reconstructible_qc
DSP-1001660021304-C-A02	DSP-1001660021304-C-A02	GSM8210328	GSE264094	MS3a_NAWM_rep1	nawm/ppwm	NAWM_PPWM	MS3	DSP-1001660021304-C	GSE264094	True	False	GSM8210328_DSP-1001660021304-C-A02.dcc.gz	True	DSP-1001660021304-C	TRUE	0.0432617658082133	FALSE
DSP-1001660021304-C-C12	DSP-1001660021304-C-C12	GSM8210329	GSE264094	MS9_RIM_rep1	lesion rim	BRL_RIM	MS9	DSP-1001660021304-C	GSE264094	True	False	GSM8210329_DSP-1001660021304-C-C12.dcc.gz	True	DSP-1001660021304-C	TRUE	0.0270921454194999	FALSE
DSP-1001660021304-C-D02	DSP-1001660021304-C-D02	GSM8210330	GSE264094	MS9_RIM_rep2	lesion rim	BRL_RIM	MS9	DSP-1001660021304-C	GSE264094	True	True	GSM8210330_DSP-1001660021304-C-D02.dcc.gz	True	DSP-1001660021304-C	TRUE	0.030840070675162	FALSE
DSP-1001660021304-C-D04	DSP-1001660021304-C-D04	GSM8210331	GSE264094	MS9_RIM_rep3	lesion rim	BRL_RIM	MS9	DSP-1001660021304-C	GSE264094	True	True	GSM8210331_DSP-1001660021304-C-D04.dcc.gz	True	DSP-1001660021304-C	TRUE	0.0410130106548161	FALSE
DSP-1001660021304-C-D06	DSP-1001660021304-C-D06	GSM8210332	GSE264094	MS9_RIM_rep4	lesion rim	BRL_RIM	MS9	DSP-1001660021304-C	GSE264094	True	True	GSM8210332_DSP-1001660021304-C-D06.dcc.gz	True	DSP-1001660021304-C	TRUE	0.0420838464421481	FALSE
DSP-1001660021304-C-D08	DSP-1001660021304-C-D08	GSM8210333	GSE264094	MS9_NAWM_rep1	nawm/ppwm	NAWM_PPWM	MS9	DSP-1001660021304-C	GSE264094	True	False	GSM8210333_DSP-1001660021304-C-D08.dcc.gz	True	DSP-1001660021304-C	TRUE	0.0291267334154307	FALSE
DSP-1001660021304-C-D10	DSP-1001660021304-C-D10	GSM8210334	GSE264094	MS9_NAWM_rep2	nawm/ppwm	NAWM_PPWM	MS9	DSP-1001660021304-C	GSE264094	True	False	GSM8210334_DSP-1001660021304-C-D10.dcc.gz	True	DSP-1001660021304-C	TRUE	0.0358194570862558	FALSE
DSP-1001660021304-C-D12	DSP-1001660021304-C-D12	GSM8210335	GSE264094	MS9_NAWM_rep3	nawm/ppwm	NAWM_PPWM	MS9	DSP-1001660021304-C	GSE264094	True	False	GSM8210335_DSP-1001660021304-C-D12.dcc.gz	True	DSP-1001660021304-C	TRUE	0.0251646410023023	FALSE
DSP-1001660021304-C-E02	DSP-1001660021304-C-E02	GSM8210336	GSE264094	MS9_NAWM_rep4	nawm/ppwm	NAWM_PPWM	MS9	DSP-1001660021304-C	GSE264094	True	False	GSM8210336_DSP-1001660021304-C-E02.dcc.gz	True	DSP-1001660021304-C	TRUE	0.0555228355731649	TRUE
DSP-1001660021304-C-E04	DSP-1001660021304-C-E04	GSM8210337	GSE264094	MS16a_RIM_rep1	lesion rim	BRL_RIM	MS16	DSP-1001660021304-C	GSE264094	True	False	GSM8210337_DSP-1001660021304-C-E04.dcc.gz	True	DSP-1001660021304-C	TRUE	0.0296621513090967	FALSE
DSP-1001660021304-C-E06	DSP-1001660021304-C-E06	GSM8210338	GSE264094	MS16a_RIM_rep2	lesion rim	BRL_RIM	MS16	DSP-1001660021304-C	GSE264094	True	True	GSM8210338_DSP-1001660021304-C-E06.dcc.gz	True	DSP-1001660021304-C	TRUE	0.037265085399154	FALSE
DSP-1001660021304-C-E08	DSP-1001660021304-C-E08	GSM8210339	GSE264094	MS16a_RIM_rep3	lesion rim	BRL_RIM	MS16	DSP-1001660021304-C	GSE264094	True	True	GSM8210339_DSP-1001660021304-C-E08.dcc.gz	True	DSP-1001660021304-C	TRUE	0.03512341382449	FALSE
DSP-1001660021304-C-E10	DSP-1001660021304-C-E10	GSM8210340	GSE264094	MS16a_RIM_rep4	lesion rim	BRL_RIM	MS16	DSP-1001660021304-C	GSE264094	True	False	GSM8210340_DSP-1001660021304-C-E10.dcc.gz	True	DSP-1001660021304-C	TRUE	0.0283236065749317	FALSE
DSP-1001660021304-C-E12	DSP-1001660021304-C-E12	GSM8210341	GSE264094	MS16a_NAWM_rep1	nawm/ppwm	NAWM_PPWM	MS16	DSP-1001660021304-C	GSE264094	True	False	GSM8210341_DSP-1001660021304-C-E12.dcc.gz	True	DSP-1001660021304-C	TRUE	0.0491513626385394	FALSE
DSP-1001660021304-C-F02	DSP-1001660021304-C-F02	GSM8210342	GSE264094	MS16a_NAWM_rep2	nawm/ppwm	NAWM_PPWM	MS16	DSP-1001660021304-C	GSE264094	True	False	GSM8210342_DSP-1001660021304-C-F02.dcc.gz	True	DSP-1001660021304-C	TRUE	0.0357659152968892	FALSE
DSP-1001660021304-C-F04	DSP-1001660021304-C-F04	GSM8210343	GSE264094	MS16a_NAWM_rep3	nawm/ppwm	NAWM_PPWM	MS16	DSP-1001660021304-C	GSE264094	True	False	GSM8210343_DSP-1001660021304-C-F04.dcc.gz	True	DSP-1001660021304-C	TRUE	0.0304117363602292	FALSE
DSP-1001660021304-C-F06	DSP-1001660021304-C-F06	GSM8210344	GSE264094	MS16a_NAWM_rep4	nawm/ppwm	NAWM_PPWM	MS16	DSP-1001660021304-C	GSE264094	True	False	GSM8210344_DSP-1001660021304-C-F06.dcc.gz	True	DSP-1001660021304-C	TRUE	0.0282700647855651	FALSE
DSP-1001660021304-C-H04	DSP-1001660021304-C-H04	GSM8210345	GSE264094	MS3b_RIM_rep1	lesion rim	BRL_RIM	MS3	DSP-1001660021304-C	GSE264094	True	True	GSM8210345_DSP-1001660021304-C-H04.dcc.gz	True	DSP-1001660021304-C	TRUE	0.047330941800075	FALSE
DSP-1001660021304-C-H06	DSP-1001660021304-C-H06	GSM8210346	GSE264094	MS3b_RIM_rep2	lesion rim	BRL_RIM	MS3	DSP-1001660021304-C	GSE264094	True	True	GSM8210346_DSP-1001660021304-C-H06.dcc.gz	True	DSP-1001660021304-C	TRUE	0.046527814959576	FALSE
DSP-1001660021304-C-H08	DSP-1001660021304-C-H08	GSM8210347	GSE264094	MS3b_NAWM_rep1	nawm/ppwm	NAWM_PPWM	MS3	DSP-1001660021304-C	GSE264094	True	False	GSM8210347_DSP-1001660021304-C-H08.dcc.gz	True	DSP-1001660021304-C	TRUE	0.0500615730577716	TRUE
DSP-1001660021304-C-H12	DSP-1001660021304-C-H12	GSM8210348	GSE264094	MS3b_NAWM_rep2	nawm/ppwm	NAWM_PPWM	MS3	DSP-1001660021304-C	GSE264094	True	False	GSM8210348_DSP-1001660021304-C-H12.dcc.gz	True	DSP-1001660021304-C	TRUE	0.033784869090325	FALSE
DSP-1001660021305-B-G11	DSP-1001660021305-B-G11	GSM8210349	GSE264094	MS3a_RIM_rep1	lesion rim	BRL_RIM	MS3	DSP-1001660021305-B	GSE264094	True	True	GSM8210349_DSP-1001660021305-B-G11.dcc.gz	True	DSP-1001660021305-B	TRUE	0.0790276811051025	TRUE
DSP-1001660021305-B-H01	DSP-1001660021305-B-H01	GSM8210350	GSE264094	MS3a_RIM_rep2	lesion rim	BRL_RIM	MS3	DSP-1001660021305-B	GSE264094	True	True	GSM8210350_DSP-1001660021305-B-H01.dcc.gz	True	DSP-1001660021305-B	TRUE	0.0593778444075601	TRUE
DSP-1001660021305-B-H03	DSP-1001660021305-B-H03	GSM8210351	GSE264094	MS3a_RIM_rep3	lesion rim	BRL_RIM	MS3	DSP-1001660021305-B	GSE264094	True	True	GSM8210351_DSP-1001660021305-B-H03.dcc.gz	True	DSP-1001660021305-B	TRUE	0.0599668040905927	TRUE
DSP-1001660021305-B-H05	DSP-1001660021305-B-H05	GSM8210352	GSE264094	MS3a_RIM_rep4	lesion rim	BRL_RIM	MS3	DSP-1001660021305-B	GSE264094	True	True	GSM8210352_DSP-1001660021305-B-H05.dcc.gz	True	DSP-1001660021305-B	TRUE	0.0520961610537024	TRUE
DSP-1001660021305-B-H07	DSP-1001660021305-B-H07	GSM8210353	GSE264094	MS3a_NAWM_rep2	nawm/ppwm	NAWM_PPWM	MS3	DSP-1001660021305-B	GSE264094	True	False	GSM8210353_DSP-1001660021305-B-H07.dcc.gz	True	DSP-1001660021305-B	TRUE	0.0282165229961985	FALSE
DSP-1001660021305-B-H09	DSP-1001660021305-B-H09	GSM8210354	GSE264094	MS3a_NAWM_rep3	nawm/ppwm	NAWM_PPWM	MS3	DSP-1001660021305-B	GSE264094	True	False	GSM8210354_DSP-1001660021305-B-H09.dcc.gz	True	DSP-1001660021305-B	TRUE	0.0217379664828399	FALSE
DSP-1001660021305-B-H11	DSP-1001660021305-B-H11	GSM8210355	GSE264094	MS3a_NAWM_rep4	nawm/ppwm	NAWM_PPWM	MS3	DSP-1001660021305-B	GSE264094	True	False	GSM8210355_DSP-1001660021305-B-H11.dcc.gz	True	DSP-1001660021305-B	TRUE	0.0377469615034534	FALSE
DSP-1001660021306-A-A02	DSP-1001660021306-A-A02	GSM8210356	GSE264094	MS2_NAWM_rep1	nawm/ppwm	NAWM_PPWM	MS2	DSP-1001660021306-A	GSE264094	True	False	GSM8210356_DSP-1001660021306-A-A02.dcc.gz	True	DSP-1001660021306-A	TRUE	0.113615677035927	TRUE
DSP-1001660021306-A-A08	DSP-1001660021306-A-A08	GSM8210357	GSE264094	MS2_NAWM_rep2	nawm/ppwm	NAWM_PPWM	MS2	DSP-1001660021306-A	GSE264094	True	False	GSM8210357_DSP-1001660021306-A-A08.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0910210419232211	TRUE
DSP-1001660021306-A-A10	DSP-1001660021306-A-A10	GSM8210358	GSE264094	MS2_RIM_rep1	lesion rim	BRL_RIM	MS2	DSP-1001660021306-A	GSE264094	True	True	GSM8210358_DSP-1001660021306-A-A10.dcc.gz	True	DSP-1001660021306-A	TRUE	0.179739786903678	TRUE
DSP-1001660021306-A-A12	DSP-1001660021306-A-A12	GSM8210359	GSE264094	MS2_RIM_rep2	lesion rim	BRL_RIM	MS2	DSP-1001660021306-A	GSE264094	True	True	GSM8210359_DSP-1001660021306-A-A12.dcc.gz	True	DSP-1001660021306-A	TRUE	0.128500294479842	TRUE
