Sample_ID	spearman	Type_main	Patient_ID
DSP-1001660021305-B-G11	0.845186923282126	BRL_RIM	MS3
DSP-1001660021305-B-H01	0.82228517409601	BRL_RIM	MS3
DSP-1001660021305-B-H03	0.817361302935095	BRL_RIM	MS3
DSP-1001660021305-B-H05	0.835906988468784	BRL_RIM	MS3
DSP-1001660021306-A-A10	0.84813363532131	BRL_RIM	MS2
DSP-1001660021306-A-A12	0.846701615565254	BRL_RIM	MS2
DSP-1001660021306-A-B02	0.86422948962416	BRL_RIM	MS2
DSP-1001660021306-A-B04	0.870844004470627	BRL_RIM	MS2
DSP-1001660023887-B-B06	0.837574872510295	active_center	MS2
DSP-1001660023887-B-B08	0.848738840487739	active_center	MS2
DSP-1001660023887-B-B10	0.813876439761031	active_center	MS2
DSP-1001660023887-B-B12	0.851881326493138	active_center	MS2
DSP-1001660023887-B-C12	0.831579410535437	active_center	MS5
DSP-1001660023887-B-D02	0.807582917451654	active_center	MS5
DSP-1001660023887-B-D04	0.824899415727921	active_center	MS5
DSP-1001660023887-B-D06	0.824501901977887	active_center	MS5
DSP-1001660023887-B-E08	0.862664873367854	BRL_RIM	MS5
DSP-1001660023887-B-E10	0.856678064104362	BRL_RIM	MS5
DSP-1001660023887-B-E12	0.868178169396826	BRL_RIM	MS5
DSP-1001660023887-B-F04	0.863057727102282	BRL_RIM	MS5
DSP-1001660023887-B-F06	0.850966494894249	BRL_RIM	MS5
DSP-1001660023887-B-G04	0.833214565819743	active_center	MS1
DSP-1001660023887-B-G06	0.823204759861682	active_center	MS1
DSP-1001660023887-B-G08	0.835254722834335	active_center	MS1
DSP-1001660023887-B-G10	0.815211755035347	active_center	MS1
DSP-1001660023887-B-H12	0.861100514156731	mixed_RIM	MS27
DSP-1001660023888-C-A03	0.862638027344516	mixed_RIM	MS27
DSP-1001660023888-C-B01	0.845970199967127	active_center	MS27
DSP-1001660023888-C-B04	0.831194480464273	active_center	MS27
DSP-1001660023888-C-B06	0.838483070192336	active_center	MS27
DSP-1001660023888-C-B08	0.858919537690116	BRL_RIM	MS5
DSP-1001660023888-C-B12	0.860563302195426	BRL_RIM	MS5
DSP-1001660023889-D-A03	0.85045632707904	BRL_RIM	MS21
