record_id	check	status	detail
claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	record_present_in_source_domain_review	PASS	knowledge_external/records/dmt_dimethyl_fumarate_mechanism_label_context.json
claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	review_domain_matches_current_source_url	PASS	current=dailymed.nlm.nih.gov reviewed=dailymed.nlm.nih.gov
claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	review_source_url_matches_current	PASS	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a
claim.dailymed.natalizumab_mechanism_context.2026-06-13	record_present_in_source_domain_review	PASS	knowledge_external/records/dmt_natalizumab_mechanism_label_context.json
claim.dailymed.natalizumab_mechanism_context.2026-06-13	review_domain_matches_current_source_url	PASS	current=dailymed.nlm.nih.gov reviewed=dailymed.nlm.nih.gov
claim.dailymed.natalizumab_mechanism_context.2026-06-13	review_source_url_matches_current	PASS	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c5fdde91-1989-4dd2-9129-4f3323ea2962
claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	record_present_in_source_domain_review	PASS	knowledge_external/records/dmt_ocrelizumab_mechanism_label_context.json
claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	review_domain_matches_current_source_url	PASS	current=dailymed.nlm.nih.gov reviewed=dailymed.nlm.nih.gov
claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	review_source_url_matches_current	PASS	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9da42362-3bb5-4b83-b4bb-b59fd4e55f0d
claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	record_present_in_source_domain_review	PASS	knowledge_external/records/ms_ibd_treatment_transfer_caution_context.json
claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	review_domain_matches_current_source_url	PASS	current=nature.com reviewed=nature.com
claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	review_source_url_matches_current	PASS	https://www.nature.com/articles/s41467-021-25768-0
claim.ms_society_uk.ppms_course_context.2026-06-13	record_present_in_source_domain_review	PASS	knowledge_external/records/ms_disease_course_ppms_context.json
claim.ms_society_uk.ppms_course_context.2026-06-13	review_domain_matches_current_source_url	PASS	current=mssociety.org.uk reviewed=mssociety.org.uk
claim.ms_society_uk.ppms_course_context.2026-06-13	review_source_url_matches_current	PASS	https://www.mssociety.org.uk/about-ms/types-of-ms
