attenuation_fraction	n_per_group	total_n	median_auc	power_one_sided_p_lt_0_05	power_auc_ge_0_70
1.0	20	40	0.725	0.7598	0.6083333333333333
1.0	30	60	0.7222222222222222	0.8973333333333333	0.6225333333333334
1.0	40	80	0.721875	0.9591333333333333	0.6368
1.0	50	100	0.7216	0.9836	0.6462
1.0	75	150	0.7214222222222222	0.9979333333333333	0.674
1.0	100	200	0.7213	0.9997333333333334	0.6989333333333333
0.75	20	40	0.725	0.7688	0.6104666666666667
0.75	30	60	0.7222222222222222	0.8947333333333334	0.6233333333333333
0.75	40	80	0.72125	0.9540666666666666	0.6380666666666667
0.75	50	100	0.7208	0.9839333333333333	0.6461333333333333
0.75	75	150	0.7210666666666666	0.9982	0.6711333333333334
0.75	100	200	0.72	0.9996666666666667	0.6925333333333333
0.5	20	40	0.685	0.6247333333333334	0.4461333333333333
0.5	30	60	0.6833333333333333	0.7713333333333333	0.4222666666666667
0.5	40	80	0.681875	0.857	0.4018
0.5	50	100	0.6808	0.9164	0.3794666666666667
0.5	75	150	0.6814222222222223	0.9808666666666667	0.34673333333333334
0.5	100	200	0.68	0.9952	0.3208666666666667
0.25	20	40	0.64	0.4632	0.2988
0.25	30	60	0.6422222222222222	0.5821333333333333	0.24313333333333334
0.25	40	80	0.640625	0.6785333333333333	0.20686666666666667
0.25	50	100	0.6416	0.7572	0.17306666666666667
0.25	75	150	0.6410666666666667	0.8848	0.12653333333333333
0.25	100	200	0.64	0.9446666666666667	0.09266666666666666
