field	required_level	present	complete	missing_count
subject	required	True	True	0
late_pregnancy_sample	required	True	True	0
postpartum_sample	required	True	True	0
postpartum_relapse_3m	required	True	True	0
late_pregnancy_HLAII_minus_CD64	required	True	True	0
postpartum_6w_HLAII_minus_CD64	required	True	True	0
postpartum_days	required	True	True	0
steroid_exposure	strongly_required	True	True	0
dmt_restart	strongly_required	True	True	0
infection	strongly_required	True	True	0
lactation	strongly_required	True	True	0
batch	strongly_required	True	True	0
hla_coverage	strongly_required	True	True	0
cd64_coverage	strongly_required	True	True	0
