name	path	kind	role	exists	size_bytes	sha256	n_rows	columns
mixscale_module_summary	results_v3/mixscale/mixscale_module_summary.tsv	perturbation_module_summary	train_validation_core	True	11170	7da78b8ef9987aa6fea293e5dd0c919d907e5db061429b4481674acd53c13033	96	pathway;perturbation;module;n_cell_types;mean_module_log2fc_across_cell_types;median_module_log2fc_across_cell_types;cell_type_negative_fraction;total_sig_negative_gene_celltype;total_sig_positive_gene_celltype;mean_genes_present;cell_types
mixscale_module_effects_by_cell_type	results_v3/mixscale/mixscale_module_effects_by_cell_type.tsv	perturbation_celltype_module	support	True	54074	ccdeac79d5d103ab8e387c0b40333c9a01306fd4faa64982454ca17502a6a8b9	576	pathway;perturbation;cell_type;module;n_genes;genes_present;mean_log2fc;median_log2fc;negative_fraction;sig_negative_fdr05;sig_positive_fdr05
mixscale_transition_controller_rank	results_v3/mixscale/mixscale_transition_controller_rank.tsv	transition_controller_rank	support	True	3410	c0310251494476dfce97bdf7ac336a9d50b0b2764bd48c729743af8bb04cf7e7	24	pathway;perturbation;transition_suppression_score;n_modules_with_data;n_modules_suppressed;mean_cell_type_negative_fraction;total_sig_negative_gene_celltype;total_sig_positive_gene_celltype;gilt_lysosomal_apc_mean_log2fc;hla_ii_apc_mean_log2fc;ifn_apc_mean_log2fc;mif_cd74_receptor_state_mean_log2fc
state_cd14_per_target_validation	results_v3/state_parse_cd14_per_target_validation.tsv	foundation_model_validation	external_check	True	11745	c69371487ea8a6b0e422bf79581f6dffd0c56d2bb657655c83c89e454135d45f	62	target;n_features;spearman_percent_change;pearson_percent_change;direction_match_fraction;mean_abs_error_percent_change;real_sig_features_fdr05;pred_sig_features_fdr05;sig_feature_overlap;sig_feature_recall;sig_feature_precision;mean_abs_real_percent_change;mean_abs_pred_percent_change;is_perturbation_of_interest
state_cd14_real_de	data/raw_v3/state_parse_split4/CD14_Mono_real_de.csv	foundation_model_real_de	external_check_no_module_symbols	True	15817227	4f68fe12efd95ea90a65169be699ac059e304447c7cd323c187968b0cccebe3c	124000	target;reference;feature;target_mean;reference_mean;percent_change;fold_change;p_value;statistic;fdr
state_cd14_pred_de	data/raw_v3/state_parse_split4/CD14_Mono_pred_de.csv	foundation_model_pred_de	external_check_no_module_symbols	True	16105934	bef5feef4085f5a6e141ec6b825a5a95f905277a4fb623d5905873f854890085	124000	target;reference;feature;target_mean;reference_mean;percent_change;fold_change;p_value;statistic;fdr
v23_mechanism_specificity	analysis/v23_apc_hla_monitoring/v23_mechanism_specificity.tsv	treatment_response_monitoring	project_check	True	3254	a8b6c7060fea92a28043b1c9930b0590983c1c15dee5d733fc0246ed5fa33bf8	5	cohort;disease;therapy;therapy_class;validation_scope;n_labeled;n_responders;n_nonresponders;feature_applied;auc;auc_ci_low;auc_ci_high;hedges_g;welch_p;receptor_auc;receptor_auc_delta;pass_fail;specificity;present_IFN_APC;present_HLAII
v23_exact_compartments	analysis/v23_apc_hla_monitoring/gse253006_exact_compartments/gse253006_exact_compartment_validation.tsv	treatment_response_compartment	project_check	True	1389	7662dfaa908a559a6b913f4664919d46e2e6a07b7d660b8daa062ce1e74f7cfa	5	cohort;marker_compartment;n_labeled;n_responders;n_nonresponders;auc;auc_ci_low;auc_ci_high;hedges_g;welch_p;receptor_auc;receptor_auc_delta;pass_fail;present_IFN_APC;present_HLAII;present_RECEPTOR
chr1_reevaluation	GENETICS_CHR1_REEVALUATION_V19.md	genetics_project_check	project_check	True	14742	05e24149dd245cbb9f35a59bc8c429a684163acdefa7af0c39f87bf06dbf3804		not_tabular:ParserError
lead_slate_v21	LEAD_SLATE_V21.md	lead_context	project_check	True	4880	44d7ede5517adfb34a2ed219a2ea03ba1b364d04f9d88eeece6903fa3c76a496	126	# LEAD_SLATE_V21
data_scout_v24	DATA_SCOUT_V24.md	data_availability	context	True	11575	8b230894f8f652e5f3c8f231963338241d96ae515c355109a46c63ba0c5a7f1c		not_tabular:ParserError
