module	n_genes	n_present	genes_present	genes_missing	n_case	n_control	case_mean	control_mean	delta	hedges_g	p	fdr
ifn_apc	7	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA		10	4	8.168571069695167	6.599979885079783	1.568591184615384	2.1636098517702607	0.00027076251644366894	0.0016245750986620135
hla_ii_apc	7	7	CD74;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRB1		10	4	9.266700614852324	8.46062443375303	0.8060761810992947	0.5688541591549402	0.16334999337057723	0.25324642517816054
mif_cd74_receptor_state	6	6	MIF;CD74;CD44;CXCR4;HLA-DRA;HLA-DPA1		10	4	8.57509481098256	8.258044227402097	0.31705058358046223	0.3212283082019745	0.41079714378025567	0.49295657253630676
lipid_loader_repair	8	8	APOE;LPL;TREM2;GPNMB;LIPA;ABCA1;ABCG1;PLIN2		10	4	7.5782141371786595	7.0278604092325025	0.550353727946157	0.5623298104387394	0.14369384380959815	0.25324642517816054
lysosomal_apc	8	8	CTSS;CTSB;LAMP1;LAMP2;IFI30;TYROBP;TREM2;APOE		10	4	8.495504262864317	8.31772410978296	0.17778015308135764	0.1653674284032581	0.6520147834357914	0.6520147834357914
hif_nampt_metabolic	6	6	HIF1A;NAMPT;SLC2A1;LDHA;HK2;VEGFA		10	4	7.901944447355835	7.768412214588075	0.13353223276776038	0.6245382586494025	0.1688309501187737	0.25324642517816054
