disease	dataset	response_context	direction	effect	p_or_min_p	call	nonresponse_high
IBD	GSE12251/GSE14580/GSE16879	intestinal mucosa anti-TNF	nonresponse_high	-0.2044930888200467	0.2508045528382732	IBD_RESPONSE_WEAK_DIRECTION	True
rheumatoid arthritis	GSE198520	synovium anti-TNF	nonresponse_high	-0.3945944269012455	0.15776007776894857	DIRECTION_ONLY	True
psoriasis	GSE85034	lesional skin adalimumab	nonresponse_high	-2.208896818102851	0.0111077018243163	NONRESPONSE_HIGH_TREND	True
