analysis	disease_name	compartment	gene	n_feature_columns
ibd_crohn_myeloid	Crohn disease	colon myeloid	APOC1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	BIRC3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	C15ORF48	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CD300A	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CD300E	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CD300LF	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CHI3L1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CTSB	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CTSL	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CTSS	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CXCL9	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	DAP	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	FABP5	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	IFI30	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	IL2RG	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	IRF1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	JAK1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	JAK2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	LAMP3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	LGALS3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	LIPA	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	MERTK	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	MSR1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	NR1H3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PIKFYVE	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PPARG	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SCARB2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SDC4	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SNX10	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	STAT1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TFE3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TFEB	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TREM2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TYK2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TYROBP	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	APOC1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	BIRC3	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	C15ORF48	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CD300A	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CD300E	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CD300LF	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CHI3L1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CTSB	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CTSL	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CTSS	1
