source	gene	broad_positive_disease_count	broad_negative_disease_count	positive_diseases	top_positive_compartments	retained_positive_disease_count	non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	ms_wm_delta_log2	ms_wm_p	opentargets_genetic_disease_count	analysis	disease_name	compartment	covariate_set	residual_model	raw_delta_case_minus_control	raw_p	residual_delta_case_minus_control	residual_p	residual_fdr	retains_nominal_positive	retains_direction_only
broad_h5ad_gene_rank	SQLE	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_stromal:1.65,p=0.00033;ibd_crohn_stromal:1.71,p=0.0012;t1d_endothelial_cell:1.3,p=0.016;psoriasis_skin_stromal:0.948,p=0.022					-0.3408177110309154	0.3307572199460259													
broad_residual_gate_summary	SQLE	4.0				3.0	1.0	2.0	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	-0.3408177110309154	0.3307572199460259													
wave21_integrated_strict_residual	SQLE	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_stromal:1.65,p=0.00033;ibd_crohn_stromal:1.71,p=0.0012;t1d_endothelial_cell:1.3,p=0.016;psoriasis_skin_stromal:0.948,p=0.022	3.0	1.0	2.0	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	-0.3408177110309154	0.3307572199460259													
broad_residual_retained_test	SQLE												ibd_uc_stromal	ulcerative colitis	colon stromal	complement_effector	univariate	0.4814378808847683	0.0008015657902732	0.4830741430797135	0.0005156197979196	0.2713687899421492	True	True
broad_residual_retained_test	SQLE												ibd_uc_stromal	ulcerative colitis	colon stromal	hla_ii_apc	univariate	0.4814378808847683	0.0008015657902732	0.4660634209934127	0.0005821473548261	0.2795330639083115	True	True
broad_residual_retained_test	SQLE												ibd_uc_stromal	ulcerative colitis	colon stromal	lysosomal_apc	univariate	0.4814378808847683	0.0008015657902732	0.4738427279858834	0.0011109270610454	0.2928860067783688	True	True
broad_residual_retained_test	SQLE												ibd_uc_stromal	ulcerative colitis	colon stromal	ifn_apc	univariate	0.4814378808847683	0.0008015657902732	0.4758700058457587	0.0011392557495109	0.2932440329785495	True	True
broad_residual_retained_test	SQLE												psoriasis_skin_stromal	psoriasis	skin stromal	lipid_loader_repair	univariate	0.2888916928933231	0.0054419264501655	0.2957710162623293	0.0020812514769474	0.3231454387138902	True	True
broad_residual_retained_test	SQLE												ibd_uc_stromal	ulcerative colitis	colon stromal	core_lysosomal_lipid	multivariable	0.4814378808847683	0.0008015657902732	0.3848730355246639	0.0035602723926349	0.3582051441671503	True	True
broad_residual_retained_test	SQLE												ibd_uc_stromal	ulcerative colitis	colon stromal	lipid_loader_repair	univariate	0.4814378808847683	0.0008015657902732	0.3785300368876123	0.0058867092399441	0.3946332300236944	True	True
broad_residual_retained_test	SQLE												ibd_uc_stromal	ulcerative colitis	colon stromal	hif_nampt_metabolic	univariate	0.4814378808847683	0.0008015657902732	0.3701897921297745	0.0058874269943233	0.3946332300236944	True	True
broad_residual_retained_test	SQLE												ibd_crohn_stromal	Crohn disease	colon stromal	ifn_apc	univariate	0.6635439340874638	0.0114940337915705	0.6926237547729606	0.0069550425316086	0.397512108470578	True	True
broad_residual_retained_test	SQLE												ibd_crohn_stromal	Crohn disease	colon stromal	complement_effector	univariate	0.6635439340874638	0.0114940337915705	0.6812461586827205	0.0073021570804558	0.3989359613516549	True	True
broad_residual_retained_test	SQLE												ibd_uc_stromal	ulcerative colitis	colon stromal	inflammatory_nfkb	univariate	0.4814378808847683	0.0008015657902732	0.3971752766518721	0.0075938757789283	0.4018442490330421	True	True
broad_residual_retained_test	SQLE												ibd_crohn_stromal	Crohn disease	colon stromal	lysosomal_apc	univariate	0.6635439340874638	0.0114940337915705	0.6459802768649454	0.0082835384790709	0.4094101133052122	True	True
broad_residual_retained_test	SQLE												ibd_crohn_stromal	Crohn disease	colon stromal	c1q_phagocytic_myeloid	univariate	0.6635439340874638	0.0114940337915705	0.5641641230448955	0.0109687224208955	0.425571455565668	True	True
broad_residual_retained_test	SQLE												ibd_crohn_stromal	Crohn disease	colon stromal	hla_ii_apc	univariate	0.6635439340874638	0.0114940337915705	0.6650607995743654	0.0112418954217266	0.4265160639805977	True	True
broad_residual_retained_test	SQLE												psoriasis_skin_stromal	psoriasis	skin stromal	inflammatory_nfkb	univariate	0.2888916928933231	0.0054419264501655	0.2905853602826349	0.0115875557314488	0.4276778859386188	True	True
broad_residual_retained_test	SQLE												psoriasis_skin_stromal	psoriasis	skin stromal	c1q_phagocytic_myeloid	univariate	0.2888916928933231	0.0054419264501655	0.2792106737577393	0.0125992035399555	0.4285984305841985	True	True
broad_residual_retained_test	SQLE												ibd_crohn_stromal	Crohn disease	colon stromal	inflammatory_nfkb	univariate	0.6635439340874638	0.0114940337915705	0.5025812961154315	0.0189281710321252	0.4541666896730537	True	True
broad_residual_retained_test	SQLE												ibd_crohn_stromal	Crohn disease	colon stromal	hif_nampt_metabolic	univariate	0.6635439340874638	0.0114940337915705	0.509744288834683	0.0196715523004039	0.4554292998206519	True	True
broad_residual_retained_test	SQLE												psoriasis_skin_stromal	psoriasis	skin stromal	hif_nampt_metabolic	univariate	0.2888916928933231	0.0054419264501655	0.278557496057808	0.0257644231137092	0.4784220221441472	True	True
broad_residual_retained_test	SQLE												ibd_crohn_stromal	Crohn disease	colon stromal	lipid_loader_repair	univariate	0.6635439340874638	0.0114940337915705	0.5868988894300633	0.026449717128443	0.4812823653372431	True	True
broad_residual_retained_test	SQLE												ibd_crohn_stromal	Crohn disease	colon stromal	core_lysosomal_lipid	multivariable	0.6635439340874638	0.0114940337915705	0.5365662004764502	0.0297083015779993	0.4893510744097525	True	True
broad_residual_retained_test	SQLE												ibd_uc_stromal	ulcerative colitis	colon stromal	core_all	multivariable	0.4814378808847683	0.0008015657902732	0.240959780645379	0.0513757755537387	0.5394204096236263	False	True
broad_residual_retained_test	SQLE												ibd_uc_stromal	ulcerative colitis	colon stromal	core_inflammation_stress	multivariable	0.4814378808847683	0.0008015657902732	0.245116290403266	0.0559431056250533	0.5460769575352968	False	True
broad_residual_retained_test	SQLE												ibd_crohn_stromal	Crohn disease	colon stromal	core_inflammation_stress	multivariable	0.6635439340874638	0.0114940337915705	0.3569678058605846	0.0629058713680517	0.5569345870054316	False	True
broad_residual_retained_test	SQLE												ibd_crohn_stromal	Crohn disease	colon stromal	core_all	multivariable	0.6635439340874638	0.0114940337915705	0.2958950205159608	0.1002902668991242	0.6126274874310823	False	True
