source	gene	geneformer_sources	geneformer_source_count	total_support_contexts	total_strong_support_contexts	max_support_contexts_in_source	max_strong_support_contexts_in_source	total_disease_cells_with_token	max_contexts_with_token_in_source	best_mean_projection_shift	best_mean_cosine_z_vs_random	best_context_cosine_z	best_context_projection_minus_random	best_geneformer_source	best_geneformer_context	best_context_cells_with_token	stronger_than_ctsh_geneformer	geneformer_rescue_rank	best_direct_source	best_direct_dataset	best_direct_perturbation	best_direct_pathway	best_direct_rank	best_direct_target_module_effect	best_direct_generic_ifn_effect	best_direct_target_vs_ifn_margin	best_direct_selectivity_score	best_direct_evidence_call	best_direct_control_class	mixscale_transition_pathway	mixscale_transition_perturbation	mixscale_transition_rank	transition_suppression_score	n_modules_suppressed	hla_ii_apc_mean_log2fc	ifn_apc_mean_log2fc	mif_cd74_receptor_state_mean_log2fc	gilt_lysosomal_apc_mean_log2fc	n_sgrna	MHCII_median_low_vs_high_log2	MHCII_mean_low_vs_high_log2	MHCII_positive_sgrna_fraction	MHCII_rank_required_low_vs_high	MHCII_fdr	CD40_median_low_vs_high_log2	PDL1_median_low_vs_high_log2	gse162463_screen_stronger_than_ctsh	gse162463_mhcii_direction_call	readout_sources	readout_min_log2fc	readout_best_source	readout_best_condition	readout_negative_records	readout_total_records	real_perturbation_alignment_call	foundation_rescue_recommendation	alignment_priority	wave18_rank	contexts_with_token	disease_cells_with_token	mean_cosine_shift	mean_projection_shift	mean_cosine_z_vs_random	support_contexts	strong_support_contexts	positive_projection_contexts	negative_projection_contexts	context	n_disease_cells_with_token	mean_shift_to_control_cosine	mean_projection_to_control	cosine_shift_z_vs_random	projection_minus_random	candidate_support_flag	candidate_strong_support_flag
wave18_foundation_rank	SQLE	broad_residual_delete	1.0	3.0	1.0	3.0	1.0	33.0	11.0	0.0029615018601444	0.0364323825239021	0.5166089720180714	0.01659818746654	broad_residual_delete	t1d_endothelial	4.0	True	26.0																					4.0	-0.1807779419095411	-0.3736118790094513	0.5	7636.0	0.9477263229093772	0.5247756144243436	-0.0514232091725606	False	mhcii_low_enrichment_contradictory							model_contradicted_by_gse162463_screen	do_not_promote	7.0	46.0																	
wave18_direct_perturbation	SQLE																True																							-0.1807779419095411		0.5	7636.0				False	mhcii_low_enrichment_contradictory							model_contradicted_by_gse162463_screen																				
wave18_readout_concordance	SQLE																True																																						model_contradicted_by_gse162463_screen																				
geneformer_broad_summary	SQLE																																																										11.0	33.0	7.366903909398752e-05	0.0029615018601444	0.0364323825239021	3.0	1.0	6.0	5.0								
geneformer_broad_context_metric	SQLE																																																																			t1d_endothelial	4.0	0.0003285408020019	0.0174322631210088	0.5166089720180714	0.01659818746654	True	True
geneformer_broad_context_metric	SQLE																																																																			t1d_ductal	8.0	-2.960115671157837e-05	0.0444662123918533	0.0826092853446262	0.0473613876267334	True	False
geneformer_broad_context_metric	SQLE																																																																			t1d_acinar	4.0	0.0002322793006896	-0.0086243376135826	0.2446184089287138	0.0029847759462426	True	False
geneformer_broad_context_metric	SQLE																																																																			psoriasis_macrophage	1.0	-0.0004311800003051	0.0266968049108982	-0.7084983992452207	0.0246832537387188	False	False
geneformer_broad_context_metric	SQLE																																																																			IBD_myeloid	1.0	-0.0001330375671386	0.019580902531743	-0.1793379109905432	0.014786242232852	False	False
geneformer_broad_context_metric	SQLE																																																																			t1d_stellate	10.0	-0.0003670930746011	-0.0175170041620731	-0.4177855562624404	0.0005831961442405	False	False
geneformer_broad_context_metric	SQLE																																																																			IBD_stromal	1.0	3.349781036376953e-05	-0.0060361358337104	0.2184607534141179	-0.0039992542588152	False	False
geneformer_broad_context_metric	SQLE																																																																			psoriasis_dendritic	1.0	-0.000247299671173	-0.0044071748852729	-0.5075759258223103	-0.0052215022849849	False	False
geneformer_broad_context_metric	SQLE																																																																			IBD_epithelial	1.0	-0.0002716183662414	0.0054972320795059	-0.4306081629021387	-0.0100149622866107	False	False
geneformer_broad_context_metric	SQLE																																																																			sjogren_acinar	1.0	0.0017040371894836	-0.0238333083689212	1.4981716281349955	-0.0242010980087797	False	False
geneformer_broad_context_metric	SQLE																																																																			psoriasis_keratinocyte	1.0	-8.165836334228516e-06	-0.0206789337098598	0.0840931151450526	-0.0262015280488412	False	False
geneformer_broad_context_metric	SQLE																																																																			sjogren_duct	0.0					False	False
geneformer_broad_context_metric	SQLE																																																																			sjogren_APC	0.0					False	False
