cohort	n	responders	nonresponders	auc	hedges_g	hedges_g_variance	exact_one_sided_auc_p	exact_label_assignments	direction_consistent_auc_gt_half
GSE235357	10	5	5	0.72	0.6512291126085582	0.4265062098193081	0.1547619047619047	252	True
GSE250453	10	5	5	0.6	0.1502303301075881	0.4014105720052647	0.3452380952380952	252	True
GSE253006_TOF_exact	9	5	4	0.95	1.8110591428518383	0.6842810870648026	0.0158730158730158	126	True
GSE85034_ADA	14	9	5	0.5111111111111111	0.0442089727313232	0.3111925458306927	0.5	2002	True
