r_minimum_nonnull	m_environments	ordered_p_r	bonferroni_pc_p	bonferroni_reject_0_05	fisher_pc_p_independence_sensitivity	fisher_reject_0_05
1	4	0.0158730158730158	0.0634920634920632	False	0.049600902269826906	True
2	4	0.1547619047619047	0.46428571428571414	False	0.29877671143888807	False
3	4	0.3452380952380952	0.6904761904761904	False	0.4758534305540879	False
4	4	0.5	0.5	False	0.5000000000000001	False
