mechanism_level	n_items
cross_axis_transfer	4
exploratory_module	4
genetics_coloc	3
genetics_direction	2
genetics_to_target	2
deep_structure	1
modeling	1
treatment_response_modeling	1
treatment_response	1
target_nomination	1
