event_probability_before_competing_death	molecular_progression_hr_per_latent_sd	competing_death_probability	competing_event_mechanism	minimum_n_reaching_80pct	power_at_n320
0.15	1.7	0.0	none	not_reached	0.5925
0.15	1.7	0.1	progression_risk_dependent	not_reached	0.5558333333333333
0.15	1.7	0.1	score_dependent	not_reached	0.55
0.15	1.7	0.25	progression_risk_dependent	not_reached	0.5408333333333334
0.15	1.7	0.25	score_dependent	not_reached	0.46166666666666667
0.3	1.7	0.0	none	320	0.87
0.3	1.7	0.1	progression_risk_dependent	320	0.86
0.3	1.7	0.1	score_dependent	320	0.8166666666666667
0.3	1.7	0.25	progression_risk_dependent	320	0.8133333333333334
0.3	1.7	0.25	score_dependent	not_reached	0.7366666666666667
