n_requested	event_probability_before_competing_death	molecular_progression_hr_per_latent_sd	competing_death_probability	competing_event_mechanism	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	minimum_seed_probability	maximum_seed_probability	positive_call_probability	negative_call_probability	median_score_z_across_seeds	median_one_step_log_hr_across_seeds	median_usable_n_across_seeds	median_progression_events_across_seeds	median_competing_deaths_across_seeds
120	0.15	1.0	0.0	none	1200	1168	0.9733333333333334	63	0.0525	0.041248404856606004	0.06660754068284175	0.0375	0.065	0.028333333333333332	0.024166666666666666	0.013277508917137556	0.003665642332427441	108.0	16.0	0.0
120	0.15	1.0	0.1	independent	1200	1156	0.9633333333333334	57	0.0475	0.03684195434139706	0.06104590120407803	0.045	0.05	0.019166666666666665	0.028333333333333332	0.06353332000654058	0.01773541817746873	108.0	15.0	10.0
120	0.15	1.0	0.1	joint_score_progression_risk	1200	1106	0.9216666666666666	75	0.0625	0.050151184342747165	0.07764094118464589	0.0475	0.09	0.0175	0.045	-0.1469623569544763	-0.0459383923919956	108.0	14.0	10.0
120	0.15	1.0	0.1	progression_risk_dependent	1200	1127	0.9391666666666667	43	0.035833333333333335	0.026710684549926922	0.047918294342945325	0.025	0.0475	0.020833333333333332	0.015	0.046452180673255676	0.012793346573516494	108.0	14.5	9.0
120	0.15	1.0	0.1	score_dependent	1200	1149	0.9575	70	0.058333333333333334	0.0464284241141606	0.07305695975158857	0.055	0.0625	0.03666666666666667	0.021666666666666667	0.07709038589884375	0.024617178541309983	108.0	15.0	10.0
120	0.15	1.0	0.25	independent	1200	1109	0.9241666666666667	48	0.04	0.030301435740345037	0.05263428481417108	0.035	0.045	0.0175	0.0225	-0.020651917821352575	-0.00652312615684434	108.0	14.0	25.0
120	0.15	1.0	0.25	joint_score_progression_risk	1200	970	0.8083333333333333	70	0.058333333333333334	0.0464284241141606	0.07305695975158857	0.055	0.0625	0.009166666666666667	0.049166666666666664	-0.3285457975896353	-0.10006059168593992	108.0	12.0	25.0
120	0.15	1.0	0.25	progression_risk_dependent	1200	975	0.8125	41	0.034166666666666665	0.02528441842514967	0.04602186380306503	0.0325	0.035	0.016666666666666666	0.0175	-0.06859351866443243	-0.01735816373801453	108.0	12.0	24.0
120	0.15	1.0	0.25	score_dependent	1200	1097	0.9141666666666667	50	0.041666666666666664	0.03174687775074607	0.0545115394684276	0.04	0.045	0.015833333333333335	0.025833333333333333	-0.0023148156078973644	-0.000756943263315852	108.0	13.0	25.0
120	0.15	1.7	0.0	none	1200	1176	0.98	329	0.27416666666666667	0.2496776556373571	0.3000969463015447	0.25	0.305	0.2733333333333333	0.0008333333333333334	1.3239877645861151	0.3759745105578591	108.0	16.0	0.0
