seed	n_requested	event_probability_before_competing_death	molecular_progression_hr_per_latent_sd	competing_death_probability	competing_event_mechanism	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	positive_call_probability	negative_call_probability	median_score_z	median_one_step_log_hr	median_usable_n	median_progression_events	median_competing_deaths
54931	120	0.15	1.0	0.0	none	400	390	0.975	22	0.055	0.03659849414955068	0.08186744780797323	0.03	0.025	0.013277508917137556	0.003665642332427441	108.0	17.0	0.0
54931	120	0.15	1.0	0.1	independent	400	388	0.97	18	0.045	0.028651458653886006	0.07000472919032381	0.0225	0.0225	0.06353332000654058	0.01773541817746873	108.0	15.0	10.0
54931	120	0.15	1.0	0.25	independent	400	366	0.915	14	0.035	0.02096129419797776	0.057885139532918004	0.0125	0.0225	-0.020651917821352575	-0.00652312615684434	108.0	14.0	25.0
54931	120	0.15	1.0	0.1	score_dependent	400	384	0.96	22	0.055	0.03659849414955068	0.08186744780797323	0.0375	0.0175	0.06932312956815956	0.01938425063799066	108.0	15.0	10.0
54931	120	0.15	1.0	0.25	score_dependent	400	363	0.9075	16	0.04	0.024769063069711758	0.06398224771784103	0.015	0.025	-0.04895552829401093	-0.014073871541128095	108.0	13.0	25.0
54931	120	0.15	1.0	0.1	progression_risk_dependent	400	377	0.9425	19	0.0475	0.030617076962711882	0.07299154940982647	0.0325	0.015	0.049282470263527785	0.014853303822401093	108.0	15.0	9.0
54931	120	0.15	1.0	0.25	progression_risk_dependent	400	328	0.82	14	0.035	0.02096129419797776	0.057885139532918004	0.02	0.015	-0.0018997725813753124	-0.0005960513992797021	108.0	12.0	24.0
54931	120	0.15	1.0	0.1	joint_score_progression_risk	400	365	0.9125	20	0.05	0.03259742983714726	0.07596363506371961	0.0025	0.0475	-0.13056200136354462	-0.038161511163034144	108.0	14.5	10.0
54931	120	0.15	1.0	0.25	joint_score_progression_risk	400	317	0.7925	23	0.0575	0.038617542757733075	0.08480083772811935	0.0075	0.05	-0.5023153455080713	-0.1559845475367167	108.0	12.0	25.0
54931	120	0.15	1.7	0.0	none	400	392	0.98	122	0.305	0.2619126095600189	0.3517971852303568	0.305	0.0	1.3992789286808613	0.39459184787244206	108.0	16.0	0.0
54931	120	0.15	1.7	0.1	independent	400	394	0.985	108	0.27	0.22883278412268437	0.31554287127109204	0.2675	0.0025	1.475762517799836	0.4038917341972267	108.0	15.0	10.0
54931	120	0.15	1.7	0.25	independent	400	366	0.915	100	0.25	0.2100790142364741	0.2946771329306741	0.2475	0.0025	1.3684224964347518	0.39788212392618166	108.0	14.0	25.0
54931	120	0.15	1.7	0.1	score_dependent	400	385	0.9625	86	0.215	0.17755148423753886	0.25787052353301015	0.215	0.0	1.1996899970112482	0.34008563539043335	108.0	15.0	9.0
54931	120	0.15	1.7	0.25	score_dependent	400	327	0.8175	65	0.1625	0.12958740844606098	0.20183339022958918	0.16	0.0025	1.1437043758230707	0.35241455094772145	108.0	13.0	24.0
54931	120	0.15	1.7	0.1	progression_risk_dependent	400	380	0.95	109	0.2725	0.23118490254462754	0.3181431913774774	0.2725	0.0	1.4246513691075409	0.4069797132433752	108.0	15.0	9.0
54931	120	0.15	1.7	0.25	progression_risk_dependent	400	345	0.8625	84	0.21	0.1729377251738417	0.25257940554005026	0.21	0.0	1.3556828306245254	0.4178264000444765	108.0	13.0	24.0
54931	120	0.15	1.7	0.1	joint_score_progression_risk	400	360	0.9	65	0.1625	0.12958740844606098	0.20183339022958918	0.1625	0.0	1.0014485185979256	0.2931641429617493	108.0	14.0	9.0
54931	120	0.15	1.7	0.25	joint_score_progression_risk	400	276	0.69	28	0.07	0.04887162669974449	0.09930894642775051	0.0675	0.0025	0.7712992880833607	0.23396768951532054	108.0	11.0	25.0
54931	120	0.3	1.0	0.0	none	400	400	1.0	21	0.0525	0.034591528357920405	0.07892197507127496	0.035	0.0175	0.08654630541090647	0.01722908666497175	108.0	32.0	0.0
54931	120	0.3	1.0	0.1	independent	400	400	1.0	17	0.0425	0.026701694991131116	0.06700205432475019	0.0275	0.015	0.009344004558816543	0.0018822517066623419	108.0	31.0	9.0
54931	120	0.3	1.0	0.25	independent	400	400	1.0	17	0.0425	0.026701694991131116	0.06700205432475019	0.015	0.0275	-0.02501256929599053	-0.005498206520151804	108.0	28.0	23.0
54931	120	0.3	1.0	0.1	score_dependent	400	400	1.0	22	0.055	0.03659849414955068	0.08186744780797323	0.0175	0.0375	-0.00536512344522796	-0.0010710177366333388	108.0	30.0	9.0
54931	120	0.3	1.0	0.25	score_dependent	400	400	1.0	21	0.0525	0.034591528357920405	0.07892197507127496	0.0275	0.025	-0.04283681886931048	-0.010028414821969834	108.0	27.0	23.0
54931	120	0.3	1.0	0.1	progression_risk_dependent	400	400	1.0	23	0.0575	0.038617542757733075	0.08480083772811935	0.0375	0.02	-0.032249448087533064	-0.005947941218546133	109.0	30.0	8.0
54931	120	0.3	1.0	0.25	progression_risk_dependent	400	400	1.0	23	0.0575	0.038617542757733075	0.08480083772811935	0.0275	0.03	-0.02345061116441386	-0.0052674597744826815	108.0	26.0	21.0
54931	120	0.3	1.0	0.1	joint_score_progression_risk	400	400	1.0	30	0.075	0.05303774392284765	0.10504770626130436	0.02	0.055	-0.37930400929658525	-0.08331241414261142	108.0	30.0	9.0
54931	120	0.3	1.0	0.25	joint_score_progression_risk	400	400	1.0	31	0.0775	0.05513293467684451	0.10790495403563602	0.0075	0.07	-0.535990951619407	-0.11673229572727652	108.0	25.0	23.0
54931	120	0.3	1.7	0.0	none	400	400	1.0	192	0.48	0.43146340667729527	0.5289170850960765	0.48	0.0	1.906528660733028	0.37171410023771945	108.0	32.0	0.0
54931	120	0.3	1.7	0.1	independent	400	400	1.0	182	0.455	0.4068585729397347	0.503997533550352	0.455	0.0	1.8582791019104334	0.3631039223695086	108.0	31.0	9.0
54931	120	0.3	1.7	0.25	independent	400	400	1.0	171	0.4275	0.3799345878043344	0.47644469487413854	0.4275	0.0	1.7849506928968153	0.3836532930394557	108.0	28.0	23.0
54931	120	0.3	1.7	0.1	score_dependent	400	400	1.0	166	0.415	0.36774607523110986	0.4638710148057205	0.415	0.0	1.8259459294245193	0.3757849569316062	108.0	31.0	8.0
54931	120	0.3	1.7	0.25	score_dependent	400	400	1.0	125	0.3125	0.2690415608130786	0.35952554956228255	0.3125	0.0	1.5757874363413664	0.3466646998716296	108.0	26.0	21.0
54931	120	0.3	1.7	0.1	progression_risk_dependent	400	400	1.0	177	0.4425	0.39460190844340914	0.491492005405035	0.4425	0.0	1.8297931771591585	0.3620652183184102	108.5	31.0	8.0
54931	120	0.3	1.7	0.25	progression_risk_dependent	400	400	1.0	141	0.3525	0.30728664659675226	0.4005194802318652	0.3525	0.0	1.6043048574326981	0.35064823728873273	108.0	27.0	21.0
54931	120	0.3	1.7	0.1	joint_score_progression_risk	400	400	1.0	112	0.28	0.23825142339704647	0.32593398611004404	0.28	0.0	1.4272429971143668	0.30597033852846417	108.0	29.0	8.0
54931	120	0.3	1.7	0.25	joint_score_progression_risk	400	400	1.0	70	0.175	0.1409042015930453	0.2152787897242474	0.175	0.0	0.9723850263600742	0.2300732371502447	108.0	24.0	22.0
54931	240	0.15	1.0	0.0	none	400	400	1.0	14	0.035	0.02096129419797776	0.057885139532918004	0.0075	0.0275	-0.1634806930694792	-0.032658976389568606	216.0	32.0	0.0
54931	240	0.15	1.0	0.1	independent	400	400	1.0	18	0.045	0.028651458653886006	0.07000472919032381	0.0225	0.0225	-0.02270703993194634	-0.004427151197901913	216.0	31.0	20.0
54931	240	0.15	1.0	0.25	independent	400	400	1.0	22	0.055	0.03659849414955068	0.08186744780797323	0.035	0.02	0.05896200001506692	0.012261500588467571	217.0	28.5	50.0
54931	240	0.15	1.0	0.1	score_dependent	400	400	1.0	17	0.0425	0.026701694991131116	0.06700205432475019	0.0225	0.02	0.07939461648703591	0.016698731562138733	216.0	31.0	20.0
54931	240	0.15	1.0	0.25	score_dependent	400	400	1.0	26	0.065	0.04474048189620036	0.09353521417463759	0.0275	0.0375	0.015385313597587423	0.0038418009926854905	216.0	28.0	50.0
54931	240	0.15	1.0	0.1	progression_risk_dependent	400	400	1.0	20	0.05	0.03259742983714726	0.07596363506371961	0.025	0.025	-0.07635615537286523	-0.014853836623860119	216.0	30.0	19.0
54931	240	0.15	1.0	0.25	progression_risk_dependent	400	400	1.0	20	0.05	0.03259742983714726	0.07596363506371961	0.02	0.03	-0.1134378161435182	-0.024856532690262077	216.0	25.0	49.0
54931	240	0.15	1.0	0.1	joint_score_progression_risk	400	400	1.0	24	0.06	0.040647970113724695	0.0877228489004562	0.01	0.05	-0.4476812726124009	-0.0907821090988627	216.0	29.0	19.0
54931	240	0.15	1.0	0.25	joint_score_progression_risk	400	400	1.0	40	0.1	0.07429925914003437	0.13331057632740284	0.0025	0.0975	-0.6623991634977	-0.14695811648311086	216.0	25.0	50.0
54931	240	0.15	1.7	0.0	none	400	400	1.0	206	0.515	0.46611356033171036	0.5636010708382608	0.515	0.0	2.020445377718217	0.3918239505996959	217.0	33.0	0.0
54931	240	0.15	1.7	0.1	independent	400	400	1.0	191	0.4775	0.4289974607340835	0.5264305925109598	0.4775	0.0	1.9283405870361043	0.3914305167188239	216.0	31.0	20.0
54931	240	0.15	1.7	0.25	independent	400	400	1.0	178	0.445	0.3970507860416546	0.49399556633511804	0.445	0.0	1.8227194825164148	0.37274485350382247	216.0	29.0	50.0
54931	240	0.15	1.7	0.1	score_dependent	400	400	1.0	153	0.3825	0.33620468254006386	0.43103070662849585	0.3825	0.0	1.6538416353333956	0.34506347549266675	216.0	30.0	19.0
54931	240	0.15	1.7	0.25	score_dependent	400	400	1.0	155	0.3875	0.34104299567214824	0.43609727055306846	0.3875	0.0	1.6209235663703887	0.36529945025066224	216.0	25.0	48.0
54931	240	0.15	1.7	0.1	progression_risk_dependent	400	400	1.0	186	0.465	0.41668591738620475	0.5139799432171961	0.465	0.0	1.8395159435307202	0.3813160711292546	217.0	29.0	19.0
54931	240	0.15	1.7	0.25	progression_risk_dependent	400	400	1.0	165	0.4125	0.36531214409863494	0.46135250740986694	0.4125	0.0	1.707360371450501	0.38456481659652203	216.0	25.0	48.0
54931	240	0.15	1.7	0.1	joint_score_progression_risk	400	400	1.0	124	0.31	0.2666637181991197	0.35695095364791296	0.31	0.0	1.377935273023299	0.3075345936986641	216.0	27.0	19.0
54931	240	0.15	1.7	0.25	joint_score_progression_risk	400	400	1.0	64	0.16	0.12733275559943816	0.1991356045478835	0.16	0.0	0.9119713551786721	0.22800378204652594	216.0	23.0	50.0
54931	240	0.3	1.0	0.0	none	400	400	1.0	23	0.0575	0.038617542757733075	0.08480083772811935	0.03	0.0275	-0.04846478066916489	-0.006357565064811359	216.0	65.0	0.0
54931	240	0.3	1.0	0.1	independent	400	400	1.0	17	0.0425	0.026701694991131116	0.06700205432475019	0.0125	0.03	-0.07030494861767268	-0.00964068032852158	216.0	61.5	18.0
54931	240	0.3	1.0	0.25	independent	400	400	1.0	20	0.05	0.03259742983714726	0.07596363506371961	0.025	0.025	0.058133645247595116	0.008527475200543404	216.0	58.0	45.0
54931	240	0.3	1.0	0.1	score_dependent	400	400	1.0	27	0.0675	0.04680146916375965	0.09642666543540682	0.03	0.0375	0.026413866384276476	0.0035474652160106764	216.0	61.5	17.0
54931	240	0.3	1.0	0.25	score_dependent	400	400	1.0	20	0.05	0.03259742983714726	0.07596363506371961	0.025	0.025	0.08644311057926371	0.01363406174095321	216.0	55.0	46.0
54931	240	0.3	1.0	0.1	progression_risk_dependent	400	400	1.0	15	0.0375	0.022855029814710867	0.060943842444513396	0.01	0.0275	-0.06354631331898719	-0.009363879463929217	216.0	59.0	16.0
54931	240	0.3	1.0	0.25	progression_risk_dependent	400	400	1.0	21	0.0525	0.034591528357920405	0.07892197507127496	0.02	0.0325	0.02240788334973523	0.003294129944103376	216.0	52.0	43.0
54931	240	0.3	1.0	0.1	joint_score_progression_risk	400	400	1.0	33	0.0825	0.05934587622971528	0.1135968895394223	0.01	0.0725	-0.3644531714670899	-0.054860678324006124	216.0	58.0	18.0
54931	240	0.3	1.0	0.25	joint_score_progression_risk	400	400	1.0	46	0.115	0.0873329226216324	0.1499915440157759	0.005	0.11	-0.7438998751508297	-0.11863764232812227	216.0	51.0	47.0
54931	240	0.3	1.7	0.0	none	400	400	1.0	304	0.76	0.715799603858965	0.7992540030872007	0.76	0.0	2.7270148237469876	0.3713488758328212	216.0	65.0	0.0
54931	240	0.3	1.7	0.1	independent	400	400	1.0	293	0.7325	0.6870591672528669	0.7735176158816853	0.7325	0.0	2.546077687309819	0.3575032467594832	216.0	62.0	17.0
54931	240	0.3	1.7	0.25	independent	400	400	1.0	263	0.6575	0.6096946457889129	0.7023089814957836	0.6575	0.0	2.3408794153231467	0.3454140874446721	216.0	58.0	45.0
54931	240	0.3	1.7	0.1	score_dependent	400	400	1.0	275	0.6875	0.6404744504377174	0.7309584391869214	0.6875	0.0	2.4384081253732086	0.3547196880778778	216.0	60.0	16.0
54931	240	0.3	1.7	0.25	score_dependent	400	400	1.0	255	0.6375	0.5892885151310687	0.6830956039269998	0.6375	0.0	2.3278640829663004	0.3631985543291847	216.0	54.0	42.0
54931	240	0.3	1.7	0.1	progression_risk_dependent	400	400	1.0	294	0.735	0.6896629392432349	0.7758662824196457	0.735	0.0	2.655360317266725	0.3787849460561498	216.0	61.0	16.0
54931	240	0.3	1.7	0.25	progression_risk_dependent	400	400	1.0	275	0.6875	0.6404744504377174	0.7309584391869214	0.6875	0.0	2.475040250988581	0.37680832047371265	216.0	53.0	43.0
54931	240	0.3	1.7	0.1	joint_score_progression_risk	400	400	1.0	212	0.53	0.4810361559058216	0.5783931064341206	0.53	0.0	2.0325332576880344	0.2941246896322236	216.0	57.0	16.0
54931	240	0.3	1.7	0.25	joint_score_progression_risk	400	400	1.0	140	0.35	0.3048856490077627	0.3979680392925262	0.3475	0.0025	1.5450129290065444	0.25319092710668434	216.0	49.0	45.0
54931	320	0.15	1.0	0.0	none	400	400	1.0	17	0.0425	0.026701694991131116	0.06700205432475019	0.0175	0.025	-0.07200038227379807	-0.012137809281207466	288.5	43.0	0.0
54931	320	0.15	1.0	0.1	independent	400	400	1.0	10	0.025	0.013635091745936023	0.045401587871645666	0.01	0.015	0.00017754039484326118	4.513775782285515e-05	288.0	41.0	27.0
54931	320	0.15	1.0	0.25	independent	400	400	1.0	25	0.0625	0.04268914141220244	0.09063411613030699	0.0275	0.035	0.06772109998427653	0.012225112531298935	288.0	38.0	66.0
54931	320	0.15	1.0	0.1	score_dependent	400	400	1.0	25	0.0625	0.04268914141220244	0.09063411613030699	0.0275	0.035	0.08725836386667062	0.015487830207702764	288.0	41.0	27.0
54931	320	0.15	1.0	0.25	score_dependent	400	400	1.0	13	0.0325	0.01908984237880045	0.0548041528237668	0.0175	0.015	0.07757778229686954	0.014583673812137293	288.0	37.0	67.0
54931	320	0.15	1.0	0.1	progression_risk_dependent	400	400	1.0	21	0.0525	0.034591528357920405	0.07892197507127496	0.0175	0.035	-0.004048572708422588	-0.0006788020382093636	288.0	39.0	25.0
54931	320	0.15	1.0	0.25	progression_risk_dependent	400	400	1.0	21	0.0525	0.034591528357920405	0.07892197507127496	0.0175	0.035	-0.055687935984398085	-0.010513519082754587	288.0	33.0	65.0
