dataset	score	contrast	n_sle	n_hc	mean_sle	mean_hc	delta_sle_minus_hc	welch_p	fdr_within_dataset	subset	ebv_up_ifn_spearman	ebv_up_ifn_p	fdr_across_all_ebv_tests
GSE108497	ebv_up_score	SLE_vs_HC_at_16-23 weeks	75	37	29.365998850574712	27.208429916123016	2.157568934451696	0.5129078118495644	0.5471016659728687				0.5888941543457962
GSE108497	ebv_up_score	SLE_vs_HC_at_24-31 weeks	70	37	27.7962761773399	23.501597520969245	4.294678656370657	0.0179626413565554	0.03193358463387627				0.04640349017110145
GSE108497	ebv_up_score	SLE_vs_HC_at_32-40 weeks	55	35	32.70690877742947	22.124747802955664	10.582160974473805	0.0029260460456886	0.00936334734620352				0.0151179045693911
GSE108497	ebv_up_score	SLE_vs_HC_at_8-20 weeks postpartum	40	40	28.94239501724138	24.167252448275864	4.775142568965517	0.0166279489376269	0.03193358463387627				0.04640349017110145
GSE108497	ebv_up_score	SLE_vs_HC_at_<16 weeks	83	38	30.3483399833818	24.18649099818512	6.161848985196684	0.00268413934119	0.00936334734620352				0.0151179045693911
GSE108497	ebv_down_score	SLE_vs_HC_at_16-23 weeks	75	37	1817.4436890909092	1741.490176061776	75.95351302913309	0.0064842802864747	0.017291414097265867				0.028716098411530815
GSE108497	ebv_down_score	SLE_vs_HC_at_24-31 weeks	70	37	1814.784250584416	1724.6904626360126	90.09378794840312	0.0009469736229919	0.0075757889839352				0.009785394104249633
GSE108497	ebv_down_score	SLE_vs_HC_at_32-40 weeks	55	35	1740.8498127272728	1715.8391420408163	25.01067068645648	0.4193925893387404	0.4793058163871319				0.5000450103654213
GSE108497	ebv_down_score	SLE_vs_HC_at_8-20 weeks postpartum	40	40	1720.4571807142856	1644.2838108116885	76.17336990259719	0.0289847355670804	0.046375576907328644				0.06568601932011091
GSE108497	ebv_down_score	SLE_vs_HC_at_<16 weeks	83	38	1820.9509800265996	1783.441356339713	37.5096236868867	0.1929094532480827	0.2572126043307769				0.3147470026679244
GSE108497	ebv_up_minus_down	SLE_vs_HC_at_16-23 weeks	75	37	-1788.077690240334	-1714.281746145653	-73.79594409468109	0.0089344793528774	0.0204216670922912				0.034621107492399925
GSE108497	ebv_up_minus_down	SLE_vs_HC_at_24-31 weeks	70	37	-1786.9879744070756	-1701.1888651150432	-85.79910929203243	0.0016959555029351	0.009045096015653866				0.013143655147747024
GSE108497	ebv_up_minus_down	SLE_vs_HC_at_32-40 weeks	55	35	-1708.1429039498432	-1693.7143942378605	-14.42850971198277	0.6451121358972148	0.6451121358972148				0.6896026280280573
