seed	cell_state	neighborhood	studentized_effect_raw	studentized_effect_residualized	max_t_fwer_p_raw	max_t_fwer_p_residualized	direction_consistent_cd_uc_raw	direction_consistent_cd_uc_residualized	passes_seed
57131	Mono_macro	N01	-2.3189808715435114	-1.5546420706616773	0.3702681486592567	0.7854260728696356	True	True	False
57131	Mono_macro	N02	-0.8966489358465587	-0.7424486420985226	0.9984500077499613	0.998920005399973	True	True	False
57131	Mono_macro	N03	-0.9182405492353399	-0.7841877914504889	0.9979700101499492	0.9984050079749601	True	True	False
57131	Mono_macro	N04	-0.15681337097808934	-0.11376343821891349	1.0	1.0	False	False	False
57131	Mono_macro	N05	0.8399246317613485	1.6430406507772282	0.9992350038249809	0.7260813695931521	True	True	False
57131	Mono_macro	N06	0.4526736357585503	0.6256320437513748	1.0	0.999760001199994	False	False	False
57131	Mono_macro	N07	0.29914799005143133	1.454770071733681	1.0	0.8489407552962235	True	True	False
57131	Mono_macro	N08	-0.7628909426549966	-1.0748987072911356	0.9996250018749906	0.9781851090744547	True	True	False
57131	Mono_macro	N09	-0.8642861788936361	-1.2658041825154014	0.9988850055749722	0.933280333598332	True	True	False
57131	Mono_macro	N10	0.7669146402343646	1.6938319641231832	0.9996250018749906	0.6908565457172714	True	True	False
57131	Mono_macro	N11	-1.6273927493972293	-1.5625487400163247	0.8198359008204958	0.780241098794506	True	True	False
57131	Mono_macro	N12	1.914422224844433	0.9954437932073443	0.6421417892910536	0.9898300508497457	True	True	False
57131	Mono_macro	N13	1.7533692930101556	1.2609767714676239	0.7485762571187144	0.935320323398383	True	True	False
57131	Mono_macro	N14	-0.9386010001968341	-0.9595373311582762	0.9976100119499403	0.9921450392748036	True	True	False
57131	Mono_macro	N15	1.045248432643934	0.11386365582444756	0.9931650341748292	1.0	True	False	False
57131	Mono_macro	N16	1.1759878424966517	1.8295102627913764	0.9787951060244698	0.58960205198974	True	True	False
57131	Mono_macro	N17	-1.932302718752575	-1.6440975079193563	0.6305868470657646	0.7256513717431413	False	False	False
57131	Mono_macro	N18	0.32981450685796054	-0.07410114822198276	1.0	1.0	False	False	False
57131	Mono_macro	N19	1.0111190647034356	1.2440105013348448	0.995160024199879	0.9397353013234934	True	False	False
57131	Mono_macro	N20	-1.403941308035165	-0.014950570586394488	0.9230053849730752	1.0	True	False	False
