subset	cohort	feature	n	n_responders	n_nonresponders	auc	auc_ci_low	auc_ci_high	hedges_g	welch_p	parameter_count
bounded	pooled	locked_signed_score	19	10	9	0.8111111111111111	0.5888888888888889	1.0	1.1908348787735676	0.01659770154216917	0
bounded	pooled	coupled_projection	19	10	9	0.6888888888888889	0.4444444444444444	0.9	0.6610474412772832	0.15192770196542485	0
bounded	pooled	coupled_v22_augmented	19	10	9	0.6333333333333333	0.35555555555555557	0.8666666666666667	0.5415359326965005	0.22678740903033306	0
bounded	pooled	coupling_coordination	19	10	9	0.7333333333333333	0.4888888888888889	0.9222222222222223	0.7769683417807862	0.11096179465300977	0
bounded	GSE235357	locked_signed_score	10	5	5	0.72	0.35900000000000004	1.0	0.6512291126085582	0.2979459256245463	0
bounded	GSE235357	coupled_projection	10	5	5	0.56	0.16	1.0	0.16032520555012608	0.78987794372592	0
bounded	GSE235357	coupled_v22_augmented	10	5	5	0.48	0.12	0.88	-0.30150292773435267	0.6192625146721393	0
bounded	GSE235357	coupling_coordination	10	5	5	0.64	0.24	1.0	0.25243492970664716	0.6716202963285292	0
bounded	GSE253006_TOF_exact	locked_signed_score	9	5	4	0.95	0.7	1.0	1.8110591428518386	0.016154763703668983	0
bounded	GSE253006_TOF_exact	coupled_projection	9	5	4	0.95	0.7	1.0	1.4433708483069247	0.03888050936781073	0
bounded	GSE253006_TOF_exact	coupled_v22_augmented	9	5	4	0.85	0.5	1.0	0.9681058233853316	0.12971854352868867	0
bounded	GSE253006_TOF_exact	coupling_coordination	9	5	4	0.85	0.5	1.0	1.153088862349178	0.15300772703811277	0
all_primary_plus_exact	pooled	locked_signed_score	43	24	19	0.6557017543859649	0.48903508771929827	0.8180372807017541	0.6108988240415381	0.049902780819971376	0
all_primary_plus_exact	pooled	coupled_projection	43	24	19	0.5723684210526315	0.39029605263157896	0.7543859649122807	0.34091659115287865	0.27506399140991517	0
all_primary_plus_exact	pooled	coupled_v22_augmented	43	24	19	0.5701754385964912	0.3991228070175439	0.7324561403508771	0.21301192568266097	0.4580309731422486	0
all_primary_plus_exact	pooled	coupling_coordination	43	24	19	0.6381578947368421	0.471436403508772	0.8048245614035088	0.33556716604351927	0.27201207257146276	0
all_primary_plus_exact	GSE235357	locked_signed_score	10	5	5	0.72	0.32	1.0	0.6512291126085582	0.2979459256245463	0
all_primary_plus_exact	GSE235357	coupled_projection	10	5	5	0.56	0.16	1.0	0.16032520555012608	0.78987794372592	0
all_primary_plus_exact	GSE235357	coupled_v22_augmented	10	5	5	0.48	0.12	0.88	-0.30150292773435267	0.6192625146721393	0
all_primary_plus_exact	GSE235357	coupling_coordination	10	5	5	0.64	0.24	1.0	0.25243492970664716	0.6716202963285292	0
all_primary_plus_exact	GSE250453	locked_signed_score	10	5	5	0.6	0.2	1.0	0.15023033010758816	0.7993087893522117	0
all_primary_plus_exact	GSE250453	coupled_projection	10	5	5	0.56	0.19900000000000007	0.88	0.09471178134167813	0.872437016798739	0
all_primary_plus_exact	GSE250453	coupled_v22_augmented	10	5	5	0.32	0.0	0.72	-0.2825788220419852	0.6450108186808247	0
all_primary_plus_exact	GSE250453	coupling_coordination	10	5	5	0.4	0.08	0.8	-0.4522059242276877	0.4574816462713267	0
all_primary_plus_exact	GSE253006_TOF_exact	locked_signed_score	9	5	4	0.95	0.8	1.0	1.8110591428518386	0.016154763703668983	0
all_primary_plus_exact	GSE253006_TOF_exact	coupled_projection	9	5	4	0.95	0.8	1.0	1.4433708483069247	0.03888050936781073	0
all_primary_plus_exact	GSE253006_TOF_exact	coupled_v22_augmented	9	5	4	0.85	0.5	1.0	0.9681058233853316	0.12971854352868867	0
all_primary_plus_exact	GSE253006_TOF_exact	coupling_coordination	9	5	4	0.85	0.5	1.0	1.153088862349178	0.15300772703811277	0
