subset	feature	observed_best_feature	observed_delta_auc	max_candidate_null_p	null_mean_delta_auc	null_p95_delta_auc	n_permutations
bounded	best_of_coupled_candidates	coupling_coordination	-0.07777777777777783	0.9128174365126974	0.08906	0.2888888888888889	5000
bounded	coupled_projection	coupled_projection	-0.12222222222222223	0.7860427914417116	-0.0008844444444444449	0.25555555555555554	5000
bounded	coupled_v22_augmented	coupled_v22_augmented	-0.1777777777777778	0.9050189962007599	-0.0005688888888888893	0.2222222222222222	5000
bounded	coupling_coordination	coupling_coordination	-0.07777777777777783	0.7228554289142172	-0.0003933333333333342	0.22222222222222227	5000
all_primary_plus_exact	best_of_coupled_candidates	coupling_coordination	-0.01754385964912275	0.8568286342731454	0.0668188596491228	0.19736842105263164	5000
all_primary_plus_exact	coupled_projection	coupled_projection	-0.08333333333333337	0.769246150769846	-0.0003206140350877185	0.18201754385964913	5000
all_primary_plus_exact	coupled_v22_augmented	coupled_v22_augmented	-0.08552631578947367	0.8764247150569886	0.0019149122807017541	0.12719298245614036	5000
all_primary_plus_exact	coupling_coordination	coupling_coordination	-0.01754385964912275	0.5738852229554089	-6.491228070175441e-05	0.14912280701754388	5000
