artifact	artifact_group	exists	n_claims	claim_ids	n_reader_documents	reader_documents
analysis/v27_coupled_axis/v27_scalar_vs_coupled_metrics.tsv	analysis output	yes	1	D02	21	CASE_STUDY_MONITOR_VS_TARGET.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_ROUTES.md;CONTRIBUTE_A_METHOD.md;CONTRIBUTE_DOCUMENTATION_OR_VISUAL.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;VISUAL_INDEX.md
analysis/v39_failure_structure_exclusion/v39_pattern_null_tests.tsv	analysis output	yes	1	F01	3	COLLABORATOR_BRIEF_V55.md;FAILURE_MODE_ATLAS.md;RESEARCH_EVOLUTION_TIMELINE.md
analysis/v54_foamy_donor_estimand_audit/REPORT.md	analysis output	yes	1	P04	23	CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;CONTRIBUTE_A_DATA_SOURCE.md;CONTRIBUTE_DOCUMENTATION_OR_VISUAL.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md
analysis/v54_post_result_morphology_multiplicity/REPORT.md	analysis output	yes	1	P04	23	CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;CONTRIBUTE_A_DATA_SOURCE.md;CONTRIBUTE_DOCUMENTATION_OR_VISUAL.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md
analysis/v54_transition_identifiability/REPORT.md	analysis output	yes	1	P03	24	CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;CONTRIBUTE_A_DATA_SOURCE.md;CONTRIBUTE_DOCUMENTATION_OR_VISUAL.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md
docs/findings/DEEP_STRUCTURE_V26.md	docs/findings	yes	1	D01	20	CASE_STUDY_MONITOR_VS_TARGET.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_ROUTES.md;CONTRIBUTE_A_METHOD.md;CONTRIBUTE_DOCUMENTATION_OR_VISUAL.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;VISUAL_INDEX.md
docs/findings/FINDING_V22.md	docs/findings	yes	2	M01;M02	30	CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_MONITOR_VS_TARGET.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_WORKSHOP_GUIDE.md;CONTRIBUTE_A_DATA_SOURCE.md;CONTRIBUTE_A_METHOD.md;CONTRIBUTE_DOCUMENTATION_OR_VISUAL.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PATIENT_AND_PUBLIC_SAFETY.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;README.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;STATUS_DECODER.md;VISUAL_INDEX.md
docs/history/FAILURE_STRUCTURE_AND_EXCLUSION_V39.md	docs/history	yes	1	F01	3	COLLABORATOR_BRIEF_V55.md;FAILURE_MODE_ATLAS.md;RESEARCH_EVOLUTION_TIMELINE.md
docs/history/JOINT_INFERENCE_V41.md	docs/history	yes	2	D04;D05	20	CASE_STUDY_CONTEXT_TO_TEST.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;CONTRIBUTE_A_METHOD.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;VISUAL_INDEX.md
docs/history/LEAD_SLATE_V21.md	docs/history	yes	1	G01	8	COLLABORATOR_BRIEF_V55.md;GLOSSARY.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;RESEARCH_EVOLUTION_TIMELINE.md;VISUAL_INDEX.md
docs/history/MS_RESEARCH_LOG_2026-05-26.md	docs/history	yes	1	B01	3	COLLABORATOR_BRIEF_V55.md;GLOSSARY.md;MS_RESEARCH_EXPLAINED.md
docs/history/PROGRESSION_FRONTIER_V54.md	docs/history	yes	4	B02;P01;P02;P03	28	CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_WORKSHOP_GUIDE.md;CONTRIBUTE_A_DATA_SOURCE.md;CONTRIBUTE_DOCUMENTATION_OR_VISUAL.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PATIENT_AND_PUBLIC_SAFETY.md;QUESTION_STARTERS_BY_DISCIPLINE.md;README.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md
docs/history/V53_RUN_SUMMARY.md	docs/history	yes	2	C01;C02	23	CASE_STUDY_BRAIN_BANK_CONFOUND.md;CASE_STUDY_LEARNING_PATH.md;COLLABORATOR_BRIEF_V55.md;CONFOUND_CHECK_QUICK_REFERENCE.md;CONTRIBUTE_A_DATA_SOURCE.md;CONTRIBUTE_A_METHOD.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;VISUAL_INDEX.md;WORKED_SUBMISSION_LIFECYCLE.md
