gene	approved_name	wave62_score	wave62_call	manual_blocker	prior_context_blocker	max_l2g_score	best_l2g_disease	strong_l2g_disease_count	strong_l2g_diseases	supporting_l2g_disease_count	supporting_l2g_diseases	ms_max_l2g_score	ms_l2g_study_loci	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	relevant_qtl_coloc_disease_count	relevant_qtl_coloc_diseases	myeloid_qtl_coloc_disease_count	max_qtl_h4	ms_max_qtl_h4	ms_max_relevant_qtl_h4	ms_relevant_qtl_biosamples	direction_proxy_values	local_positive_disease_count	local_negative_disease_count	local_positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	in_lipid_lysosomal_myeloid_neighborhood	residual_retained_disease_count	strict_core_covariate_surviving_disease_count	wave34_call	gwas_catalog_trait_count	chembl_target_id	druggable_activity_count	wave34a_call	wave34a_direction	wave34a_route_reason	wave55_score	wave55_genetic_diseases_ge_0_25	wave61_best_call	wave61_best_manual_blocker	wave61_best_target_suppression	wave61_best_selectivity
FCGR2B	Fc gamma receptor IIb	1.835668561074276	NO_GO_WAVE62_TARGET_RESOLUTION			0.3366105854511261	SLE	0		1	SLE	0.0		4	AS;Crohn;SLE;UC	4	AS;Crohn;SLE;UC	0	0.99905797562315	0.0	0.0		AS:blood plasma:-0.0253;AS:blood plasma:0.0253;Crohn:blood plasma:-0.0073;Crohn:blood plasma:0.0073;SLE:blood plasma:-0.053;SLE:blood plasma:0;SLE:blood plasma:0.053;UC:blood plasma:-0.00887;UC:blood plasma:-0.0107;UC:blood plasma:-0.0143;UC:blood plasma:-0.0701;UC:blood plasma:-0.16;UC:blood plasma:0.00887;UC:blood plasma:0.0107;UC:blood plasma:0.0143;UC:blood plasma:0.0701;UC:blood plasma:0.16	0.0	1.0		0.3743680552898727	0.5995853752716118	0.9466965949245808	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	5.0		0.0				2.0	SLE			0.0	0.0
INPP5D	inositol polyphosphate-5-phosphatase D	1.1307186484336853	NO_GO_WAVE62_TARGET_RESOLUTION			0.6307186484336853	Psoriasis	1	Psoriasis	1	Psoriasis	0.0		0		0		0	0.0	0.0	0.0			0.0	0.0		-0.3037841690561134	0.0943958111282368	0.8989378106274888	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0		0.0				2.0	Psoriasis			0.0	0.0
