gene	mean_case	mean_control	delta_log2	hedges_g	welch_t	p	fdr	ms_positive_anchor	ms_nominal_down	ms_nonnegative_guardrail
LILRB2	8.554519699841956	9.284180889391164	-0.7296611895492067	-1.340263453087741	-3.111483679122274	0.0077844079989185	0.8344760564031432	False	True	False
CD300A	11.08594110735444	11.431285432245907	-0.3453443248914674	-0.7766143203952453	-1.875089885308766	0.0766109345414007	0.8989378106274888	False	False	True
INPP5D	13.09484392948535	13.398628098541463	-0.3037841690561134	-0.7287113144868769	-1.7651571312844403	0.0943958111282368	0.8989378106274888	False	False	True
LAIR1	11.942495733995411	12.223617306432727	-0.2811215724373159	-0.715166644642748	-1.6959270172434548	0.1069140784882185	0.8989378106274888	False	False	True
LILRB1	10.96469256571789	11.21269656445253	-0.2480039987346405	-0.4628983827341497	-1.0712134028502074	0.3035041507515239	0.9075477698307116	False	False	True
LILRB3	8.753504476081092	9.130459335018273	-0.3769548589371787	-0.2821420590732296	-0.6815807015552351	0.5039530830837081	0.9299116980283588	False	False	True
LILRB5	4.584360402373451	5.46681886309274	-0.8824584607192891	-0.2793101416090359	-0.6628285652282467	0.51569138646586	0.9344601280416808	False	False	True
FCGR2B	8.951877523204725	8.577509467914853	0.3743680552898727	0.2224435935373845	0.5339366720119647	0.5995853752716118	0.9466965949245808	False	False	True
CD300LF	8.813813758010017	8.912935010454865	-0.0991212524448474	-0.1661163850359562	-0.3823412381587903	0.7089814372180329	0.9669212366619434	False	False	True
LILRB4	11.777225885312328	11.833935211890177	-0.0567093265778488	-0.0627677211582155	-0.1455391856238336	0.8864378306397437	0.9842134382901514	False	False	True
