gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend	genetic_or_target_db_breadth	discovery_priority_score
CHI3L1	16	4	0	1	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0005617189029733257	0.06265604836773754	5.935692735666803	1.7017607091962836			ibd_uc_stromal:5.94,p=0.00056;ibd_crohn_stromal:4.7,p=0.011;t1d_endothelial_cell:2.71,p=0.038;t1d_stellate_cell:1.53,p=0.043	True	2.006853151074319	1.3467454734949036	0.0046126032857275	0.8344760564031432							4.938511651385653	1.7192558256928263	3.2192558256928265	1.0	0.0	MS			True	True	0.0	23.246925582569283
CALR	17	5	0	2	0	3	0	Crohn disease;psoriasis;ulcerative colitis		7.023143783541643e-06	0.007694123475462205	1.0437359702125235	4.0190595404869045			ibd_uc_epithelial:1.04,p=7e-06;ibd_crohn_epithelial:0.829,p=4.7e-05;psoriasis_keratinocyte:0.73,p=0.0064;ibd_uc_myeloid:0.39,p=0.029;ibd_crohn_stromal:0.469,p=0.03	True	-0.3627605322732279	-0.8447282646406061	0.0595887198784885	0.8989378106274888							3.561016953336229	1.0305084766681143	2.5305084766681145	0.0	0.0				False	False	0.0	19.17805084766681
ACSL3	17	5	0	1	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		5.862895522198751e-05	0.036477679604365876	1.0739970552681424	1.7454590728529693			ibd_crohn_epithelial:1.07,p=5.9e-05;ibd_crohn_stromal:0.806,p=0.0086;ibd_uc_stromal:0.388,p=0.018;ibd_uc_epithelial:0.896,p=0.03;t1d_endothelial_cell:0.965,p=0.032	True	0.2210563122194138	0.4772641853565081	0.2754311664874719	0.9049965616313804															False	False	0.0	17.0
IFI30	17	4	0	0	0	3	0	psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.009992011456498745	0.23412517333064503	1.102675107097956	1.778054838138662			ibd_uc_myeloid:1.1,p=0.01;t1d_beta_cell:0.812,p=0.015;psoriasis_skin_stromal:0.317,p=0.022;psoriasis_skin_apc:0.537,p=0.049	True	0.21016237009791	0.3729738390500611	0.379946954952182	0.9141270983319502	1.0	MS	0.2990422763468515	0.4836831196082599		datatype_genetic_association;datatype_literature	31.50899057956498	21.104457053605913	4.717033525959066	5.0	1.0	Crohn,MS,UC,lupus_nephritis,psoriasis	RA		False	False	1.0	16.07544952897825
APOC1	17	3	1	0	0	3	1	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	ulcerative colitis	0.007747831575156192	0.33539965560265417	1.507336097479321	1.2341409625104072	0.04675520808954815	-1.567049625672901	t1d_acinar_cell:1.51,p=0.0077;sjogren_gland_epithelial:1.18,p=0.0097;ibd_uc_epithelial:1.28,p=0.047	True	0.8063088065414767	0.960873317311374	0.0333487255864159	0.8506970233122761															True	True	0.0	16.0
CD44	17	3	1	1	0	2	1	Crohn disease;ulcerative colitis	ulcerative colitis	0.0015832670954624788	0.08521369688792699	1.9658364080683386	2.308336530258375	0.01623922645014018	-0.48154612134324015	ibd_uc_epithelial:1.97,p=0.0016;ibd_crohn_epithelial:1.24,p=0.0021;ibd_crohn_myeloid:0.805,p=0.012	True	1.3446537852001974	0.9541987285932504	0.0331669831445104	0.8506970233122761							5.735020470613311	2.1175102353066557	3.617510235306656	1.0	0.0	MS			True	True	0.0	15.286751023530666
ACSL4	17	3	0	0	0	3	0	Crohn disease;psoriasis;ulcerative colitis		0.003111396004126725	0.13557177985204122	1.5639037114591732	2.180425353328193			ibd_uc_stromal:1.56,p=0.0031;ibd_crohn_epithelial:0.987,p=0.015;psoriasis_skin_stromal:0.766,p=0.035	True	0.2015981425120099	0.3397711498911905	0.4425443131425552	0.9214560346888634															False	False	0.0	13.0
LIPA	17	4	1	1	0	3	1	Crohn disease;psoriasis;type 1 diabetes mellitus	ulcerative colitis	8.74125080186502e-09	0.00014565546211147684	1.0616337982163286	2.037483436092645	0.03335660067204309	-1.9121782816765611	t1d_ductal_cell:0.89,p=8.7e-09;t1d_acinar_cell:0.823,p=0.013;psoriasis_keratinocyte:1.06,p=0.049;ibd_crohn_epithelial:0.785,p=0.049	True	0.4580110941773352	0.492824360482639	0.2725305004844303	0.9049965616313804							12.744993240342652	9.619993240342652	0.0	4.0	2.0	Sjogren,UC,lupus_nephritis,psoriasis	Crohn,RA		False	False	0.0	12.637249662017133
CTSL	17	2	1	0	0	2	1	psoriasis;ulcerative colitis	ulcerative colitis	0.004795447672623222	0.30193550072128406	2.2694628711753833	3.2173970519051363	0.03895435854016682	-1.7908122545650618	psoriasis_keratinocyte:2.27,p=0.0048;ibd_uc_myeloid:1.86,p=0.023	True	0.4062437628526023	0.9797671677476824	0.0338072600121596	0.8506970233122761							5.76331804524918	2.13165902262459	3.63165902262459	1.0	0.0	MS			True	True	0.0	12.28816590226246
FABP5	17	2	2	0	0	2	1	psoriasis;ulcerative colitis	ulcerative colitis	0.0014597104013382171	0.32705155469215597	3.864072710520936	3.294411177932702	0.00532752394606013	-1.695894643698601	psoriasis_keratinocyte:3.86,p=0.0015;ibd_uc_myeloid:1.64,p=0.028	True	1.2651351909882678	1.354921443745131	0.004142204528345	0.8344760564031432							16.89192358038313	9.704423580383128	1.5	5.0	2.0	MS,SLE_B,SLE_CD4_T,Sjogren,psoriasis	MS,RA		True	True	0.0	11.844596179019156
CTSB	17	2	0	0	0	2	0	psoriasis;ulcerative colitis		0.02526380990939479	0.2731908958191365	1.8839747063622552	2.164233289174911			ibd_uc_epithelial:0.463,p=0.025;psoriasis_keratinocyte:1.88,p=0.026	True	-0.0599954640789519	-0.1033313175720312	0.8140537383462653	0.9761732664217524	2.0	celiac;psoriasis	0.084211673347951			datatype_literature;datatype_rna_expression	23.323767055605646	13.011777066559349	2.8744899890462987	5.0	1.0	Crohn,SLE_myeloid,UC,lupus_nephritis,psoriasis	RA		False	False	2.0	11.166188352780281
SPP1	16	3	0	0	0	2	0	type 1 diabetes mellitus;ulcerative colitis		0.0021400276411411468	0.14216296664780687	4.9347069843809015	1.855827407235843			t1d_endothelial_cell:4.93,p=0.0021;ibd_uc_myeloid:4.64,p=0.018;t1d_acinar_cell:2.87,p=0.047	True	0.0019111874426158	0.00274370793029	0.994792495277153	0.9992380443970746							22.719686071751983	13.114786919493737	2.6048991522582448	4.0	0.0	Crohn,RA,UC,psoriasis			False	False	0.0	11.135984303587598
C3	17	4	0	1	0	1	0	type 1 diabetes mellitus		0.0003894961201228635	0.08152207149804426	3.3498113482444354	1.1702270674800035			t1d_endothelial_cell:3.35,p=0.00039;t1d_beta_cell:3.26,p=0.0048;t1d_acinar_cell:1.34,p=0.019;t1d_ductal_cell:0.759,p=0.025	True	-0.2902119851696412	-0.3867846863775448	0.3818534733172571	0.9141270983319502							0.6474729726607512	-0.8525270273392488	1.5	0.0	1.0		MS		False	False	0.0	10.032373648633037
LAMP3	15	3	1	2	0	2	1	Crohn disease;ulcerative colitis	ulcerative colitis	9.163003006588268e-06	0.0375749913557798	4.269546394914972	3.275238329733834	0.03978729847531126	-0.5939720209158509	ibd_crohn_myeloid:4.27,p=9.2e-06;ibd_uc_myeloid:3.65,p=0.00015;ibd_crohn_stromal:1.75,p=0.039	True	1.112744457164954	0.6035372974366917	0.1588852707263668	0.8989378106274888															False	False	0.0	10.0
MARCO	11	2	0	0	0	2	0	Crohn disease;ulcerative colitis		0.001781874078588907	0.1282596837813283	3.5410318820405644	1.8754749318274722			ibd_crohn_myeloid:3.39,p=0.0018;ibd_uc_myeloid:3.54,p=0.026	True	-2.5362846413133395	-0.7613052721484995	0.0907982255292643	0.8989378106274888							15.197400115125992	4.697400115125992	0.0	6.0	0.0	Crohn,RA,SLE_myeloid,Sjogren,UC,lupus_nephritis			False	False	0.0	9.7598700057563
