gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood
A1BG	17	0	0	0	0	0	0										False
A1BG-AS1	16	1	0	0	0	1	0	psoriasis		0.03299804200225545	0.40019800162873154	0.3787138965487242	2.0883456267614684			psoriasis_keratinocyte:0.379,p=0.033	False
A1CF	9	1	1	1	0	1	1	type 1 diabetes mellitus	ulcerative colitis	0.0006475325884187792	0.09861728985205606	1.0067645439794348	1.4033302287677065	0.027780817427308018	-1.368456853582174	t1d_stellate_cell:1.01,p=0.00065	False
A2M	17	1	5	0	1	1	3	psoriasis	Crohn disease;Sjogren syndrome;ulcerative colitis	0.0068826514312392145	0.5232404153085454	1.1834973920299774	5.287877837537835	0.0007442627713844717	-3.4571668677499465	psoriasis_skin_stromal:1.18,p=0.0069	False
A2M-AS1	17	0	1	0	0	0	1		Sjogren syndrome					0.0281353359852952	-0.6793732728583335		False
A2ML1	7	1	0	0	0	1	0	psoriasis		0.034719023248045655	0.4011776855304397	1.2014836659805512	2.2488462666544238			psoriasis_keratinocyte:1.2,p=0.035	False
A2ML1-AS1	3	1	0	0	0	1	0	psoriasis		0.04119363348536085	0.4022305021632905	1.3802002957225448	2.320175188506511			psoriasis_keratinocyte:1.38,p=0.041	False
A2ML1-AS2	1	0	0	0	0	0	0										False
A4GALT	17	0	0	0	0	0	0										False
A4GNT	4	0	0	0	0	0	0										False
AAAS	17	3	0	1	0	3	0	Crohn disease;psoriasis;type 1 diabetes mellitus		0.0007388468751640555	0.07945340377921611	1.7079220031175826	1.8852107651376606			ibd_crohn_epithelial:0.629,p=0.00074;t1d_endothelial_cell:1.71,p=0.011;psoriasis_keratinocyte:0.587,p=0.049	False
AACS	17	2	0	0	0	2	0	Crohn disease;type 1 diabetes mellitus		0.006004416369193247	0.14311067277391926	1.478024065359893	1.367897028043466			ibd_crohn_epithelial:0.659,p=0.006;t1d_endothelial_cell:1.48,p=0.014	False
AADAC	11	1	0	0	0	1	0	type 1 diabetes mellitus		0.0034073110523628863	0.1847454664872649	0.9283509117253904	1.0826462432112394			t1d_stellate_cell:0.928,p=0.0034	False
AADACL2	1	0	0	0	0	0	0										False
AADACL2-AS1	1	0	0	0	0	0	0										False
AADACL3	2	0	0	0	0	0	0										False
AADACL4	2	0	0	0	0	0	0										False
AADAT	14	0	2	0	0	0	2		Crohn disease;ulcerative colitis					0.0006092007948294471	-1.7836742511823531		False
AAED1	6	0	0	0	0	0	0										False
