gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend	genetic_or_target_db_breadth	discovery_priority_score
CBX3	17	10	0	2	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0012132098737370881	0.09473438494074915	0.8123403245221184	1.7084156224901315			ibd_crohn_epithelial:0.379,p=0.0012;ibd_uc_stromal:0.706,p=0.0014;psoriasis_skin_stromal:0.495,p=0.0031;t1d_stellate_cell:0.392,p=0.0038;t1d_acinar_cell:0.707,p=0.0083;psoriasis_keratinocyte:0.812,p=0.012;ibd_uc_myeloid:0.378,p=0.026;t1d_ductal_cell:0.376,p=0.027	False	0.3505111291715241	1.1456836022078896	0.0165873089490037	0.8372898579012464															True	True	0.0	33.0
FMNL2	17	5	0	0	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.002876202024805603	0.11704739392969689	1.458620390779716	1.728910431209957			ibd_uc_epithelial:1.27,p=0.0029;ibd_crohn_epithelial:0.603,p=0.01;psoriasis_keratinocyte:1.46,p=0.015;t1d_endothelial_cell:1.33,p=0.019;t1d_ductal_cell:0.885,p=0.035	False	0.4116873433440275	1.0373027404352155	0.0323812070948891	0.8506970233122761							2.173760330676849	0.3368801653384247	1.8368801653384248	1.0	0.0	MS			True	True	0.0	24.108688016533844
C15ORF48	17	4	0	2	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		2.9480144785423246e-05	0.028747352615042725	4.446094548919012	2.192391202215459			ibd_uc_myeloid:4.45,p=2.9e-05;ibd_crohn_myeloid:3.88,p=0.00061;t1d_endothelial_cell:3.21,p=0.0014;t1d_stellate_cell:3.09,p=0.015	False	1.223015588579818	1.4379284490095372	0.0037534871126623	0.8344760564031432															True	True	0.0	24.0
CHI3L1	16	4	0	1	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0005617189029733257	0.06265604836773754	5.935692735666803	1.7017607091962836			ibd_uc_stromal:5.94,p=0.00056;ibd_crohn_stromal:4.7,p=0.011;t1d_endothelial_cell:2.71,p=0.038;t1d_stellate_cell:1.53,p=0.043	True	2.006853151074319	1.3467454734949036	0.0046126032857275	0.8344760564031432							4.938511651385653	1.7192558256928263	3.2192558256928265	1.0	0.0	MS			True	True	0.0	23.246925582569283
NCK1	17	5	0	1	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0018453507303069995	0.09354855980519611	0.8863146458211997	1.4531818518547293			ibd_uc_epithelial:0.886,p=0.0018;t1d_endothelial_cell:0.672,p=0.02;ibd_crohn_stromal:0.523,p=0.026;t1d_acinar_cell:0.595,p=0.04;ibd_crohn_epithelial:0.482,p=0.042	False	0.4449989986308154	1.2992882055107169	0.0055557148533128	0.8344760564031432							1.0915679669046232	-0.4084320330953768	1.5	0.0	1.0		MS		True	True	0.0	23.05457839834523
TNFAIP8L1	17	4	0	0	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.02439646440966061	0.2900620625148351	1.4268643464216266	1.3831822236030145			ibd_crohn_stromal:1.43,p=0.024;ibd_uc_epithelial:1.28,p=0.031;t1d_beta_cell:0.593,p=0.034;psoriasis_skin_stromal:0.466,p=0.043	False	0.4563149724166724	1.2714440874720627	0.0085624242089706	0.8349413280632139															True	True	0.0	23.0
SNX10	17	4	0	1	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.00012074595995397217	0.06020103215929445	2.5310125109687025	2.0744762631237723			ibd_crohn_myeloid:1.94,p=0.00012;ibd_uc_myeloid:1.31,p=0.0026;t1d_endothelial_cell:2.53,p=0.0028;t1d_stellate_cell:1.72,p=0.017	False	0.712408223548989	1.1823545258857546	0.0127398445881719	0.8349413280632139															True	True	0.0	22.0
PPIL3	17	5	0	0	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.004922253173472926	0.14909153649825588	1.6188990139096036	1.3189637563731904			ibd_uc_epithelial:0.996,p=0.0049;t1d_endothelial_cell:1.62,p=0.025;ibd_crohn_epithelial:0.629,p=0.028;t1d_ductal_cell:1.31,p=0.03;t1d_stellate_cell:1.53,p=0.035	False	0.6072339458133413	1.0821472724885264	0.0182948169279802	0.8372898579012464							1.2937852196614783	-0.2062147803385215	1.5	0.0	1.0		MS		True	True	0.0	21.064689260983073
SEL1L3	17	3	0	1	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0010368895881306744	0.08519323720698782	2.092734190002885	1.8078841681628162			ibd_uc_stromal:2.09,p=0.001;ibd_crohn_stromal:1.46,p=0.007;t1d_endothelial_cell:1.55,p=0.0076	False	0.922501683138024	1.11834180243498	0.0181382735511015	0.8372898579012464															True	True	0.0	21.0
LIMS1	17	4	0	2	0	2	0	Crohn disease;ulcerative colitis		2.3147281373198738e-05	0.01279041611078385	0.9517395998897369	2.507125654805247			ibd_uc_epithelial:0.952,p=2.3e-05;ibd_crohn_epithelial:0.697,p=0.0003;ibd_crohn_stromal:0.58,p=0.014;ibd_uc_myeloid:0.877,p=0.032	False	0.5206467023461094	1.0755068718143712	0.0204864195148095	0.8372898579012464															True	True	0.0	21.0
