dataset	contrast	contrast_type	case_group	control_group	gene	delta_case_minus_control	hedges_g	p	n_case	n_control	statistical_status	note	target_route	therapeutic_multiplier	modules	submodules	is_target_gene	fdr
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	ABCA1	-0.9533048344113393			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution_efferocytosis	lxr_efflux	False	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	ABCG1	0.9195353287563177			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution_efferocytosis	lxr_efflux	False	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	ACTA2	0.8122982758258982			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	fibrosis_profibrotic	fibrosis_core	False	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	ANXA1	-0.7894973279426887			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution_efferocytosis	fpr2_anxa1_axis	True	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	APOE	-1.4148720677045714			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution_efferocytosis;lipid_lysosomal_apc	trem2_lipid_sensing;foam_dam_lipid	False	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	ATF4	-0.7706597599943021			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	stress_cytotoxicity	stress_core	False	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	AXL	-0.8407863647390763			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution_efferocytosis	tam_receptor_ligand	True	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	BAX	-0.42075911209289846			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	stress_cytotoxicity	stress_core	False	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	C1QA	-1.808660103225265			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution_efferocytosis	complement_efferocytosis	False	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	C1QB	-2.1382544615457535			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution_efferocytosis	complement_efferocytosis	False	
