gene	modules	submodules	is_target_gene	n_up_contexts	n_up_datasets	n_down_contexts	n_down_datasets	max_delta	min_delta	up_contexts	down_contexts
PPARG	resolution_efferocytosis		True	7	6	4	4	2.0897786571419767	-1.505756788338672	MF_AC_vs_MF;AC_90min_vs_Alone;IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL;Aged_BEX_vs_Aged_vehicle	WT_2h_AC_vs_WT_Ctrl;AC_45min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago;StrokeAged_BEX_vs_StrokeAged_vehicle
NR1H3	resolution_efferocytosis	lxr_efflux	True	7	6	1	1	1.4161472271127833	-1.3490596045640446	WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF;AC_90min_vs_Alone;IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	WT_2h_AC_vs_WT_Ctrl
ANXA1	resolution_efferocytosis	fpr2_anxa1_axis	True	6	4	3	3	2.231590497850119	-0.7894973279426887	WT_6h_AC_vs_WT_Ctrl;AC_45min_vs_Alone;AC_90min_vs_Alone;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL;Aged_BEX_vs_Aged_vehicle	WT_2h_AC_vs_WT_Ctrl;IL10_Tconv_phago_vs_IL10_nonphago;Young_BEX_vs_Young_vehicle
CTSS	lipid_lysosomal_apc	cathepsin_lysosome	True	5	4	3	2	2.5540931267701814	-2.185788701282614	AC_90min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF
NR1H2	resolution_efferocytosis	lxr_efflux	True	5	4	3	2	2.1920969876497454	-1.2653213206440386	WT_2h_AC_vs_WT_Ctrl;AC_45min_vs_Alone;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	MF_AC_vs_MF;IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago
LIPA	lipid_lysosomal_apc	cathepsin_lysosome	True	7	4	4	2	1.9905422223742784	-2.2931156749656925	IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL;Young_BEX_vs_Young_vehicle;Aged_BEX_vs_Aged_vehicle	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;AC_45min_vs_Alone;AC_90min_vs_Alone
CD74	lipid_lysosomal_apc	mhcII_ciita	True	5	4	2	2	1.9043291202270556	-1.3101172291111483	WT_2h_AC_vs_WT_Ctrl;IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM	AC_90min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago
CIITA	lipid_lysosomal_apc	mhcII_ciita	True	3	3	6	5	1.325102091679736	-1.9646198926359166	WT_2h_AC_vs_WT_Ctrl;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM	WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF;AC_45min_vs_Alone;AC_90min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago;Young_BEX_vs_Young_vehicle
AXL	resolution_efferocytosis	tam_receptor_ligand	True	4	3	6	4	2.8946866908755196	-1.6106912984401072	WT_6h_AC_vs_WT_Ctrl;IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM	WT_2h_AC_vs_WT_Ctrl;AC_45min_vs_Alone;AC_90min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL
MERTK	resolution_efferocytosis	tam_receptor_ligand	True	4	3	5	4	1.3436408926405483	-2.6614406449649874	IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM	WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF;AC_45min_vs_Alone;AC_90min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago
