feature_type	feature	contrast	n_case	n_control	mean_case	mean_control	delta_log2	hedges_g	welch_t	p	ols_beta_disease_ms	ols_p_disease_ms	ols_note	fdr
gene	CXCR4	MS_GM_vs_CON_GM	5	5	12.152670637389136	9.847223125716022	2.3054475116731137	1.278735757941808	2.2384864846166725	0.05696722684029111	0.9729067248667964	0.04471452220120355	HC3 robust SE; covariates disease, region, age, sex	0.47789645414522197
gene	LAMP3	MS_GM_vs_CON_GM	5	5	0.9936946538049878	4.268679636325667	-3.27498498252068	-1.238220341539068	-2.167562361729763	0.06266380805152891	0.41981195868446336	0.6714520951882987	HC3 robust SE; covariates disease, region, age, sex	0.47789645414522197
gene	HLA-DPA1	MS_GM_vs_CON_GM	5	5	14.777969230135529	13.927698108909926	0.8502711212256031	1.1854848732116368	2.075246468960103	0.07168446812178329	0.5106684291580474	0.031114942470352822	HC3 robust SE; covariates disease, region, age, sex	0.47789645414522197
gene	CD74	MS_GM_vs_CON_GM	5	5	16.81709664235275	16.432749321086654	0.38434732126609816	0.8060039392560608	1.4109474247255664	0.1962587672408618	0.17723691796878221	0.4155103391539091	HC3 robust SE; covariates disease, region, age, sex	0.5927840576491111
gene	CXCL10	MS_GM_vs_CON_GM	5	5	7.4810340487910185	6.054196305998149	1.4268377427928698	0.8029975298944236	1.4056845651539518	0.20078411296508078	0.5981807429310829	0.3131279518563127	HC3 robust SE; covariates disease, region, age, sex	0.5927840576491111
gene	HLA-DRA	MS_GM_vs_CON_GM	5	5	15.590100052914417	15.080711815696725	0.5093882372176921	0.7902225390001504	1.3833213487659473	0.2040891883531501	0.29010466945572766	0.1415569693341505	HC3 robust SE; covariates disease, region, age, sex	0.5927840576491111
gene	HLA-DPB1	MS_GM_vs_CON_GM	5	5	13.154564674016232	12.494406045836097	0.6601586281801346	0.7646489845518585	1.3385536509514666	0.2315351305443434	0.42760547315124864	0.14092006500866217	HC3 robust SE; covariates disease, region, age, sex	0.5927840576491111
gene	CIITA	MS_GM_vs_CON_GM	5	5	12.26672100762552	11.685815719680871	0.580905287944649	0.730491182177858	1.2787588274443202	0.23711362305964448	-0.12634336261654194	0.7136297298373965	HC3 robust SE; covariates disease, region, age, sex	0.5927840576491111
gene	HLA-DRB1	MS_GM_vs_CON_GM	5	5	13.816400550157999	13.043633140313137	0.772767409844862	0.626182142910139	1.0961609973813211	0.30496888616931866	0.7217594638926945	0.03319929693511385	HC3 robust SE; covariates disease, region, age, sex	0.6297588502496639
gene	STAT1	MS_GM_vs_CON_GM	5	5	11.158090063070535	10.570117728477397	0.5879723345931378	0.6068147623420684	1.0622574959152846	0.33035804003184177	0.36559100257967514	0.2571928193649411	HC3 robust SE; covariates disease, region, age, sex	0.6297588502496639
