feature_type	feature	n_genes_present	genes_present	contrast	n_case	n_control	mean_case	mean_control	delta_log2	hedges_g	welch_t	p	ols_beta_disease_ms	ols_p_disease_ms	ols_note	fdr
module	mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1	MS_GM_vs_CON_GM	5	5	-0.13643729389446346	-1.0127195940722389	0.8762823001777754	1.0920772212955738	1.911732025045256	0.09504481576454897	0.6516854422084536	0.008718526402669412	HC3 robust SE; covariates disease, region, age, sex	0.3221590058174459
module	hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5	MS_GM_vs_CON_GM	5	5	0.05046254593024514	-0.838785237023929	0.8892477829541742	0.8734295321844129	1.5289790646089412	0.16639423862474423	0.40905290609058276	0.19546605255881067	HC3 robust SE; covariates disease, region, age, sex	0.3221590058174459
module	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1	MS_GM_vs_CON_GM	5	5	-0.1485844722953606	-0.7292115609729648	0.5806270886776042	0.7632924797869413	1.3361790261990685	0.2416192543630844	0.43200892403871793	0.057989148910146025	HC3 robust SE; covariates disease, region, age, sex	0.3221590058174459
module	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	MS_GM_vs_CON_GM	5	5	-0.7237443760479755	-0.3290463117376882	-0.39469806431028726	-0.46803748653838817	-0.8193214128902286	0.4372645529367512	0.253353720325577	0.42713891579523955	HC3 robust SE; covariates disease, region, age, sex	0.4372645529367512
module	mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1	MS_WM_vs_CON_WM	10	11	0.5952936971384728	-0.018832048322832737	0.6141257454613055	1.3413367086123047	3.1670818757465136	0.00547341915501406	0.6516854422084536	0.008718526402669412	HC3 robust SE; covariates disease, region, age, sex	0.02189367662005624
module	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1	MS_WM_vs_CON_WM	10	11	0.46182480387794883	-0.02084253385798532	0.4826673377359342	0.9542114598930344	2.2627509261883962	0.03609162076094863	0.43200892403871793	0.057989148910146025	HC3 robust SE; covariates disease, region, age, sex	0.07218324152189726
module	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	MS_WM_vs_CON_WM	10	11	0.4614948600485012	0.05900043985848817	0.402494420190013	0.7271679875911272	1.7226743978827956	0.10200926213563505	0.253353720325577	0.42713891579523955	HC3 robust SE; covariates disease, region, age, sex	0.13249858658933994
module	hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5	MS_WM_vs_CON_WM	10	11	0.41624018567850196	-0.020071672846960275	0.4363118585254622	0.6642692578384539	1.574924409132347	0.13249858658933994	0.40905290609058276	0.19546605255881067	HC3 robust SE; covariates disease, region, age, sex	0.13249858658933994
module	mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1	MS_all_vs_CON_all	15	16	0.3513833667941607	-0.3294219063695221	0.6808052731636829	0.9882944825051424	2.819824940314098	0.008622793438089141	0.6516854422084536	0.008718526402669412	HC3 robust SE; covariates disease, region, age, sex	0.034491173752356566
module	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1	MS_all_vs_CON_all	15	16	0.2583550451535123	-0.24220785483141638	0.5005628999849288	0.7836279614181315	2.2174393173215066	0.03560712599142999	0.43200892403871793	0.057989148910146025	HC3 robust SE; covariates disease, region, age, sex	0.06397170669694348
module	hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5	MS_all_vs_CON_all	15	16	0.29431430576241635	-0.27591966165226295	0.5702339674146792	0.7238697952755603	2.065775796802568	0.04797878002270761	0.40905290609058276	0.19546605255881067	HC3 robust SE; covariates disease, region, age, sex	0.06397170669694348
module	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	MS_all_vs_CON_all	15	16	0.06641511468300894	-0.06226417001531699	0.12867928469832593	0.17306716267536282	0.48803103189369457	0.6299451614558395	0.253353720325577	0.42713891579523955	HC3 robust SE; covariates disease, region, age, sex	0.6299451614558395
