metabolite_class	n_diseases_tested	n_diseases_same_direction	n_supportive_diseases_p10_abs_g35	dominant_direction	median_effect	max_abs_effect	supportive_diseases	n_normalizing_treatment_or_improvement_hits	gate_call	effect_feature_count
phosphatidylcholine	6	4	3	lower_in_case_or_worse	-0.356969164316599	0.943242650612094	AS,Crohn,UC	2	DESCRIPTIVE_OR_WEAK	198
ceramide	6	5	3	higher_in_case_or_worse	0.7120768671406047	1.4039873196205723	MS_model,RA,SLE	1	DESCRIPTIVE_OR_WEAK	39
glycosphingolipid	5	4	3	higher_in_case_or_worse	0.6401670213202963	2.088181155281194	MS_model,RA,UC	0	DESCRIPTIVE_OR_WEAK	8
lysophosphatidylcholine	6	4	2	higher_in_case_or_worse	0.0968367406304343	1.6964927092368995	MS_model,RA	1	DESCRIPTIVE_OR_WEAK	34
phosphatidylglycerol	3	3	2	higher_in_case_or_worse	0.4325830254523214	1.62628264534142	MS_model,SLE	1	DESCRIPTIVE_OR_WEAK	24
eicosanoid_oxylipin	5	3	2	higher_in_case_or_worse	0.2557730609641322	3.444647633758333	MS_model,RA	0	DESCRIPTIVE_OR_WEAK	16
acylcarnitine	4	3	2	lower_in_case_or_worse	-0.4522616917424399	1.3113388016179222	Crohn,UC	0	DESCRIPTIVE_OR_WEAK	4
phosphatidylethanolamine	6	3	2	higher_in_case_or_worse	0.0079912170335201	1.2333437109471102	Crohn,MS_model	0	DESCRIPTIVE_OR_WEAK	89
fatty_acid	6	4	1	higher_in_case_or_worse	0.1737101765161599	1.946328300682828	RA	1	DESCRIPTIVE_OR_WEAK	22
sterol	4	2	1	higher_in_case_or_worse	-0.2576691021184926	4.416820601935362	MS_model	1	DESCRIPTIVE_OR_WEAK	2
phosphatidylserine	4	2	1	higher_in_case_or_worse	-0.0075658187809228	1.3442580241918018	MS_model	1	DESCRIPTIVE_OR_WEAK	27
sphingomyelin	6	4	1	higher_in_case_or_worse	0.2198052019195932	1.8472520305540925	MS_model	0	DESCRIPTIVE_OR_WEAK	36
phosphatidylinositol	6	3	1	higher_in_case_or_worse	-0.025692221221918	1.236302287124678	MS_model	0	DESCRIPTIVE_OR_WEAK	38
diacylglycerol	5	3	1	higher_in_case_or_worse	0.0425950829712585	1.2256065558661868	MS_model	0	DESCRIPTIVE_OR_WEAK	29
triacylglycerol	4	2	1	higher_in_case_or_worse	-0.0685936972241366	2.7831958926081795	MS_model	0	DESCRIPTIVE_OR_WEAK	109
bile_acid	4	2	1	higher_in_case_or_worse	-0.2338295779871483	1.3366863946993244	Crohn	0	DESCRIPTIVE_OR_WEAK	21
lysophosphatidylethanolamine	7	4	0	higher_in_case_or_worse	0.1313639071383859	0.8175461346506732		0	DESCRIPTIVE_OR_WEAK	19
