dataset	analysis	dataset_path	disease_name	compartment	role	test	module	n_genes_present	genes_present	mean_effect	median_effect	combined_z	combined_p	support_positive_nominal	support_negative_nominal	fdr
broad_h5ad	ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	case_minus_control	ephx2_epoxide_hydrolase_axis	8	CYP2C19;CYP2C8;CYP2C9;CYP2J2;CYP2S1;EPHX1;EPHX2;PLA2G4A	-0.07587328262519401	-0.04304625371136506	-0.7324494269695551	0.4638942998373802	False	False	0.6161096169715206
broad_h5ad	ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	case_minus_control	oxylipin_enzyme_adjacent	9	ALOX12;ALOX5;ALOX5AP;HPGDS;LTA4H;LTC4S;PTGES;PTGS1;PTGS2	-0.13883663519097744	-0.1175860790679652	-0.47956474535411536	0.6315369197246408	False	False	0.7668662596656353
broad_h5ad	ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	case_minus_control	generic_lipid_handling	9	ACSL1;APOE;CD36;FABP4;LIPA;LPL;PLIN2;SCD;SOAT1	0.7452267061104367	0.5572615989114387	3.732142510301399	0.0001898580328490908	True	False	0.0016426416810425676
broad_h5ad	ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	case_minus_control	inflammatory_nfkb_tnf	9	CCL2;CCL3;CXCL10;CXCL8;IL1B;NFKBIA;STAT1;TNF;TNFAIP3	0.7781903299965292	0.9566676963983936	3.608207557564789	0.0003083197917737816	True	False	0.0023824711182519488
broad_h5ad	ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	case_minus_control	lysosomal_apc	11	CD74;CTSB;CTSD;CTSL;CTSS;HLA-DRA;HLA-DRB1;IFI30;LAMP1;LAMP2;TPP1	0.8687770708012587	0.1254601416042469	2.252270675333352	0.024305172127498702	True	False	0.06664321389798032
broad_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	case_minus_control	ephx2_epoxide_hydrolase_axis	4	CYP2S1;EPHX1;EPHX2;PLA2G4A	-0.3484857747343452	-0.27339970186936735	-0.8103760842540666	0.41772405883309105	False	False	0.563595952393853
broad_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	case_minus_control	oxylipin_enzyme_adjacent	9	ALOX15;ALOX5;ALOX5AP;HPGDS;LTA4H;LTC4S;PTGES;PTGS1;PTGS2	-0.07742169109408353	-0.0875249952117371	-0.04277043620871538	0.9658845309032396	False	False	0.9658845309032396
broad_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	case_minus_control	generic_lipid_handling	10	ACSL1;APOE;CD36;FABP4;LIPA;LPL;MSR1;PLIN2;SCD;SOAT1	0.08529574350389031	0.031666632682353105	-0.4587025715957103	0.6464477671084132	False	False	0.7739163409044384
broad_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	case_minus_control	inflammatory_nfkb_tnf	10	CCL2;CCL3;CXCL10;CXCL8;IL1B;IL6;NFKBIA;STAT1;TNF;TNFAIP3	1.695446920518662	1.9168049000739338	4.9374855304857395	7.913627600621816e-07	True	False	2.2421944868428478e-05
broad_h5ad	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	case_minus_control	lysosomal_apc	11	CD74;CTSB;CTSD;CTSL;CTSS;HLA-DRA;HLA-DRB1;IFI30;LAMP1;LAMP2;TPP1	-0.14122141502889196	-0.2109297767172329	-0.5262893602904706	0.5986871743658391	False	False	0.7483589679572988
