feature_type	feature	n_genes_present	genes_present	contrast	n_case	n_control	mean_case	mean_control	delta_log2	hedges_g	welch_t	p	ols_beta_disease_ms	ols_p_disease_ms	ols_note	fdr
module	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1	MS_GM_vs_CON_GM	5	5	-0.08380542980255914	-0.7140552716969937	0.6302498418944346	0.6963797772142482	1.2190452247644132	0.2680507263069987	0.34566954644024084	0.21959027717699142	HC3 robust SE; covariates disease, region, age, sex	0.4430673246896928
module	mif_cd74_receptor_state	2	CD44,CXCR4	MS_GM_vs_CON_GM	5	5	-0.39773238533373345	-1.0128439861175997	0.6151116007838663	0.6412335511147533	1.1225091882653448	0.29672870978255383	0.7140894287502976	0.0005123747337916535	HC3 robust SE; covariates disease, region, age, sex	0.4430673246896928
module	hla_ii_apc	2	CIITA,RFX5	MS_GM_vs_CON_GM	5	5	0.2564170540527468	-0.40407373644851524	0.660490790501262	0.579266730451952	1.01403338340351	0.3402561745296212	-0.13512444766225068	0.6677781982732789	HC3 robust SE; covariates disease, region, age, sex	0.4430673246896928
module	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	MS_GM_vs_CON_GM	5	5	-0.7410612750566071	-0.36332679994227646	-0.37773447511433067	-0.46336716588081334	-0.811145799120239	0.4430673246896928	0.23646265330401767	0.4851983153007361	HC3 robust SE; covariates disease, region, age, sex	0.4430673246896928
module	mif_cd74_receptor_state	2	CD44,CXCR4	MS_WM_vs_CON_WM	10	11	0.6005765084746185	0.09519243386459063	0.5053840746100279	1.1821685360436638	2.8248888846447575	0.010841108378712532	0.7140894287502976	0.0005123747337916535	HC3 robust SE; covariates disease, region, age, sex	0.04336443351485013
module	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	MS_WM_vs_CON_WM	10	11	0.48038433338425807	0.06528154919562729	0.4151027841886308	0.7001851013413956	1.6534569757059532	0.11602207785737129	0.23646265330401767	0.4851983153007361	HC3 robust SE; covariates disease, region, age, sex	0.15590439737121634
module	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1	MS_WM_vs_CON_WM	10	11	0.43137962660567625	-0.029499341687181733	0.46087896829285796	0.6899946274008731	1.6436010183787302	0.11692829802841226	0.34566954644024084	0.21959027717699142	HC3 robust SE; covariates disease, region, age, sex	0.15590439737121634
module	hla_ii_apc	2	CIITA,RFX5	MS_WM_vs_CON_WM	10	11	-0.026110781635279346	0.09085374803014423	-0.11696452966542357	-0.1422494683732203	-0.34336937928197264	0.7351753795059434	-0.13512444766225068	0.6677781982732789	HC3 robust SE; covariates disease, region, age, sex	0.7351753795059434
module	mif_cd74_receptor_state	2	CD44,CXCR4	MS_all_vs_CON_all	15	16	0.26780687720516777	-0.25106894737984387	0.5188758245850116	0.6649628946190872	1.9087121147163308	0.06629644186618443	0.7140894287502976	0.0005123747337916535	HC3 robust SE; covariates disease, region, age, sex	0.13725647495184587
module	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1	MS_all_vs_CON_all	15	16	0.25965127446959774	-0.24342306981524797	0.5030743442848458	0.6668721524581315	1.8949657259891204	0.06862823747592293	0.34566954644024084	0.21959027717699142	HC3 robust SE; covariates disease, region, age, sex	0.13725647495184587
module	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	MS_all_vs_CON_all	15	16	0.07323579723730307	-0.06865855990996765	0.14189435714727072	0.18549156555178087	0.522261939466738	0.606430602786895	0.23646265330401767	0.4851983153007361	HC3 robust SE; covariates disease, region, age, sex	0.6711179065438523
module	hla_ii_apc	2	CIITA,RFX5	MS_all_vs_CON_all	15	16	0.06806516359406271	-0.06381109086943687	0.1318762544634996	0.14940161372194222	0.42899793328305896	0.6711179065438523	-0.13512444766225068	0.6677781982732789	HC3 robust SE; covariates disease, region, age, sex	0.6711179065438523
