n_requested	event_rate_target	odds_ratio_per_latent_sd	missing_rate	molecular_repeats	measurement_reliability_per_repeat	alpha	n_simulated_cohorts_baseline	n_valid_fits_baseline	valid_fit_rate_baseline	median_usable_n_across_seeds_baseline	median_events_across_seeds_baseline	conclusive_probability_baseline	conclusive_probability_ci_low_baseline	conclusive_probability_ci_high_baseline	minimum_seed_probability_baseline	maximum_seed_probability_baseline	n_simulated_cohorts_noisy	n_valid_fits_noisy	valid_fit_rate_noisy	median_usable_n_across_seeds_noisy	median_events_across_seeds_noisy	conclusive_probability_noisy	conclusive_probability_ci_low_noisy	conclusive_probability_ci_high_noisy	minimum_seed_probability_noisy	maximum_seed_probability_noisy	label_noise	absolute_power_change
40	0.15	1.0	0.0	1	0.7	0.05	1500	1102	0.7346666666666667	40.0	6.0	0.0206666666666666	0.014597274166911	0.0291849067501696	0.016	0.028	1500	1312	0.8746666666666667	40.0	7.0	0.038	0.0294450293082071	0.0489152646772405	0.034	0.044	0.05	0.0173333333333334
40	0.15	1.0	0.0	2	0.7	0.05	1500	1116	0.744	40.0	6.0	0.0246666666666666	0.0179480700597211	0.033813675411598	0.022	0.03	1500	1315	0.8766666666666667	40.0	7.0	0.0293333333333333	0.0219229819496716	0.0391482555015925	0.028	0.03	0.05	0.004666666666666701
40	0.15	1.0	0.2	1	0.7	0.05	1500	776	0.5173333333333333	32.0	5.0	0.0173333333333333	0.0118558715987426	0.0252766721898058	0.016	0.018	1500	1084	0.7226666666666667	32.0	6.0	0.0213333333333333	0.015151527280697	0.0299605810620899	0.018	0.024	0.05	0.004
40	0.15	1.0	0.2	2	0.7	0.05	1500	802	0.5346666666666666	32.0	5.0	0.014	0.0091749413146921	0.0213079653453242	0.01	0.02	1500	1113	0.742	32.0	6.0	0.022	0.015707562217972	0.0307344735505214	0.016	0.026	0.05	0.007999999999999998
40	0.15	1.25	0.0	1	0.7	0.05	1500	1084	0.7226666666666667	40.0	6.0	0.034	0.0259537695242043	0.0444269599070047	0.03	0.04	1500	1335	0.89	40.0	7.0	0.0326666666666666	0.0247971065690161	0.0429237680107801	0.032	0.034	0.05	-0.0013333333333334016
40	0.15	1.25	0.0	2	0.7	0.05	1500	1131	0.754	40.0	6.0	0.0426666666666666	0.0335536674928401	0.0541161184725525	0.036	0.05	1500	1320	0.88	40.0	7.0	0.0346666666666666	0.0265334907872422	0.0451771660696733	0.034	0.036	0.05	-0.008
40	0.15	1.25	0.2	1	0.7	0.05	1500	783	0.522	32.0	5.0	0.016	0.0107752683272818	0.0236974206098538	0.006	0.022	1500	1108	0.7386666666666667	32.0	6.0	0.022	0.015707562217972	0.0307344735505214	0.018	0.026	0.05	0.005999999999999998
40	0.15	1.25	0.2	2	0.7	0.05	1500	793	0.5286666666666666	32.0	5.0	0.02	0.0140448852853234	0.0284073682060508	0.012	0.03	1500	1109	0.7393333333333333	32.0	6.0	0.022	0.015707562217972	0.0307344735505214	0.018	0.028	0.05	0.0019999999999999983
40	0.15	1.5	0.0	1	0.7	0.05	1500	1124	0.7493333333333333	40.0	6.0	0.078	0.0654814092251446	0.0926745303026885	0.072	0.084	1500	1334	0.8893333333333333	40.0	7.0	0.0606666666666666	0.0496717025762927	0.0739061238831734	0.052	0.07	0.05	-0.017333333333333402
40	0.15	1.5	0.0	2	0.7	0.05	1500	1076	0.7173333333333334	40.0	6.0	0.0746666666666666	0.062423858620648	0.089082443778653	0.066	0.08	1500	1340	0.8933333333333333	40.0	7.0	0.0753333333333333	0.0630347725111385	0.0898014573138689	0.058	0.094	0.05	0.0006666666666666904
40	0.15	1.5	0.2	1	0.7	0.05	1500	785	0.5233333333333333	32.0	5.0	0.0426666666666666	0.0335536674928401	0.0541161184725525	0.032	0.052	1500	1084	0.7226666666666667	32.0	6.0	0.0393333333333333	0.0306152774813827	0.0504048713554777	0.036	0.044	0.05	-0.0033333333333333062
40	0.15	1.5	0.2	2	0.7	0.05	1500	812	0.5413333333333333	32.0	5.0	0.0466666666666666	0.0371015801662185	0.0585477703534126	0.04	0.054	1500	1090	0.7266666666666667	32.0	6.0	0.048	0.0382890436317582	0.0600201617392858	0.042	0.058	0.05	0.0013333333333334016
40	0.15	2.0	0.0	1	0.7	0.05	1500	1111	0.7406666666666667	40.0	6.0	0.146	0.1290348996727205	0.1647736372771679	0.126	0.158	1500	1325	0.8833333333333333	40.0	7.0	0.1213333333333333	0.1057698077639616	0.1388314144347891	0.114	0.128	0.05	-0.024666666666666698
