branch	gene	study_id	disease	contrast	contrast_type	feature_id	feature_label	metabolite_class	n_case	n_control	hedges_g_case_minus_control	p	fdr_within_study_contrast	expected_disease_sign	support_kind	supports_branch_direction	passes_nominal_effect_gate	passes_fdr10
NAAA_lipid_amide_preservation	NAAA	ST000422	T1D	T1D_vs_control	disease_control	ME146085	Anandamide-O-phosphate	unclassified	73	72	0.1313394178451775	0.4282283228371737	0.6589388869200841	-1.0	disease_or_severity_shift	False	False	False
EPHX2_sEH_oxylipin_diol	EPHX2	ST001949	RA	RA_vs_control	disease_control	ME449491	Eicosatrienoic acid	eicosanoid_oxylipin	20	20	0.404358116378452	0.2006795587178214	0.37743504795119	1.0	disease_or_severity_shift	False	False	False
EPHX2_sEH_oxylipin_diol	EPHX2	ST001949	RA	RA_MTX_vs_RA	treatment_shift	ME449491	Eicosatrienoic acid	eicosanoid_oxylipin	20	20	-0.3536761085871384	0.261006056285061	0.943934831749916	1.0	normalizing_treatment_shift	False	False	False
EPHX2_sEH_oxylipin_diol	EPHX2	ST000899	Crohn	Crohn_vs_control	disease_control	ME229669	12,13-DiHOME	unclassified	20	20	-0.1103193414320855	0.7244990058907748	0.839978555323664	1.0	disease_or_severity_shift	False	False	False
EPHX2_sEH_oxylipin_diol	EPHX2	ST000899	Crohn	Crohn_vs_control	disease_control	ME229760	9,10-DiHOME	unclassified	20	20	-0.1589266359451888	0.6128354202302078	0.7503878959388128	1.0	disease_or_severity_shift	False	False	False
EPHX2_sEH_oxylipin_diol	EPHX2	ST000899	UC	UC_vs_control	disease_control	ME229669	12,13-DiHOME	unclassified	20	20	0.5592556768915417	0.0803141716250463	0.3774080075745215	1.0	disease_or_severity_shift	True	True	False
EPHX2_sEH_oxylipin_diol	EPHX2	ST000899	UC	UC_vs_control	disease_control	ME229760	9,10-DiHOME	unclassified	20	20	0.7298253031318526	0.0248260031397494	0.2673845959661463	1.0	disease_or_severity_shift	True	True	False
EPHX2_sEH_oxylipin_diol	EPHX2	ST002470	UC	UC_week0_modsev_vs_mild	severity	ME583600	12,13-DiHOME	unclassified	22	10	-0.2222797466497815	0.5565917692977659	0.7703399392562235	1.0	disease_or_severity_shift	False	False	False
EPHX2_sEH_oxylipin_diol	EPHX2	ST002470	UC	UC_week0_modsev_vs_mild	severity	ME583617	9,10-DiHOME	unclassified	22	10	-0.2173996330026094	0.5791548463851666	0.7807865336451875	1.0	disease_or_severity_shift	False	False	False
EPHX2_sEH_oxylipin_diol	EPHX2	ST002470	UC	UC_week0_modsev_vs_mild	severity	ME583637	Eicosatrienoic acid	eicosanoid_oxylipin	22	10	-0.8460235638565451	0.0156015417858754	0.170089934351216	1.0	disease_or_severity_shift	False	True	False
EPHX2_sEH_oxylipin_diol	EPHX2	ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	ME583600	12,13-DiHOME	unclassified	18	22	-0.2686741695827733	0.363644686552862	0.4957553030158868	1.0	normalizing_treatment_shift	False	False	False
EPHX2_sEH_oxylipin_diol	EPHX2	ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	ME583617	9,10-DiHOME	unclassified	18	22	-0.6217357450779464	0.0416601170261194	0.093058093725795	1.0	normalizing_treatment_shift	True	True	True
EPHX2_sEH_oxylipin_diol	EPHX2	ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	ME583637	Eicosatrienoic acid	eicosanoid_oxylipin	18	22	0.2718174779585964	0.3633961553910528	0.4957553030158868	1.0	normalizing_treatment_shift	False	False	False
EPHX2_sEH_oxylipin_diol	EPHX2	ST002949	AS	AS_vs_control	disease_control	ME763801	9,10-DiHOME	unclassified	119	109	0.1950005055186936	0.1449355982040687	0.1449355982040687	1.0	disease_or_severity_shift	False	False	False
EPHX2_sEH_oxylipin_diol	EPHX2	ST000422	T1D	T1D_vs_control	disease_control	ME142553	9,13-DiHOME(11)	unclassified	30	30	0.0951149027141356	0.7103423064759057	0.7752837191891626	1.0	disease_or_severity_shift	False	False	False
EPHX2_sEH_oxylipin_diol	EPHX2	ST000422	T1D	T1D_vs_control	disease_control	ME147097	14,15-EpETrE	unclassified	69	66	0.148538710199887	0.3880781925028735	0.6589388869200841	1.0	disease_or_severity_shift	False	False	False
