sample	donor	morphology	foamy	lesion_group	ACSL1	ldam_module
ID - 002	MS13	non_foamy	0	active	21.2168361538492	-0.2917318943818456
ID - 003	MS13	non_foamy	0	active	21.2364484521929	-0.30897456609582497
ID - 009	MS06	non_foamy	0	mixed	21.214422036268	-0.2608911263458002
ID - 018	MS15	non_foamy	0	active	20.7867838419972	-1.3840928342012104
ID - 024	MS17	foamy	1	active	20.99795935747	0.17788116554334643
ID - 025	MS17	non_foamy	0	mixed	20.8483970409931	-0.2975318961949213
ID - 027	MS16	foamy	1	mixed	21.237483937369	0.3157442829905754
ID - 029	MS18	foamy	1	active	21.387962646826	0.6227357173089005
ID - 030	MS18	foamy	1	mixed	21.6002924456718	-0.07549934903942553
ID - 032	MS18	foamy	1	mixed	21.3250557638119	-0.07486902470637245
ID - 034	MS18	foamy	1	mixed	21.6652869625606	0.5225059988779855
ID - 036	MS20	foamy	1	active	21.3190521314759	0.34603104902774223
ID - 038	MS19	non_foamy	0	mixed	21.035337862437	-0.47934700838228966
ID - 041	MS19	foamy	1	mixed	21.4847042567464	0.2315407375559362
ID - 046	MS21	non_foamy	0	mixed	20.579392036117	-0.6772558655180525
ID - 048	MS21	non_foamy	0	mixed	20.97789930055	-0.0644763461502201
ID - 057	MS25	foamy	1	active	20.6896206269639	0.5325375760647458
ID - 060	MS26	non_foamy	0	mixed	20.9059786163424	-0.050313886484795976
ID - 064	MS28	non_foamy	0	mixed	20.7580153430601	-0.5468239305738712
ID - 065	MS27	foamy	1	mixed	21.5162996374619	0.6462624362242884
ID - 066	MS27	foamy	1	active	21.6637103006132	0.9842936533269407
ID - 068	MS27	foamy	1	mixed	21.2226743198476	0.20296593358847628
ID - 070	MS23	foamy	1	active	21.4418213854682	1.2336542563759731
ID - 072	MS23	foamy	1	mixed	21.2731407792871	0.05785400254648544
ID - 076	MS02	non_foamy	0	active	21.0121554660219	0.004084893404977317
ID - 078	MS02	non_foamy	0	mixed	20.8034739626766	-0.40631046170038104
ID - 083	MS09	non_foamy	0	mixed	20.7175159981598	-0.6938059413001568
ID - 085	MS08	non_foamy	0	mixed	21.3985523534237	-0.9929325886990393
ID - 090	MS05	non_foamy	0	active	20.5784311234285	-1.7488630912346566
ID - 102	MS03	foamy	1	mixed	21.4883863994971	0.26487347393526633
ID - 104	MS01	foamy	1	mixed	21.0283594307246	0.47766008660860426
ID - 106	MS01	foamy	1	active	21.3600148298284	1.2368577959880724
