dataset	comparison	feature_type	feature	n_case	n_control	mean_case	mean_control	delta	hedges_g	p	limitation	positive_fraction	fdr_within_feature
GSE97779	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	gene	ACSL1	9	5	14212.281944444445	11957.578100000002	2254.7038444444424	0.5335348832358705	0.20511952197418154	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	NA	0.2563994024677269
GSE97779	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	gene	APOE	9	5	2967.8524222222222	43204.666	-40236.81357777778	-7.099064769393018	0.00033857949162800733	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	NA	0.0005642991527133455
GSE97779	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	gene	GPNMB	9	5	26544.34688888889	66931.197	-40386.85011111111	-7.8879643065393426	4.720587230930076e-06	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	NA	9.441174461860152e-06
GSE97779	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	gene	LPL	9	5	4588.2681111111115	891.8782299999999	3696.3898811111117	0.7741601540920027	0.07742012834462521	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	NA	0.08602236482736134
GSE97779	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	gene	TREM2	9	5	6166.947111111111	9171.920600000001	-3004.9734888888906	-1.309931812844464	0.014103321316523894	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	NA	0.028206642633047792
GSE97779	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	gene	SPP1	9	5	33839.93606333333	7517.050466999999	26322.885596333326	4.673905630220314	1.8909001410340356e-07	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	NA	6.303000470113452e-07
GSE97779	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	gene	PLIN2	9	5	6989.129144444445	29539.353194000003	-22550.22404955556	-5.779998472870773	0.00018918656216023206	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	NA	0.0003783731243204641
GSE97779	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	gene	CD36	9	5	8075.684444444447	24885.93	-16810.245555555553	-4.107751780568541	1.2667593515891288e-05	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	NA	2.5335187031782576e-05
GSE97779	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	gene	FABP5	9	5	42315.97555555556	60962.047999999995	-18646.072444444435	-1.8333448102219585	0.0012966981370180924	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	NA	0.0012966981370180924
GSE97779	RA_synovial_macrophages_vs_control_blood_MCSF_macrophages	gene	C1QA	9	5	7669.908444444443	10693.1964	-3023.2879555555573	-0.5977595891819237	0.1716734503789096	cell-specific macrophage comparison, but RA synovial fluid fresh cells are confounded against cultured healthy blood macrophages	NA	0.1716734503789096
