molecule_chembl_id	standard_type	standard_value	standard_units	assay_description
CHEMBL2420629	IC50	24.0	nM	Inhibition of mouse NAMPT after 30 mins by mass spectrometry-based analysis
CHEMBL3260358	IC50	59.0	nM	Inhibition of mouse NAMPT after 30 mins by mass spectrometry-based analysis
CHEMBL2420629	EC50	1.3	nM	Inhibition of NAMPT in mouse cells assessed as reduction in NAD level after 48 hrs by mass spectrometry
CHEMBL3260358	EC50	70.0	nM	Inhibition of NAMPT in mouse cells assessed as reduction in NAD level after 48 hrs by mass spectrometry
CHEMBL3753517	IC50	267.0	nM	Inhibition of recombinant mouse NAMPT expressed in bacteria assessed as reduction in NADH formation using [14C]NAM as substrate measured for 1 hr by coupled enzymatic assay
CHEMBL3752157	IC50	170.0	nM	Inhibition of recombinant mouse NAMPT expressed in bacteria assessed as reduction in NADH formation using [14C]NAM as substrate measured for 1 hr by coupled enzymatic assay
CHEMBL3753643	IC50	114.0	nM	Inhibition of recombinant mouse NAMPT expressed in bacteria assessed as reduction in NADH formation using [14C]NAM as substrate measured for 1 hr by coupled enzymatic assay
CHEMBL566757	IC50	61.0	nM	Inhibition of recombinant mouse NAMPT expressed in bacteria assessed as reduction in NADH formation using [14C]NAM as substrate measured for 1 hr by coupled enzymatic assay
CHEMBL3798025	Inhibition	NA	%	Inhibition of NAMPT in neonatal mouse superior cervical ganglion explant assessed as delay in degeneration of injured axons at 1 uM treated <10 mins prior to axon transection meaured at 8 hrs by phase contrast microscopy
CHEMBL566757	Inhibition	NA	%	Inhibition of NAMPT in neonatal mouse superior cervical ganglion explant assessed as delay in degeneration of injured axons at 100 nM treated <10 mins prior to axon transection meaured at 8 to 24 hrs by phase contrast microscopy
CHEMBL4070645	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4099274	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4079833	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4097857	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4103162	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4078882	IC50	15.6	nM	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4095411	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4068019	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4091979	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4064240	IC50	47.0	nM	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4091075	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4070110	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4083283	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4061448	IC50	3.1	nM	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4060420	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4088652	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4098820	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4070595	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4067233	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4088492	IC50	32.4	nM	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4078160	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4096215	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4086051	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
