gene	priority_score	ms_score_component	positive_non_ms_disease_count	negative_non_ms_disease_count	mean_non_ms_hedges_g	diseases_positive	diseases_negative	ms_mean_delta	ms_dz	ms_positive_fraction	ms_proteomics_fdr	ms_passes_convergence_gate
NAMPT	9.964735147388685	3.5498630214675293	3	0	2.6570369276601293	IBD_active_vs_inactive,RA,psoriasis	NA	0.0553247179251469	1.01459914533907	0.8	0.0021070780325087	True
IFI30	8.017241087564004	4.068909775706917	3	1	0.9616636927548733	IBD_active_vs_inactive,lupus_nephritis,psoriasis	RA	0.0336280922979969	0.855771434246055	0.8	8.59623526062372e-07	True
CXCL10	7.321638429617133	0.0	4	0	1.321638429617133	IBD_active_vs_inactive,RA,lupus_nephritis,psoriasis	NA	NA	NA	NA	NA	NA
C1QB	5.992632923684538	0.23118656508709143	3	0	1.261446358597447	IBD_active_vs_inactive,lupus_nephritis,psoriasis	NA	0.0462635637058964	0.212490181157691	0.5	0.806339769831453	False
SPP1	5.639551204052225	0.12674875229908683	3	0	1.6812788593082164	IBD_active_vs_inactive,RA,psoriasis	NA	0.0307360095224829	0.0799545219577107	0.7	0.583483861281073	False
TNF	5.426119832360467	0.0	4	1	0.9516847512941791	IBD_active_vs_inactive,RA,lupus_nephritis,psoriasis	lupus_nephritis	NA	NA	NA	NA	NA
C1QA	5.347847589523646	0.0	3	0	0.9437214900184026	IBD_active_vs_inactive,lupus_nephritis,psoriasis	NA	NA	NA	NA	NA	NA
MARCO	5.15043381886165	0.0	3	0	0.938289752885571	IBD_active_vs_inactive,RA,lupus_nephritis	NA	NA	NA	NA	NA	NA
GPNMB	4.985030269914388	5.528386458111411	2	2	-2.0153472648318598	IBD_active_vs_inactive,lupus_nephritis	RA,psoriasis	1.16274760234144	2.09688164001997	1.0	6.95786358132873e-08	True
MSR1	4.904417464961588	0.0	3	0	0.40441746496158837	IBD_active_vs_inactive,lupus_nephritis,psoriasis	NA	NA	NA	NA	NA	NA
TPP1	4.059773333549835	4.225541064706715	1	1	-1.1644332049564263	psoriasis	RA	0.0818508221785541	1.11799771135645	0.9	2.89923376066435e-06	True
IL1B	4.0539219970571825	0.0	3	1	1.053921997057182	IBD_active_vs_inactive,RA,psoriasis	lupus_nephritis	NA	NA	NA	NA	NA
ACSL1	4.003355180994975	3.7847211515055474	1	1	0.21863402948942767	IBD_active_vs_inactive	psoriasis	0.197485873551824	1.16923272590565	1.0	0.0008366770799041	True
CTSB	3.962308617664616	0.5547460101990478	3	1	0.053129766997321415	IBD_active_vs_inactive,lupus_nephritis,psoriasis	RA	0.0676584308174319	0.413980168402178	0.7	0.197774725775961	False
CD68	3.8899198845715395	0.0	2	0	0.8899198845715396	IBD_active_vs_inactive,lupus_nephritis	NA	NA	NA	NA	NA	NA
LAMP1	3.7815333517338563	4.230114527117551	1	1	-0.8886962379662415	lupus_nephritis	RA	0.0697287254330357	1.19094354150368	0.8	6.37008271911521e-06	True
FCGR3A	3.2152207145340617	0.0	1	0	1.7152207145340619	IBD_active_vs_inactive	NA	NA	NA	NA	NA	NA
ASAH1	2.607095919556144	4.9509890484435335	2	3	-2.8459968311781796	IBD_active_vs_inactive,lupus_nephritis	IBD_active_vs_inactive,RA,psoriasis	0.259454006231287	1.46350738095341	1.0	3.65251209339722e-08	True
C1QC	2.0417777203553475	0.4458662493621963	2	1	0.09591147099315123	IBD_active_vs_inactive,psoriasis	RA	0.056779291670833	0.363497954598772	0.7	0.387399027519229	False
LIPA	2.014753663669868	0.0	3	2	-0.4760720267688706	IBD_active_vs_inactive,lupus_nephritis,psoriasis	IBD_active_vs_inactive,RA	NA	NA	NA	NA	NA
FABP5	1.551624859948606	1.4682972650595851	1	1	0.8231166523806291	psoriasis	RA	0.0250909098279527	0.701579091532977	0.8	0.0001466929128544	False
TREM2	1.5032323941522656	0.0	2	1	0.003232394152265644	lupus_nephritis,psoriasis	RA	NA	NA	NA	NA	NA
CD36	1.463199468404329	0.0	2	1	-0.5637384767378062	lupus_nephritis,psoriasis	RA	NA	NA	NA	NA	NA
CTSD	0.9593649476916615	4.167947161808512	1	3	-0.75510816887933	psoriasis	IBD_active_vs_inactive,RA,lupus_nephritis	0.342040107334624	1.47052060280439	1.0	0.0003257370845468	True
APOE	-0.18244323196111378	3.6518292442715357	1	3	-2.109038668580904	IBD_active_vs_inactive	RA,lupus_nephritis,psoriasis	1.5153171305794	3.59036625366646	1.0	0.492816280938226	False
MERTK	-0.5147405389901741	0.0	2	2	-0.5147405389901741	IBD_active_vs_inactive,lupus_nephritis	RA,psoriasis	NA	NA	NA	NA	NA
LPL	-1.460203325373989	0.0	1	2	0.03979667462601111	IBD_active_vs_inactive	lupus_nephritis,psoriasis	NA	NA	NA	NA	NA
PLIN2	-2.3061734035095327	1.467290126953614	2	4	-1.7184631486808404	IBD_active_vs_inactive,lupus_nephritis	IBD_active_vs_inactive,RA,lupus_nephritis,psoriasis	0.0750674639265437	1.18011225423381	1.0	0.0366530936411608	False
