seed	activity	inhibition_fraction	active_area_cells	high_inflam_area_cells	total_debris	total_inflammation
20260526	1.0	0.0	7.0	0.0	12.44433876547543	14.61435054035246
20260527	1.0	0.0	8.0	0.0	12.648185839110845	13.66295570977627
20260528	1.0	0.0	11.0	0.0	14.499010082318486	15.553789284124557
20260529	1.0	0.0	9.0	0.0	12.496971686361771	13.712569211856707
20260530	1.0	0.0	6.0	0.0	11.870274862166251	14.150396350323998
20260531	1.0	0.0	16.0	0.0	14.80281890386605	14.491217313215984
20260532	1.0	0.0	10.0	0.0	12.492017818397452	14.14024426324869
20260533	1.0	0.0	9.0	0.0	11.055119302025528	12.934911977980509
20260534	1.0	0.0	8.0	0.0	11.578701000661276	13.607474758092064
20260535	1.0	0.0	15.0	0.0	13.892204410666057	14.553272454710363
20260536	1.0	0.0	18.0	0.0	16.238561582536796	14.854585333754112
20260537	1.0	0.0	11.0	0.0	15.572970526320965	15.609049563433508
20260538	1.0	0.0	5.0	0.0	11.797623104407869	14.499783196950629
20260539	1.0	0.0	12.0	0.0	14.788638472828895	15.11002686818165
20260540	1.0	0.0	6.0	0.0	13.667759001967898	14.079148720221612
20260541	1.0	0.0	13.0	0.0	14.847663383295103	15.57705479795872
20260542	1.0	0.0	10.0	0.0	14.25797651209522	14.73767894221064
20260543	1.0	0.0	12.0	0.0	15.11769684139616	14.696084127790126
20260544	1.0	0.0	11.0	0.0	12.779236094706308	14.224653263233604
20260545	1.0	0.0	10.0	0.0	11.662738910118886	13.708159657659763
20260546	1.0	0.0	13.0	0.0	13.867952125146793	14.968158830782674
20260547	1.0	0.0	15.0	0.0	13.84498096109815	14.079234091905745
20260548	1.0	0.0	10.0	0.0	13.794242831611253	13.571148284129148
20260549	1.0	0.0	9.0	0.0	13.548149357902282	15.575563368488506
20260550	1.0	0.0	12.0	0.0	14.947452179845456	15.091524656394313
20260551	1.0	0.0	13.0	0.0	12.325516166163908	13.630552773593148
20260552	1.0	0.0	9.0	0.0	14.840919955444033	14.402336638740735
20260553	1.0	0.0	9.0	0.0	13.956791393575738	14.651329705969825
20260554	1.0	0.0	4.0	0.0	10.303293714248078	13.914935088853884
