gene	call	passed_gates	gate_count	failed_gates	substring_closed_in_original_logic	wave55_score	genetic_diseases	ms_genetic_association	ms_wm_delta_log2	ms_wm_p	strict_residual_disease_count	max_clinical_score	max_literature_score	foundation_recommendation	wave34_call	primary_blocker	corrected_wave122_call
SP140	NO_REOPEN_GENETICS_FIRST_ROUTE	8	11	strict_ms_local_nominal;residual_support_ge2;druggability_or_modality	False	26.0	AS;Crohn;MS;Psoriasis;RA;UC	0.7593921205206332	-0.0867628128456026	0.7262224269643743	0	0.0	0.5046103221229447		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE		NO_GO_FRESH_SCAN
IL7R	NO_REOPEN_GENETICS_FIRST_ROUTE	7	11	strict_ms_local_nominal;residual_support_ge2;perturbation_or_model_support;druggability_or_modality	False	26.0	AITD;Crohn;MS;PBC;Psoriasis;SLE;T1D	0.7885940637617141	-0.6536992297096775	0.5724603142052797	1	0.0	0.8421622906901755	do_not_promote	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	no_target_resolved_coloc_or_mr	NO_GO_FRESH_SCAN
PRDM1	NO_REOPEN_GENETICS_FIRST_ROUTE	7	11	ms_genetic_anchor;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality	False	23.0	AS;Crohn;Psoriasis;RA;SLE;UC	0.0	-0.0411396810451609	0.9031141115364548	0	0.0	0.7571058343208941		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE		NO_GO_FRESH_SCAN
CCL20	NO_REOPEN_GENETICS_FIRST_ROUTE	7	11	ms_genetic_anchor;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality	False	22.0	AS;Crohn;Psoriasis;RA;UC	0.0	1.1469018183892334	0.0611072952242856	0	0.0	0.7950547360286191		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	no_target_resolved_coloc_or_mr	NO_GO_FRESH_SCAN
GALC	NO_REOPEN_GENETICS_FIRST_ROUTE	7	11	strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade	False	21.0	AS;Crohn;MS;SLE;UC	0.5501215829794394	0.1897668310526405	0.4547265367950667	0	0.0	0.0582575951564313		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE		NO_GO_FRESH_SCAN
CXCR2	NO_REOPEN_GENETICS_FIRST_ROUTE	7	11	ms_genetic_anchor;strict_ms_local_nominal;residual_support_ge2;coloc_or_mr_grade	False	15.0	AS;Crohn;Psoriasis;RA;UC	0.0	0.8298247585525846	0.3775250672864965	0	0.4852976461600768	0.506317995365157		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE		NO_GO_FRESH_SCAN
CD40	NO_REOPEN_GENETICS_FIRST_ROUTE	6	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;not_prior_art_crowded;wave34_not_no_go	False	24.0	AITD;AS;Crohn;MS;Psoriasis;RA;SLE;UC	0.7292906022301274	-0.5445775168848961	0.0540269612921963	0	0.1733345799723534	0.916739387666332		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
STAT4	NO_REOPEN_GENETICS_FIRST_ROUTE	6	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;not_prior_art_crowded;wave34_not_no_go	False	24.0	AITD;Celiac;Crohn;MS;PBC;RA;SLE;Sjogren;T1D	0.655585325609798	0.8684079555977076	0.4607005214454064	0	0.0	0.9286451990515842		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
BACH2	NO_REOPEN_GENETICS_FIRST_ROUTE	6	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;wave34_not_no_go	False	23.0	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;SLE;T1D;UC	0.7231039278192867	-1.247739315378678	0.2980719423940499	0	0.0	0.725610722719412		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
INAVA	NO_REOPEN_GENETICS_FIRST_ROUTE	6	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;wave34_not_no_go	False	23.0	AS;Celiac;Crohn;MS;Psoriasis;RA;UC	0.6676684262582133	0.0	1.0	0	0.0	0.0679497762063789		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
