gene	contexts_with_token	disease_cells_with_token	mean_cosine_shift	mean_projection_shift	mean_cosine_z_vs_random	support_contexts	strong_support_contexts	positive_projection_contexts	negative_projection_contexts
LGALS3	9	37	-0.00012093953167398107	-0.02854308475636771	-0.03373468313174313	2	2	2	7
CTSB	10	65	0.0001425014626875042	0.01882396196015179	0.2611564536777028	2	1	5	5
CTSD	10	40	-4.9235093138100814e-05	-0.0121691713808104	0.01818417428699979	1	1	3	7
LAMP3	4	6	-0.00033229092878170005	0.0244592382223345	-0.29304657109387433	1	1	3	1
IFI30	3	9	0.0003683335186603019	-0.012138422578573232	0.568994811483941	1	1	2	1
HLA-DMB	3	11	-0.00020204484462736663	0.020432969128402565	-0.0884624095258264	1	1	1	2
CTSH	9	43	-8.088985729649199e-05	0.007129610878311944	0.01123257001644837	3	0	4	5
CD44	11	79	-0.0002853470878934636	-0.023804883599619978	-0.25017235307547536	1	0	4	7
CD74	9	80	-0.00036409528628508677	-0.040849937333001025	-0.3277677671515076	1	0	4	5
LAPTM5	7	32	-1.377225921062837e-05	0.003922901448926771	0.18909087474219133	1	0	3	4
LGALS9	5	19	-6.709337176287712e-05	0.0006509177386760801	0.07950013464124342	1	0	3	2
CTSS	8	77	-0.00044996462020205	-0.0078780548647046	-0.40785447643170125	1	0	3	5
VPS35	9	33	-0.00012151245937274924	-0.002682484531154223	-0.04796566589505232	1	0	2	7
RAB5A	8	14	-3.308181976536309e-05	-0.0008051206823438506	0.15279709272477573	0	0	3	5
SNX10	8	20	-0.0002921124305430357	-0.004279338842025	-0.2510197784051923	0	0	3	5
LIPA	5	7	9.872317314143998e-05	-0.01841105297207828	0.2936948314690425	0	0	2	3
CTSL	5	16	-5.39405005838497e-05	-0.030817100312560776	0.222559267124379	0	0	1	4
HLA-DRA	6	35	-0.0002778562680608234	-0.013463895806732249	-0.1844092408505813	0	0	1	5
HLA-DMA	4	18	-0.00019315481040395002	-0.029857070185244076	-0.17073077017541072	0	0	0	4
