gene	contexts_with_token	disease_cells_with_token	mean_cosine_shift	mean_projection_shift	mean_cosine_z_vs_random	support_contexts
IFITM3	8	45	0.00018867070230044455	0.023929569637402864	0.43396031683925373	3
CBX3	8	34	-0.0001073785697371841	0.010737664822954688	0.10882467268737125	3
LIPA	2	6	0.00076300901127975	-0.0045194975100458	1.2860612190027743	2
HIF1A	7	35	0.0002165655283273955	0.012123540908630373	0.44803584794293144	2
SNX10	3	10	-0.00031224886576333336	-0.05018217240770656	-0.04878839506809818	2
STAT1	4	19	-0.0002001350221689796	-0.0067717855563387275	-0.16488669814147958	2
MMP7	2	5	0.0027970969676970945	0.1135060116648674	1.992538219045452	1
CFB	2	5	0.0003207325935363	0.022645343095064146	1.1214706127878213	1
TGM2	5	8	0.0004715859889983601	0.04559056796133512	1.0417667842724971	1
IFITM2	4	17	0.0003741532564163	0.030565524473786326	0.6992429291872189	1
FMNL2	3	6	8.19166501363013e-05	0.025706159571806567	0.2032369402400059	1
CHI3L1	4	18	-0.000145683065056775	0.044097425416111946	0.17063192468689004	1
SERPINA1	5	11	-4.471857682802694e-05	-0.0027166779153048994	0.08792901280630513	1
TNFAIP8L1	2	7	-0.00040482481563229995	-0.0013163089752197508	-1.1933510249122752	1
LTA4H	4	6	-0.0002886404690798	-0.00278497114777565	-0.1980664279672803	0
