gene	europepmc_query	europepmc_hit_count	europepmc_examples_json	europepmc_url
IL15	"""IL15"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	11292	"[{""doi"": ""10.1016/j.jtauto.2025.100333"", ""id"": ""41323472"", ""source"": ""MED"", ""title"": ""Mendelian randomization study of the causal relationship between autoimmune diseases and anemia using proteomic and genetic data."", ""year"": ""2025""}, {""doi"": ""10.1007/s00011-025-02084-7"", ""id"": ""41107624"", ""source"": ""MED"", ""title"": ""Interleukin 15 and autoimmune disorders: pathophysiology, therapeutic potential, and clinical implications."", ""year"": ""2025""}, {""doi"": ""10.1038/s43856-026-01487-9"", ""id"": ""41794919"", ""source"": ""MED"", ""title"": ""Identifying genetic and cellular connections and distinctions among 15 autoimmune diseases using an in-silico approach."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22IL15%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
CD82	"""CD82"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	941	"[{""doi"": ""10.1016/j.xcrm.2026.102703"", ""id"": ""41895287"", ""source"": ""MED"", ""title"": ""Multi-omics reveal vitamin D regulation of immune-gut microbiome interactions and tolerogenic pathways in inflammatory bowel disease."", ""year"": ""2026""}, {""doi"": ""10.3390/ijms26199365"", ""id"": ""41096634"", ""source"": ""MED"", ""title"": ""Special Issue: Autoimmune Diseases: A Swing Dance of Immune Cells."", ""year"": ""2025""}, {""doi"": ""10.1016/j.stemcr.2026.102868"", ""id"": ""41932339"", ""source"": ""MED"", ""title"": ""Discovery of kidney disease targets using multimodal human podocyte injury models."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22CD82%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
IFITM3	"""IFITM3"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	1925	"[{""doi"": ""10.1016/j.isci.2026.115284"", ""id"": ""41907409"", ""source"": ""MED"", ""title"": ""scMILD: Single-cell multiple instance learning for sample classification and associated subpopulation discovery."", ""year"": ""2026""}, {""doi"": ""10.3389/fimmu.2025.1687606"", ""id"": ""41425573"", ""source"": ""MED"", ""title"": ""Novel ubiquitination-related biomarkers for Crohn's disease identified by multi-omics study and experimental validation."", ""year"": ""2025""}, {""doi"": ""10.1186/s43556-025-00381-5"", ""id"": ""41359111"", ""source"": ""MED"", ""title"": ""Interferon signaling pathways in health and disease."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22IFITM3%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
IFITM2	"""IFITM2"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	640	"[{""doi"": ""10.2147/jmdh.s543183"", ""id"": ""41439195"", ""source"": ""MED"", ""title"": ""Differential Expression of IFI16, IL-33 and CD55 Link Potential Common Pathogenic Mechanisms for COVID-19 and Ulcerative Colitis."", ""year"": ""2025""}, {""doi"": ""10.3390/genes16050575"", ""id"": ""40428397"", ""source"": ""MED"", ""title"": ""Mapping Inherited Genetic Variation with Opposite Effects on Autoimmune Disease and Four Cancer Types Identifies Candidate Drug Targets Associated with the Anti-Tumor Immune Response."", ""year"": ""2025""}, {""doi"": ""10.3389/fimmu.2025.1648001"", ""id"": ""41159030"", ""source"": ""MED"", ""title"": ""Anifrolumab has a direct immunoregulatory effect on inflamed keratinocytes: implications for the treatment of lupus erythematosus skin lesions."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22IFITM2%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
NME1	"""NME1"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	347	"[{""doi"": ""10.1371/journal.pone.0346974"", ""id"": ""42008502"", ""source"": ""MED"", ""title"": ""Integrated RNA-seq and scRNA-seq to explore the biological mechanisms of mitophagy-related genes in ulcerative colitis."", ""year"": ""2026""}, {""doi"": ""10.1016/j.berh.2024.101930"", ""id"": ""38307763"", ""source"": ""MED"", ""title"": ""Granzyme K&lt;sup&gt;+&lt;/sup&gt; CD8 T cells in autoimmunity."", ""year"": ""2024""}, {""doi"": ""10.1007/s10753-026-02480-z"", ""id"": ""41811549"", ""source"": ""MED"", ""title"": ""YTHDC2 Deficiency Exacerbates Ulcerative Colitis by Stabilizing RBMS1 mRNA to Drive Epithelial Ferroptosis."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22NME1%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
TMEM167A	"""TMEM167A"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	16	"[{""doi"": ""10.1186/s40779-025-00636-w"", ""id"": ""40826483"", ""source"": ""MED"", ""title"": ""Substantia nigra related gene polymorphisms associated with antipsychotic-induced acute movement disorders: a genome-wide association study and multi-ancestry validation in schizophrenia."", ""year"": ""2025""}, {""doi"": ""10.3389/fendo.2026.1694550"", ""id"": ""41675570"", ""source"": ""MED"", ""title"": ""The associations between epilepsy, metabolism, and their clinical implications."", ""year"": ""2026""}, {""doi"": ""10.1136/annrheumdis-2021-222069"", ""id"": ""35906002"", ""source"": ""MED"", ""title"": ""Cross-species transcriptome analysis for early detection and specific therapeutic targeting of human lupus nephritis."", ""year"": ""2022""}]"	https://europepmc.org/search?query=%22TMEM167A%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
LRRC59	"""LRRC59"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	60	"[{""doi"": ""10.1186/s10020-025-01415-y"", ""id"": ""41507769"", ""source"": ""MED"", ""title"": ""Structural variations in evolutionary novel genomic regions: new insights into neurodevelopmental disorders by long-read DNA Sequencing."", ""year"": ""2026""}, {""doi"": ""10.1186/s40478-025-02047-3"", ""id"": ""40618170"", ""source"": ""MED"", ""title"": ""Spatial transcriptome analysis of myenteric plexus and intestinal epithelium of colon in patients with Parkinson's disease."", ""year"": ""2025""}, {""doi"": ""10.3389/fimmu.2022.1079259"", ""id"": ""36591247"", ""source"": ""MED"", ""title"": ""Altered serum human cytomegalovirus microRNA levels are common and closely associated with the inflammatory status in patients with fever."", ""year"": ""2022""}]"	https://europepmc.org/search?query=%22LRRC59%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
PPIA	"""PPIA"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	1968	"[{""doi"": ""10.1038/s43856-026-01487-9"", ""id"": ""41794919"", ""source"": ""MED"", ""title"": ""Identifying genetic and cellular connections and distinctions among 15 autoimmune diseases using an in-silico approach."", ""year"": ""2026""}, {""doi"": ""10.3390/ijms262412068"", ""id"": ""41465494"", ""source"": ""MED"", ""title"": ""High Blood Levels of Cyclophilin A Increased Susceptibility to Ulcerative Colitis in a Transgenic Mouse Model."", ""year"": ""2025""}, {""doi"": ""10.1093/crocol/otag023"", ""id"": ""42027409"", ""source"": ""MED"", ""title"": ""Inflammation significantly alters mucosal transcriptomic signatures in pediatric inflammatory bowel disease."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22PPIA%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
JAK3	"""JAK3"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	7472	"[{""doi"": ""10.3390/ijms26199447"", ""id"": ""41096715"", ""source"": ""MED"", ""title"": ""Review of Promising Off-Label Use of Deucravacitinib."", ""year"": ""2025""}, {""doi"": ""10.3389/fphar.2026.1738089"", ""id"": ""41939841"", ""source"": ""MED"", ""title"": ""Genetic pharmacoepidemiology of JAK inhibitors in chronic immune-mediated skin diseases: implications for precision therapy and medication safety."", ""year"": ""2026""}, {""doi"": null, ""id"": ""PMC13083078"", ""source"": ""PMC"", ""title"": ""JAK inhibition in PD-1 immunotherapy and tumor microenvironment"", ""year"": null}]"	https://europepmc.org/search?query=%22JAK3%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
CBX3	"""CBX3"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	201	"[{""doi"": ""10.3389/fimmu.2026.1782872"", ""id"": ""41878430"", ""source"": ""MED"", ""title"": ""Autoimmunity in IgA nephropathy."", ""year"": ""2026""}, {""doi"": ""10.3389/fimmu.2025.1719366"", ""id"": ""41675494"", ""source"": ""MED"", ""title"": ""Deciphering the immunocellular regulatory network in inflammatory bowel disease: from susceptibility genes to cellular effectors and toward precision therapies."", ""year"": ""2025""}, {""doi"": ""10.1016/j.identj.2025.103983"", ""id"": ""41172679"", ""source"": ""MED"", ""title"": ""Single-Cell and Machine Learning Analysis Reveal Novel Inflammatory Macrophage Subtypes and Biomarkers in Periodontitis."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22CBX3%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
