gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend	genetic_or_target_db_breadth	discovery_priority_score	has_ms_anchor	broad_pool_reason
IL15	17	5	0	0	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0082073910205241	0.217712346957948	2.3513313197404844	1.247684028061652			ibd_crohn_myeloid:2.35,p=0.0082;t1d_ductal_cell:0.78,p=0.02;sjogren_gland_apc:1.81,p=0.026;psoriasis_skin_stromal:1.02,p=0.042;ibd_uc_myeloid:1.63,p=0.045	False	1.1957614008388182	0.6680541029650515	0.1225512579945805	0.8989378106274888															False	True	0.0	22.0	True	positive_disease_count>=4
CD82	17	6	0	0	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0022868359631754	0.1044115756286818	1.5051228695127117	1.546146889675453			ibd_uc_epithelial:1.24,p=0.0023;sjogren_gland_stromal:0.693,p=0.01;ibd_uc_stromal:1.51,p=0.014;t1d_ductal_cell:0.526,p=0.025;ibd_crohn_epithelial:0.726,p=0.025;psoriasis_keratinocyte:0.372,p=0.037	False	0.5036946542270737	0.6132148315417044	0.1728910748647989	0.8993702893651148															False	False	0.0	21.0	True	positive_disease_count>=4
IFITM3	17	11	0	2	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		7.048282068496638e-05	0.0490558690038274	2.85363242845868	1.7487095346710362			t1d_acinar_cell:1.25,p=7e-05;ibd_uc_epithelial:2.46,p=0.0005;ibd_uc_myeloid:1.99,p=0.002;t1d_ductal_cell:0.646,p=0.0042;ibd_crohn_epithelial:1.6,p=0.0064;psoriasis_keratinocyte:2.83,p=0.0075;sjogren_gland_apc:0.741,p=0.01;ibd_uc_stromal:0.448,p=0.016	False	-0.4945365481899664	-0.4520775909914464	0.2965069179161008	0.9075477698307116															False	False	0.0	30.0	False	positive_disease_count>=4
IFITM2	17	10	0	2	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		4.821348763720166e-06	0.0182678609094389	2.3982936811700775	1.592227443332123			t1d_acinar_cell:2.4,p=4.8e-06;ibd_uc_myeloid:2.05,p=1.5e-05;t1d_ductal_cell:0.993,p=0.0013;ibd_crohn_myeloid:2.06,p=0.0017;ibd_uc_epithelial:2.16,p=0.0022;t1d_endothelial_cell:0.686,p=0.017;t1d_stellate_cell:0.788,p=0.029;ibd_crohn_epithelial:1.29,p=0.031	False	-0.5240543955909676	-0.5509584125995555	0.2031260631187718	0.8993702893651148															False	False	0.0	29.0	False	positive_disease_count>=4
PSME2	17	10	0	1	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0005039479934272	0.0781806591621481	1.819711925457555	1.748552572261436			ibd_uc_myeloid:1.49,p=0.0005;psoriasis_keratinocyte:1.82,p=0.0032;ibd_uc_stromal:0.635,p=0.0072;psoriasis_skin_apc:1.69,p=0.014;ibd_crohn_myeloid:1.17,p=0.016;psoriasis_skin_stromal:0.978,p=0.038;sjogren_gland_epithelial:0.27,p=0.039;sjogren_gland_stromal:0.335,p=0.041	False	-0.2525338557141818	-0.2981812295712949	0.4970034386143676	0.9275874758277628							1.3430672567355757	-0.1569327432644244	1.5	0.0	0.0				False	False	0.0	27.06715336283678	False	positive_disease_count>=4
EEF1E1	17	7	0	1	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0004972693893745	0.0588131484732514	0.9707655135659384	1.5349052759455264			ibd_uc_stromal:0.971,p=0.0005;t1d_acinar_cell:0.539,p=0.00065;ibd_crohn_stromal:0.874,p=0.0057;sjogren_gland_apc:0.786,p=0.0057;ibd_uc_epithelial:0.832,p=0.018;sjogren_gland_epithelial:0.492,p=0.027;psoriasis_keratinocyte:0.54,p=0.038	False	-1.1784102252943471	-0.577879365714574	0.2145941794042359	0.8993702893651148															False	False	0.0	24.0	False	positive_disease_count>=4
POMP	17	7	0	1	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0009127889703019	0.080192932501807	0.8557603268470446	1.451606068795152			ibd_uc_stromal:0.856,p=0.00091;ibd_uc_myeloid:0.649,p=0.0079;t1d_acinar_cell:0.359,p=0.021;sjogren_gland_epithelial:0.31,p=0.024;ibd_crohn_stromal:0.481,p=0.032;psoriasis_skin_stromal:0.78,p=0.038;ibd_crohn_myeloid:0.385,p=0.042	False	-0.0430089608388559	-0.129192857817032	0.762824900529835	0.9720939505346544															False	False	0.0	24.0	False	positive_disease_count>=4
PSME1	17	8	0	0	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0071216974663189	0.2271127292608656	1.0892691229545637	1.7012017253380924			t1d_acinar_cell:1.09,p=0.0071;t1d_ductal_cell:0.504,p=0.0071;ibd_uc_myeloid:0.818,p=0.0095;sjogren_gland_apc:0.492,p=0.012;t1d_endothelial_cell:0.771,p=0.016;psoriasis_keratinocyte:0.585,p=0.022;psoriasis_skin_apc:0.884,p=0.022;ibd_crohn_myeloid:0.633,p=0.025	False	-0.2037368565985371	-0.3763316073754016	0.3993275020823	0.9157809859344704							1.6098453529562995	0.0549226764781499	1.55492267647815	0.0	0.0				False	False	0.0	23.080492267647816	False	positive_disease_count>=4
NME1	17	6	0	1	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.001024276410684	0.0850474587982273	1.3202604446014234	1.7050968384856209			ibd_uc_stromal:1.32,p=0.001;ibd_uc_epithelial:1.06,p=0.0027;t1d_endothelial_cell:0.386,p=0.0087;psoriasis_keratinocyte:1.07,p=0.022;ibd_crohn_stromal:0.684,p=0.042;sjogren_gland_stromal:0.547,p=0.049	False	-0.386249849366223	-0.3945835465754231	0.3480428652732463	0.9141270983319502							0.3169091117414213	-1.1830908882585789	1.5	0.0	1.0		MS		False	False	0.0	23.015845455587073	False	positive_disease_count>=4
TMEM167A	17	6	0	1	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0002020521118428	0.0514284812056896	0.930737935699706	1.8852361600069392			ibd_uc_myeloid:0.931,p=0.0002;ibd_uc_stromal:0.638,p=0.0044;ibd_crohn_myeloid:0.666,p=0.0085;sjogren_gland_apc:0.428,p=0.027;psoriasis_keratinocyte:0.659,p=0.039;t1d_acinar_cell:0.296,p=0.04	False	-0.0593616890394788	-0.1221337378269652	0.7752687424411747	0.973344149072204															False	False	0.0	23.0	False	positive_disease_count>=4
