	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11
A1BG	45.0	22.0	65.0	28.0	23.0	28.0	8.0	29.0	41.0	42.0	5.0
A1CF	6.0	3.0	1.0	7.0	1.0	3.0	0.0	3.0	9.0	3.0	2.0
A2M	1023.0	532.0	1982.0	850.0	617.0	1806.0	214.0	588.0	295.0	1879.0	134.0
A2ML1	18.0	14.0	10.0	10.0	9.0	16.0	4.0	13.0	28.0	7.0	3.0
A2MP1	0.0	1.0	2.0	0.0	0.0	5.0	0.0	1.0	2.0	1.0	0.0
A3GALT2	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A4GALT	27.0	12.0	25.0	7.0	22.0	47.0	16.0	22.0	22.0	31.0	8.0
A4GNT	3.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
AAAS	142.0	111.0	204.0	200.0	54.0	114.0	35.0	53.0	18.0	84.0	20.0
AACS	86.0	81.0	57.0	100.0	53.0	124.0	26.0	53.0	110.0	100.0	12.0
AACSP1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	3.0	3.0	0.0
AADAC	1.0	0.0	1.0	0.0	0.0	3.0	0.0	1.0	1.0	2.0	0.0
AADACL2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	11.0	1.0	0.0
AADACL3	0.0	2.0	0.0	2.0	5.0	1.0	1.0	0.0	2.0	0.0	1.0
AADACL4	0.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	0.0
AADACP1	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
AADAT	0.0	0.0	3.0	2.0	3.0	4.0	1.0	1.0	1.0	0.0	0.0
AAGAB	204.0	167.0	265.0	198.0	85.0	177.0	35.0	63.0	54.0	163.0	17.0
AAK1	265.0	202.0	338.0	234.0	118.0	240.0	88.0	71.0	159.0	236.0	41.0
AAMDC	94.0	99.0	91.0	54.0	49.0	94.0	15.0	35.0	72.0	83.0	3.0
AAMP	678.0	477.0	850.0	625.0	221.0	395.0	97.0	209.0	161.0	458.0	66.0
AANAT	11.0	3.0	4.0	1.0	2.0	2.0	0.0	10.0	4.0	7.0	0.0
AAR2	236.0	211.0	280.0	265.0	147.0	331.0	94.0	97.0	130.0	287.0	35.0
AARD	18.0	7.0	6.0	9.0	8.0	17.0	4.0	5.0	11.0	8.0	3.0
AARS	442.0	371.0	699.0	647.0	105.0	219.0	71.0	85.0	113.0	272.0	30.0
AARS2	76.0	64.0	113.0	52.0	36.0	78.0	8.0	36.0	40.0	55.0	12.0
AARSD1	66.0	66.0	82.0	83.0	22.0	45.0	8.0	36.0	24.0	38.0	1.0
AARSP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AASDH	34.0	25.0	42.0	27.0	10.0	24.0	2.0	15.0	1.0	21.0	5.0
AASDHPPT	133.0	101.0	133.0	121.0	63.0	72.0	19.0	48.0	32.0	83.0	12.0
AASS	8.0	9.0	20.0	5.0	4.0	9.0	5.0	3.0	16.0	17.0	2.0
AATF	248.0	222.0	281.0	328.0	88.0	242.0	62.0	83.0	70.0	225.0	30.0
AATK	3.0	7.0	5.0	5.0	0.0	6.0	2.0	6.0	6.0	4.0	1.0
ABAT	40.0	29.0	38.0	30.0	20.0	29.0	5.0	17.0	61.0	35.0	8.0
ABBA01000935.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ABBA01000935.2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ABBA01006766.1	1.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0
ABBA01026962.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ABBA01045074.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA1	152.0	164.0	166.0	121.0	241.0	490.0	84.0	277.0	268.0	539.0	85.0
ABCA10	8.0	0.0	2.0	4.0	6.0	2.0	4.0	4.0	4.0	5.0	0.0
ABCA11P	1.0	0.0	0.0	4.0	2.0	3.0	0.0	0.0	2.0	4.0	0.0
ABCA12	1.0	6.0	2.0	1.0	1.0	2.0	1.0	1.0	17.0	3.0	0.0
ABCA13	11.0	29.0	16.0	9.0	11.0	13.0	12.0	11.0	50.0	10.0	2.0
ABCA17P	3.0	7.0	2.0	2.0	1.0	0.0	0.0	2.0	5.0	1.0	2.0
ABCA2	22.0	14.0	27.0	24.0	19.0	46.0	4.0	6.0	11.0	32.0	5.0
ABCA3	1.0	10.0	5.0	7.0	3.0	5.0	0.0	0.0	7.0	9.0	0.0
ABCA4	5.0	1.0	1.0	0.0	1.0	0.0	3.0	3.0	10.0	1.0	0.0
ABCA5	14.0	16.0	22.0	14.0	18.0	20.0	12.0	26.0	19.0	19.0	6.0
ABCA6	13.0	23.0	16.0	14.0	16.0	22.0	9.0	11.0	35.0	13.0	5.0
ABCA7	48.0	39.0	62.0	6.0	17.0	43.0	5.0	22.0	24.0	37.0	1.0
ABCA8	7.0	10.0	5.0	10.0	16.0	5.0	8.0	8.0	22.0	12.0	0.0
ABCA9	26.0	35.0	26.0	19.0	21.0	29.0	10.0	18.0	106.0	36.0	8.0
ABCB1	23.0	9.0	16.0	5.0	15.0	2.0	2.0	3.0	4.0	9.0	2.0
ABCB10	13.0	6.0	15.0	20.0	3.0	8.0	2.0	5.0	2.0	18.0	3.0
ABCB10P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
ABCB10P3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB10P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB11	14.0	18.0	12.0	10.0	16.0	8.0	2.0	9.0	21.0	11.0	4.0
ABCB4	12.0	12.0	4.0	2.0	5.0	3.0	0.0	3.0	9.0	2.0	2.0
ABCB5	13.0	9.0	5.0	4.0	13.0	13.0	8.0	13.0	34.0	5.0	4.0
ABCB6	17.0	24.0	40.0	35.0	13.0	46.0	8.0	12.0	10.0	20.0	2.0
ABCB7	84.0	80.0	138.0	85.0	38.0	77.0	26.0	36.0	82.0	94.0	17.0
ABCB8	117.0	104.0	160.0	138.0	41.0	107.0	40.0	58.0	43.0	130.0	21.0
ABCB9	31.0	30.0	19.0	12.0	15.0	36.0	3.0	23.0	57.0	20.0	9.0
ABCC1	398.0	180.0	363.0	203.0	285.0	563.0	156.0	278.0	170.0	555.0	76.0
ABCC10	163.0	112.0	172.0	154.0	61.0	140.0	29.0	62.0	84.0	98.0	16.0
ABCC11	5.0	2.0	0.0	3.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0
ABCC12	2.0	2.0	3.0	3.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0
ABCC13	6.0	5.0	3.0	5.0	5.0	9.0	4.0	5.0	15.0	6.0	0.0
ABCC2	8.0	10.0	5.0	3.0	7.0	3.0	3.0	8.0	17.0	11.0	0.0
ABCC3	337.0	172.0	401.0	217.0	109.0	322.0	43.0	136.0	88.0	275.0	19.0
ABCC4	23.0	25.0	38.0	43.0	20.0	23.0	12.0	19.0	36.0	30.0	8.0
ABCC5	42.0	47.0	80.0	84.0	14.0	12.0	8.0	8.0	15.0	17.0	5.0
ABCC6	21.0	18.0	22.0	18.0	17.0	36.0	4.0	23.0	35.0	27.0	4.0
ABCC6P1	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
ABCC6P2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0
ABCC8	3.0	8.0	11.0	5.0	2.0	8.0	4.0	8.0	23.0	4.0	0.0
ABCC9	277.0	475.0	239.0	217.0	197.0	312.0	110.0	206.0	998.0	313.0	71.0
ABCD1	111.0	89.0	131.0	48.0	53.0	117.0	13.0	63.0	84.0	163.0	11.0
ABCD1P2	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	1.0
