disease	qtl_study_type	n_rows	n_strong_coloc	max_h4	max_clpp	direction_values	biosamples
UC	eqtl	6	6	0.998823790133304	0.4164057818700926	-0.0088692677748584;-0.0106892589410372;-0.0143357889133466;-0.0522838443283871;-0.0701300405461454;-0.16	lymphoblastoid cell line
T1D	pqtl	4	3	0.9971302625797852	0.2363466263676859	-0.0655265666384579;-0.0780474794945636;-0.2182443156099665;0.0028697564261032	blood plasma
SLE	eqtl	2	2	0.9941325378317064	0.1344404230880123	-0.0530132171297721;0.0	lymphoblastoid cell line
Psoriasis	pqtl	2	2	0.9915166657962682	0.0977480267370835	-0.0109515733450906;-0.0176062340205465	blood plasma
AS	eqtl	1	1	0.9982175274397804	0.3362684816161919	-0.0253178079842898	lymphoblastoid cell line
Crohn	eqtl	1	1	0.9970932573848852	0.2351940346916767	-0.0073025392084787	lymphoblastoid cell line
UC	pqtl	1	1	0.9799270923993988	0.0420967394362583	0.0068645150784741	blood plasma
