	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11
A1BG	3.5720309748473698	2.957677396795131	3.908736504817303	3.100663153356077	3.3512022160762833	2.698720175496321	2.773478525566655	3.727466386074302	4.122158125035734	3.222299649684514	2.8016012861285455
A1CF	1.294187973214047	0.9433644843097316	0.28176360593605254	1.533330335650861	0.4856501776089557	0.6676252537213286	0.0	1.1806634983591053	2.20258276155544	0.6737329981620134	1.7607981267541255
A2M	7.9578702883012	7.363521710874845	8.743076984152722	7.852063590868622	7.95381079935092	8.472693256484455	7.296038320540643	7.961708795463287	6.896019952644668	8.546086519344893	7.331394584263833
A2ML1	2.4214704549325665	2.4079968362706574	1.658463183532006	1.8900477585535873	2.2022455648134347	2.0490845092199867	1.9704019109976862	2.698109589419526	3.6099222792568937	1.2562793444895646	2.196381453315885
A2MP1	0.0	0.3869976393610225	0.5173867107569595	0.0	0.0	0.9860542536061088	0.0	0.5081953823950481	0.8485358648292184	0.26110761358527357	0.0
A3GALT2	0.0	0.0	0.0	0.0	0.0	0.25840078601248956	0.0	0.0	0.0	0.0	0.0
A4GALT	2.9137513967964246	2.230212393318881	2.676267806270967	1.533330335650861	3.293483591345358	3.3532027555685535	3.6639241969866707	3.363162707457156	3.293870457455281	2.8380139986187842	3.3999123590451297
A4GNT	0.7875951257715726	0.3869976393610225	0.0	0.0	0.0	0.0	0.0	0.5081953823950481	0.0	0.0	0.0
AAAS	5.14458531079706	5.135505408991544	5.491812520420989	5.784752582250608	4.498997868805265	4.546050707420384	4.73005632108061	4.547222198750824	3.036688486990447	4.142859930786129	4.637410573005987
AACS	4.44741911229657	4.696060932246137	3.7326777446432975	4.810687273759854	4.473234149777153	4.662368090775979	4.319908556069356	4.547222198750824	5.493038538873259	4.381272358436829	3.93858061245009
AACSP1	0.0	0.0	0.0	0.0	0.0	0.25840078601248956	0.0	0.8832610967068961	1.138164944466358	0.6737329981620134	0.0
AADAC	0.3127405256306426	0.0	0.28176360593605254	0.0	0.0	0.6676252537213286	0.0	0.5081953823950481	0.48577332345904745	0.4821221775315856	0.0
AADACL2	0.0	0.0	0.0	0.0	0.0	0.0	0.7905161543780679	0.0	2.4339473436932515	0.26110761358527357	0.0
AADACL3	0.0	0.6918364450101946	0.0	0.6241430059359344	1.5854835979670954	0.25840078601248956	0.7905161543780679	0.0	0.8485358648292184	0.0	1.1338447749578184
AADACL4	0.0	0.6918364450101946	0.0	0.0	0.0	0.0	0.7905161543780679	0.8832610967068961	0.0	0.4821221775315856	0.0
AADACP1	0.3127405256306426	0.3869976393610225	0.0	0.0	0.0	0.25840078601248956	0.0	0.0	0.48577332345904745	0.0	0.0
AADAT	0.0	0.0	0.7198757781239563	0.6241430059359344	1.1379298900407402	0.8356073613255152	0.7905161543780679	0.5081953823950481	0.48577332345904745	0.0	0.0
AAGAB	5.654814547252248	5.710965028481636	5.861836755946212	5.770517323724917	5.130042267400822	5.158616237765273	4.73005632108061	4.786753736159064	4.499409617340092	5.059136358841927	4.413138554667464
AAK1	6.025631067802507	5.9806920996642186	6.207499801128239	6.007453729677253	5.591726605691591	5.587259697349295	6.027087692548001	4.953319768880382	6.014655873284883	5.579603302103227	5.643034715671439
AAMDC	4.570104515000745	4.975412448472461	4.3664541610367475	3.964857402392066	4.365316076827576	4.280829577573708	3.5783829920531653	3.9799750594876175	4.89841213153238	4.126565550141531	2.196381453315885
AAMP	7.367370915738614	7.207094509473559	7.526131896540405	7.410703055762443	6.4829757614879355	6.294254206373729	6.16551482231826	6.479851918286176	6.032412573566038	6.521466509380428	6.318899439996845
AANAT	1.872912890699646	0.9433644843097316	0.8974110463344348	0.3455638504245292	0.8483443256312708	0.47747434361691254	0.0	2.3847958735777812	1.3792578195718121	1.2562793444895646	0.0
AAR2	5.861144231959613	6.0426050099541575	5.939941629026239	6.184311758896873	5.902842088273913	6.0427828061355395	6.1208321395906236	5.390949351524675	5.7291099621290025	5.856496329666951	5.419706458469647
AARD	2.4214704549325665	1.657038320208836	1.197915968573095	1.780657584675092	2.0709848522386203	2.115893802065767	1.9704019109976862	1.6375407267353699	2.4339473436932515	1.3713844864336813	2.196381453315885
AARS	6.754789625082284	6.847311419472876	7.245651284399596	7.460324246482053	5.427028158644203	5.45803080625972	5.722690504544434	5.205273293864473	5.531007088573672	5.780424734379615	5.2029204484219544
AARS2	4.2777564435779745	4.370919569829436	4.665156697493065	3.9139587807755087	3.9455892823208485	4.026787632142172	2.773478525566655	4.018075119146151	4.08860392648356	3.5743331559333416	3.93858061245009
AARSD1	4.085448580489506	4.413199222146734	4.223867784646824	4.55236120971192	3.293483591345358	3.2967278706234806	2.773478525566655	4.018075119146151	3.4070904014712107	3.0940907020657575	1.1338447749578184
AARSP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AASDH	3.206362788393179	3.119643395981024	3.330352301129576	3.0544113223835514	2.322553389000039	2.5128966437390154	1.2982984014284398	2.8746101424101864	0.48577332345904745	2.3691500161763144	2.8016012861285455
AASDHPPT	5.052877874856856	5.003358922928245	4.89168404782047	5.076744927519199	4.7122466586062135	3.9186674293214416	3.893767053427475	4.410677630604399	3.7877209161005174	4.126565550141531	3.93858061245009
AASS	1.5541069585006293	1.9141905527788212	2.40969001097772	1.234646914312443	1.378992642777779	1.467471695542718	2.216754681594008	1.1806634983591053	2.8885738691654392	2.1285484414903753	1.7607981267541255
AATF	5.931496045742866	6.114836831418889	5.945001298815258	6.488199708713563	5.178677782707444	5.598984314998421	5.53109999136923	5.171863768148541	4.859151579216635	5.512215570789735	5.2029204484219544
AATK	0.7875951257715726	1.657038320208836	1.0554735807068027	1.234646914312443	0.0	1.1222832720997098	1.2982984014284398	1.821146936864803	1.7663906448889224	0.8428530643289842	1.1338447749578184
ABAT	3.4171902226250928	3.310690143476074	3.200981785086784	3.1889428353591143	3.170619755952221	2.74166314429003	2.216754681594008	3.031852183419578	4.667921253023648	2.9898555100038404	3.3999123590451297
ABBA01000935.1	0.0	0.0	0.0	0.0	0.0	0.0	0.7905161543780679	0.0	0.0	0.0	0.0
ABBA01000935.2	0.0	0.0	0.0	0.0	0.0	0.0	0.7905161543780679	0.0	0.0	0.0	0.0
ABBA01006766.1	0.3127405256306426	0.3869976393610225	0.0	0.0	0.4856501776089557	0.0	0.0	0.8832610967068961	0.8485358648292184	0.0	0.0
ABBA01026962.1	0.0	0.0	0.0	0.0	0.0	0.0	0.7905161543780679	0.0	0.0	0.0	0.0
ABBA01045074.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA1	5.240079985340358	5.6853164781988825	5.2017472223191135	5.076744927519199	6.606623420262621	6.601614851272295	5.9610265795582436	6.882261465040357	6.758757861778063	6.754042242101563	6.67985105989517
ABCA10	1.5541069585006293	0.0	0.5173867107569595	1.0583788279781678	1.7660864905273923	0.47747434361691254	1.9704019109976862	1.427112705580428	1.3792578195718121	0.9942118860421014	0.0
