module	n_genes_defined	n_genes_present	genes_present	genes_missing
ifn_apc	8	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1	
hla_ii_apc	7	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5	
lysosomal_apc	7	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	
mif_cd74_receptor_state	7	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1	
mixscale_validated_ifng_readout	8	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5	
lipid_loader_repair	12	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1	
complement_phagocytosis	7	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1	
hif_nampt_metabolic	8	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3	
inflammatory_nfkb	9	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM	
slamf7_receptor_axis	8	8	SLAMF7,TYROBP,FCER1G,SYK,LCP2,FGR,FCGR1A,FCGR3A	
tnf_autocrine_nfkb	12	12	TNF,TNFAIP3,NFKBIA,NFKBIZ,RELB,IL1B,IL6,CCL2,CCL3,CCL4,CXCL8,PTGS2	
host_defense_cost	8	8	IL1B,TNF,IL6,CXCL8,NOS2,PTGS2,TLR2,TLR4	
