pair	mode	returncode	log
MS-UC	full	1	analysis/v21_ldsc_backdrop/rg/MS_vs_UC_full.log
MS-UC	no_mhc	1	analysis/v21_ldsc_backdrop/rg/MS_vs_UC_no_mhc.log
MS-Crohn	full	1	analysis/v21_ldsc_backdrop/rg/MS_vs_Crohn_full.log
MS-Crohn	no_mhc	1	analysis/v21_ldsc_backdrop/rg/MS_vs_Crohn_no_mhc.log
