label	mode	returncode	path
MS	full	1	analysis/v21_ldsc_backdrop/munged/MS_full.sumstats.gz
MS	no_mhc	1	analysis/v21_ldsc_backdrop/munged/MS_no_mhc.sumstats.gz
UC	full	1	analysis/v21_ldsc_backdrop/munged/UC_full.sumstats.gz
UC	no_mhc	1	analysis/v21_ldsc_backdrop/munged/UC_no_mhc.sumstats.gz
Crohn	full	1	analysis/v21_ldsc_backdrop/munged/Crohn_full.sumstats.gz
Crohn	no_mhc	1	analysis/v21_ldsc_backdrop/munged/Crohn_no_mhc.sumstats.gz
