comparator	mode	rg	se	z	p	h2_int_trait2	gcov_int	valid_snps	log
Crohn	full	0.1675	0.0527	3.1775	0.0015	1.0212	0.0789	1108900	analysis/v21_ldsc_backdrop/rg/MS_vs_Crohn_full_plain.log
Crohn	no_mhc	0.1675	0.0527	3.1775	0.0015	1.0212	0.0789	1108900	analysis/v21_ldsc_backdrop/rg/MS_vs_Crohn_no_mhc_plain.log
RA	full	0.1692	0.0453	3.7325	0.0002	1.0553	0.0423	932380	analysis/v21_ldsc_backdrop/rg/MS_vs_RA_full_plain.log
SLE	full	0.2439	0.0608	4.01	6.0712e-05	1.1998	0.01	985993	analysis/v21_ldsc_backdrop/rg/MS_vs_SLE_full_plain.log
UC	full	0.3342	0.0444	7.5352	4.8771e-14	1.0467	0.0844	1108932	analysis/v21_ldsc_backdrop/rg/MS_vs_UC_full_plain.log
UC	no_mhc	0.3342	0.0444	7.5352	4.8771e-14	1.0467	0.0844	1108932	analysis/v21_ldsc_backdrop/rg/MS_vs_UC_no_mhc_plain.log
