label	mode	path	vcf_variants_seen	hm3_rows_written
MS	full	analysis/v21_ldsc_backdrop/sumstats_raw/MS_full.sumstats.tsv.gz	6304358	1118186
MS	no_mhc	analysis/v21_ldsc_backdrop/sumstats_raw/MS_no_mhc.sumstats.tsv.gz	6304358	1115453
UC	full	analysis/v21_ldsc_backdrop/sumstats_raw/UC_full.sumstats.tsv.gz	11094790	1208706
UC	no_mhc	analysis/v21_ldsc_backdrop/sumstats_raw/UC_no_mhc.sumstats.tsv.gz	11094790	1205653
Crohn	full	analysis/v21_ldsc_backdrop/sumstats_raw/Crohn_full.sumstats.tsv.gz	11112707	1208632
Crohn	no_mhc	analysis/v21_ldsc_backdrop/sumstats_raw/Crohn_no_mhc.sumstats.tsv.gz	11112707	1205567
