molecule_chembl_id	CTSB	CTSH	CTSL	CTSS	CTSZ	best_non_ctsh_nM	has_any_non_ctsh_record	best_selectivity_ratio_non_ctsh_over_ctsh	ctsh_sub_1000nM	ctsh_sub_100nM	selectivity_10x_by_observed_records
CHEMBL478737	50000.0	50000.0	50000.0	50000.0		50000.0	True	1.0	False	False	False
CHEMBL515494	50000.0	50000.0	15500.0	33400.0		15500.0	True	0.31	False	False	False
CHEMBL516292	50000.0	50000.0	5400.0	5900.0		5400.0	True	0.108	False	False	False
CHEMBL523822	1750.0	66520.0				1750.0	True	0.026307877330126277	False	False	False
CHEMBL4229176		89000.0					False		False	False	False
CHEMBL470707	1640.0	91760.0				1640.0	True	0.017872711421098517	False	False	False
CHEMBL2371131		93000.0					False		False	False	False
CHEMBL230479	100000.0	100000.0	100000.0	100000.0		100000.0	True	1.0	False	False	False
CHEMBL2368566	680.0	100000.0				680.0	True	0.0068	False	False	False
CHEMBL296588	4260.0	100000.0				4260.0	True	0.0426	False	False	False
CHEMBL390643	519.0	100000.0	994.0	696.0		519.0	True	0.00519	False	False	False
CHEMBL397972	158.0	100000.0	5816.0	4553.0		158.0	True	0.00158	False	False	False
CHEMBL397973	100000.0	100000.0	100000.0	100000.0		100000.0	True	1.0	False	False	False
CHEMBL423112	18.0	100000.0				18.0	True	0.00018	False	False	False
CHEMBL441907	100000.0	100000.0	100000.0	100000.0		100000.0	True	1.0	False	False	False
CHEMBL471915	3890.0	100000.0				3890.0	True	0.0389	False	False	False
CHEMBL490920	7560.0	100000.0				7560.0	True	0.0756	False	False	False
CHEMBL513042	1530.0	100000.0				1530.0	True	0.0153	False	False	False
CHEMBL521636	3.11	100000.0				3.11	True	3.11e-05	False	False	False
CHEMBL521771	396.8	100000.0				396.8	True	0.003968	False	False	False
CHEMBL4228921		108000.0					False		False	False	False
CHEMBL2312216		129000.0					False		False	False	False
CHEMBL2371128		137000.0					False		False	False	False
CHEMBL2371130		160000.0					False		False	False	False
CHEMBL2371121		210000.0					False		False	False	False
CHEMBL2312204		221000.0					False		False	False	False
CHEMBL570897		251000.0					False		False	False	False
CHEMBL152803		260000.0					False		False	False	False
CHEMBL4228576		329000.0					False		False	False	False
CHEMBL2312203		354000.0					False		False	False	False
CHEMBL4228126		462000.0					False		False	False	False
