gene	ctsh_molecule_count	other_molecule_count	overlap_with_ctsh	fraction_ctsh_with_other_record
CTSB	102	1385	74	0.7254901960784313
CTSK	102	0	0	0.0
CTSL	102	931	55	0.5392156862745098
CTSS	102	1333	47	0.46078431372549017
CTSZ	102	18	11	0.10784313725490197
