gene	target_chembl_id	molecule_chembl_id	standard_type	standard_relation	standard_value_nM	pchembl_value	assay_chembl_id	document_chembl_id	bao_endpoint	source
CTSH	CHEMBL2225	CHEMBL152803	Ki	=	260000.0		CHEMBL820313	CHEMBL1132578	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL2371128	Ki	=	137000.0		CHEMBL661058	CHEMBL1132578	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL2371121	Ki	=	210000.0		CHEMBL661055	CHEMBL1132578	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL2371131	Ki	=	93000.0	4.03	CHEMBL661058	CHEMBL1132578	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL2371130	Ki	=	160000.0		CHEMBL661056	CHEMBL1132578	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL180839	IC50	=	580.0	6.24	CHEMBL828384	CHEMBL1140268	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL183812	IC50	=	40.0	7.40	CHEMBL828384	CHEMBL1140268	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL183660	IC50	=	8300.0	5.08	CHEMBL828384	CHEMBL1140268	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL180528	IC50	>	5000.0		CHEMBL828234	CHEMBL1137872	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL362134	IC50	>	12000.0		CHEMBL828234	CHEMBL1137872	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL426611	IC50	=	5000.0	5.30	CHEMBL828234	CHEMBL1137872	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL182775	IC50	>	5000.0		CHEMBL828234	CHEMBL1137872	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL366268	IC50	>	5000.0		CHEMBL828234	CHEMBL1137872	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL184403	IC50	>	5000.0		CHEMBL828234	CHEMBL1137872	BAO_0000190	ChEMBL activity API
