gene	chembl_status	chembl_target_chembl_id	chembl_target_pref_name	chembl_target_type	chembl_target_organism	chembl_target_accessions	chembl_search_hit_count	chembl_url	chembl_activity_count	chembl_activity_values_nM_count	chembl_unique_molecules_returned	chembl_best_standard_value_nM_returned	chembl_median_standard_value_nM_returned
IL15	found	CHEMBL3712954	Interleukin-15	SINGLE PROTEIN	Homo sapiens	P40933	5	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=IL15	46	46	38.0	50.0	21050.0
CD82	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CD82	0	0			
IFITM3	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=IFITM3	0	0			
IFITM2	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=IFITM2	0	0			
NME1	found	CHEMBL2159	Nucleoside diphosphate kinase A	SINGLE PROTEIN	Homo sapiens	P15531	2	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=NME1	4	4	2.0	2019.4	4835.585
TMEM167A	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=TMEM167A	0	0			
CARD16	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CARD16	0	0			
LRRC59	found	CHEMBL2216743	Leucine-rich repeat-containing protein 59	SINGLE PROTEIN	Homo sapiens	Q96AG4	1	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LRRC59	5	5	3.0	8.2	163.1
PPIA	found	CHEMBL1949	Peptidyl-prolyl cis-trans isomerase A	SINGLE PROTEIN	Homo sapiens	P62937	2	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PPIA	646	100	87.0	2.0	102500.0
JAK3	found	CHEMBL2148	Tyrosine-protein kinase JAK3	SINGLE PROTEIN	Homo sapiens	P52333	9	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=JAK3	14854	100	100.0	5.0	885.0
CBX3	found	CHEMBL3826866	Chromobox protein homolog 3	SINGLE PROTEIN	Homo sapiens	Q13185	1	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CBX3	4	4	3.0	142.79	3086.945
MMP7	found	CHEMBL4073	Matrilysin	SINGLE PROTEIN	Homo sapiens	P09237	2	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=MMP7	937	92	100.0	6.0	2000.0
FMNL2	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=FMNL2	0	0			
TNFAIP8L1	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=TNFAIP8L1	0	0			
CCL20	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CCL20	0	0			
EPSTI1	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=EPSTI1	0	0			
HLA-DRB1	found	CHEMBL3831291	HLA class II histocompatibility antigen, DRB1-15 beta chain	SINGLE PROTEIN	Homo sapiens	P01911	20	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=HLA-DRB1	105	100	54.0	0.6	405.0
IL23A	found	CHEMBL2364154	Interleukin-23	PROTEIN COMPLEX	Homo sapiens	P29460;Q9NPF7	1	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=IL23A	0	0	0.0		
DBI	found	CHEMBL6066397	Acyl-CoA-binding protein	SINGLE PROTEIN	Homo sapiens	P07108	2	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=DBI	2	2	1.0	92.86	92.86
PSMA3	found	CHEMBL6066934	Proteasome subunit alpha type-3	SINGLE PROTEIN	Homo sapiens	P25788	3	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PSMA3	4	4	2.0	8.403	13027.411499999998
FXYD5	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=FXYD5	0	0			
MTF1	not_found_exact						1	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=MTF1	0	0			
SCD	found	CHEMBL5555	Stearoyl-CoA desaturase	SINGLE PROTEIN	Homo sapiens	O00767	2	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SCD	1320	100	100.0	0.05	105.0
CD74	found	CHEMBL4692	HLA class II histocompatibility antigen gamma chain	SINGLE PROTEIN	Homo sapiens	P04233	4	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CD74	25	25	25.0	410.0	1400.0
STARD13	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=STARD13	0	0			
TIMP1	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=TIMP1	0	0			
CFB	found	CHEMBL5731	Complement factor B	SINGLE PROTEIN	Homo sapiens	P00751	2	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CFB	341	100	69.0	1.0	3375.0
PTPRE	found	CHEMBL4850	Receptor-type tyrosine-protein phosphatase epsilon	SINGLE PROTEIN	Homo sapiens	P23469	1	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PTPRE	61	61	59.0	1860.0	50000.0
CASP4	found	CHEMBL2226	Caspase-4	SINGLE PROTEIN	Homo sapiens	P49662	3	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CASP4	61	61	48.0	8.0	909.0
AGRN	found	CHEMBL4295648	Agrin	SINGLE PROTEIN	Homo sapiens	O00468	3	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=AGRN	0	0	0.0		
PI3	not_found_exact						20	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PI3	0	0			
CD24	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CD24	0	0			
MTHFD2	found	CHEMBL3621036	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	SINGLE PROTEIN	Homo sapiens	P13995	2	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=MTHFD2	86	86	82.0	6.3	1350.0
PKM	found	CHEMBL1075189	Pyruvate kinase PKM	SINGLE PROTEIN	Homo sapiens	P14618	4	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PKM	14174	100	97.0	11.0	212.0
