gene	clinicaltrials_query	clinicaltrials_hit_count	clinicaltrials_examples_json	clinicaltrials_url
MMP7	MMP7 autoimmune	4	"[{""conditions"": [""Systemic Lupus Erythematosus""], ""nct_id"": ""NCT04951427"", ""status"": ""UNKNOWN"", ""title"": ""PRediction Of Flares In Lupus With autoantibodiEs and Chemokines""}, {""conditions"": [""Rheumatoid Arthritis (RA)""], ""nct_id"": ""NCT07173582"", ""status"": ""NOT_YET_RECRUITING"", ""title"": ""\""Matrix Metalloproteinases 7 and 9 in Rheumatoid Arthritis Patients With Interstitial Lung Disease\""""}, {""conditions"": [""Autoimmune Liver Disease"", ""Primary Sclerosing Cholangitis"", ""Autoimmune Hepatitis""], ""nct_id"": ""NCT03175471"", ""status"": ""RECRUITING"", ""title"": ""MRI Based Biomarkers in Pediatric Autoimmune Liver Disease""}, {""conditions"": [""Pediatric Immune Mediated Interstitial Lung Disease""], ""nct_id"": ""NCT07559435"", ""status"": ""NOT_YET_RECRUITING"", ""title"": ""Diagnostic and Prognostic Utility of IL-6 and MMP-7 in Pediatric Immune Mediated Interstitial Lung Disease""}]"	https://clinicaltrials.gov/search?term=MMP7+autoimmune
CCL20	CCL20 autoimmune	5	"[{""conditions"": [""Pemphigus Vulgaris"", ""Bullous Dermatoses"", ""Autoimmune Diseases""], ""nct_id"": ""NCT04096222"", ""status"": ""UNKNOWN"", ""title"": ""Comparative Analysis of the Th17 Cellular Response in Active and Inactive Pemphigus Vulgaris Patients""}, {""conditions"": [""Hepatitis B""], ""nct_id"": ""NCT01777295"", ""status"": ""COMPLETED"", ""title"": ""Development of Read-outs in Healthy, Hepatitis B Virus Naive Adults Vaccinated With the Hepatitis B Surface Antigen (HBsAg) in Combination With a GlaxoSmithKline (GSK) Biologicals' Adjuvant System""}, {""conditions"": [""Rheumatoid Arthritis""], ""nct_id"": ""NCT01123655"", ""status"": ""COMPLETED"", ""title"": ""Phase 1 Trial of Type II Collagen (CII) APL A12 in Rheumatoid Arthritis Patients""}, {""conditions"": [""Rheumatoid Arthritis"", ""Interstitial Lung Disease Due to Systemic Disease (Disorder)"", ""RA"", ""ILD""], ""nct_id"": ""NCT04311567"", ""status"": ""TERMINATED"", ""title"": ""Effects of Tofacitinib vs Methotrexate on Rheumatoid Arthritis Interstitial Lung Disease""}, {""conditions"": [""Rheumatoid Arthritis""], ""nct_id"": ""NCT00996606"", ""status"": ""COMPLETED"", ""title"": ""A Study of Tocilizumab in Combination With Disease-Modifying Anti-Rheumatic Drugs (DMARDs) in Participants With Moderate to Severe Active Rheumatoid Arthritis With an Inadequate Response to DMARDs""}]"	https://clinicaltrials.gov/search?term=CCL20+autoimmune
HLA-DRB1	HLA-DRB1 autoimmune	5	"[{""conditions"": [""Multiple Sclerosis"", ""Magnetic Resonance Imaging"", ""Biomarkers"", ""Clinically Isolated Syndrome"", ""Radiologically Isolated Syndrome""], ""nct_id"": ""NCT03586986"", ""status"": ""UNKNOWN"", ""title"": ""Risk Factors in Early Multiple Sclerosis""}, {""conditions"": [""Pemphigus"", ""Bullous Pemphigoid"", ""Stevens-Johnson Syndrome"", ""Toxic Epidermal Necrolyses""], ""nct_id"": ""NCT05284929"", ""status"": ""UNKNOWN"", ""title"": ""Human Leukocyte Antigen Class II (DRB1 and DQB1) Alleles and Haplotypes Frequencies in Patients With Pemphigus Vulgaris Among the Russian Population""}, {""conditions"": [""Diabetes Mellitus, Type I""], ""nct_id"": ""NCT06860516"", ""status"": ""RECRUITING"", ""title"": ""HLA Demographics Study in Adults With Type 1 Diabetes""}, {""conditions"": [""Pediatric Multiple Sclerosis""], ""nct_id"": ""NCT01396343"", ""status"": ""COMPLETED"", ""title"": ""Environmental and Genetic Risk Factors for Pediatric Multiple Sclerosis""}, {""conditions"": [""Bullous Pemphigoid""], ""nct_id"": ""NCT02874079"", ""status"": ""UNKNOWN"", ""title"": ""Genetic Susceptibility and Influence of the Microbiomae in Bullous Pemphigoid""}]"	https://clinicaltrials.gov/search?term=HLA-DRB1+autoimmune
IL23A	IL23A autoimmune	5	"[{""conditions"": [""Multiple Sclerosis"", ""Clinically Isolated Syndrome""], ""nct_id"": ""NCT02671682"", ""status"": ""COMPLETED"", ""title"": ""Immunoadsorption vs. Plasmapheresis in the Escalation Therapy of Relapse in Multiple Sclerosis""}, {""conditions"": [""Multiple Sclerosis""], ""nct_id"": ""NCT05941975"", ""status"": ""UNKNOWN"", ""title"": ""Multimodal Exploration of Patients With Multiple Sclerosis for an Early Detection of Subtle Progression""}, {""conditions"": [""Chronic Spontaneous Urticaria (CSU)"", ""Hidradenitis Suppurativa (HS)"", ""Psoriasis (PsO)"", ""Atopic Dermatitis (AD)"", ""CTCL/ Mycosis Fungoides""], ""nct_id"": ""NCT07021495"", ""status"": ""RECRUITING"", ""title"": ""SKIN Disease Profiling by an Exploratory, pRospective, Biomarker Study in dermatoloGY Practice (SKINERGY)""}, {""conditions"": [""Rheumatoid Arthritis""], ""nct_id"": ""NCT05777577"", ""status"": ""UNKNOWN"", ""title"": ""Immunological Profile and Microbial Markers in Evaluating the Effectiveness of Probiotic Therapy in RA Patients""}, {""conditions"": [""Multiple Sclerosis, Relapsing-Remitting""], ""nct_id"": ""NCT04450030"", ""status"": ""UNKNOWN"", ""title"": ""Immunoadsorption Versus High-dose Intravenous Corticosteroids in Relapsing Multiple Sclerosis""}]"	https://clinicaltrials.gov/search?term=IL23A+autoimmune
DBI	DBI autoimmune	5	"[{""conditions"": [""Multiple Sclerosis""], ""nct_id"": ""NCT07475377"", ""status"": ""NOT_YET_RECRUITING"", ""title"": ""Understanding the Impact of Meal Timing on Neurological Health in Adults With Multiple Sclerosis""}, {""conditions"": [""Rheumatoid Arthritis"", ""Psoriatic Arthritis""], ""nct_id"": ""NCT02361385"", ""status"": ""COMPLETED"", ""title"": ""PBR28 PET and Inflammatory Arthritis""}, {""conditions"": [""Multiple Sclerosis""], ""nct_id"": ""NCT02606630"", ""status"": ""TERMINATED"", ""title"": ""[11C]-PBR28 Positron Emission Tomography Study to Evaluate the Effect of ABT 555 in Subjects With Relapsing Forms of Multiple Sclerosis""}, {""conditions"": [""Myositis"", ""Inflammatory"", ""Rheumatoid Arthritis"", ""Healthy Volunteers""], ""nct_id"": ""NCT03912428"", ""status"": ""TERMINATED"", ""title"": ""Novel PET Radioligand as an Inflammatory Biomarker in Musculoskeletal Conditions""}, {""conditions"": [""Autoimmune Encephalomyelitis""], ""nct_id"": ""NCT05293405"", ""status"": ""UNKNOWN"", ""title"": ""Neuroinflammatory PET Imaging in Autoimmune Encephalomyelitis""}]"	https://clinicaltrials.gov/search?term=DBI+autoimmune
PSMA3	PSMA3 autoimmune	0	[]	https://clinicaltrials.gov/search?term=PSMA3+autoimmune
FXYD5	FXYD5 autoimmune	0	[]	https://clinicaltrials.gov/search?term=FXYD5+autoimmune
SCD	SCD autoimmune	5	"[{""conditions"": [""Rheumatoid Arthritis"", ""Palindromic Arthritis"", ""Juvenile Rheumatoid Arthritis"", ""Ankylosing Spondylitis"", ""Sacroiliitis"", ""Psoriatic Arthritis"", ""Mixed Connective Tissue Disease"", ""Lupus"", ""Enteropathic Arthropathies"", ""Systemic Sclerosis"", ""Sjogren's Syndrome"", ""Sicca Syndrome"", ""Inflammatory Arthritis"", ""Undifferentiated Connective Tissue Diseases""], ""nct_id"": ""NCT05715463"", ""status"": ""ACTIVE_NOT_RECRUITING"", ""title"": ""Rheumatology-based Adaptive Intervention for Social Determinants and Health Equity""}, {""conditions"": [""Alpha-Thalassemia"", ""Beta-Thalassemia"", ""Amyloidosis"", ""Amyotrophic Lateral Sclerosis"", ""Creutzfeld-Jakob Disease"", ""Cystic Fibrosis"", ""Duchenne Muscular Dystrophy"", ""Early-Onset Alzheimer Disease"", ""Ehlers-Danlos Syndrome"", ""Huntington Disease"", ""Gaucher Disease"", ""GM1 Gangliosidosis"", ""Myasthenia Gravis"", ""Pompe Disease"", ""Sickle Cell Disease"", ""Transthyretin Amyloid Cardiomyopathy"", ""Rare Diseases""], ""nct_id"": ""NCT06539169"", ""status"": ""RECRUITING"", ""title"": ""FLOWER: Following Longitudinal Outcomes With Epidemiology for Rare Diseases""}, {""conditions"": [""Diabetes Mellitus, Type I"", ""Hypoglycemia""], ""nct_id"": ""NCT00351234"", ""status"": ""COMPLETED"", ""title"": ""Carnitine Levels and Carnitine Supplementation in Type I Diabetes""}, {""conditions"": [""All Diagnosed Health Conditions"", ""ADD/ADHD"", ""Alopecia Areata"", ""Ankylosing Spondylitis"", ""Asthma"", ""Atopic Dermatitis Eczema"", ""Beta Thalassemia"", ""Bipolar Disorder"", ""Breast Cancer"", ""Celiac Disease"", ""Cervical Cancer"", ""Chronic Inflammatory Demyelinating Polyneuropathy"", ""Chronic Kidney Diseases"", ""Chronic Obstructive Pulmonary Disease"", ""Colon Cancer"", ""Colorectal Cancer"", ""Crohn's Disease"", ""Cystic Fibrosis"", ""Depression"", ""Diabetes Mellitus"", ""Duchenne Muscular Dystrophy"", ""Endometriosis"", ""Epilepsy"", ""Facioscapulohumeral Muscular Dystrophy"", ""G6PD Deficiency"", ""General Anxiety Disorder"", ""Hepatitis B"", ""Hereditary Hemorrhagic Telangiectasia"", ""HIV/AIDS"", ""Human Papilloma Virus"", ""Huntington's Disease"", ""Idiopathic Thrombocytopenic Purpura"", ""Insomnia"", ""Kidney Cancer"", ""Leukemia"", ""Lung Cancer"", ""Lupus Nephritis"", ""Lymphoma"", ""Melanoma"", ""Multiple Myeloma"", ""Multiple Sclerosis"", ""Myositis"", ""Myotonic Dystrophy"", ""Ovarian Cancer"", ""Pancreatic Cancer"", ""Parkinson's Disease"", ""Polycystic Kidney Diseases"", ""Prostate Cancer"", ""Psoriasis"", ""Psoriatic Arthritis"", ""Rosacea"", ""Scleroderma"", ""Sickle Cell Anemia"", ""Sickle Cell Trait"", ""Sjogren's Syndrome"", ""Skin Cancer"", ""Spinal Muscular Atrophy"", ""Systemic Lupus Erythematosus"", ""Thrombotic Thrombocytopenic Purpura"", ""Trisomy 21"", ""Ulcerative Colitis""], ""nct_id"": ""NCT01931644"", ""status"": ""COMPLETED"", ""title"": ""At-Home Research Study for Patients With Autoimmune, Inflammatory, Genetic, Hematological, Infectious, Neurological, CNS, Oncological, Respiratory, Metabolic Conditions""}, {""conditions"": [""Myocarditis Acute"", ""Myocardial Inflammation""], ""nct_id"": ""NCT03525639"", ""status"": ""COMPLETED"", ""title"": ""CMR Evaluation of Myocardial Inflammation Persistence After Acute Myocarditis: Prognostic Relevance""}]"	https://clinicaltrials.gov/search?term=SCD+autoimmune
CD74	CD74 autoimmune	4	"[{""conditions"": [""Lupus Erythematosus, Cutaneous"", ""Lupus Erythematosus, Discoid"", ""Lupus Erythematosus, Systemic"", ""Lupus Vasculitis, Central Nervous System"", ""Lupus Nephritis""], ""nct_id"": ""NCT01845740"", ""status"": ""COMPLETED"", ""title"": ""Phase Ib Study of SC Milatuzumab in SLE""}, {""conditions"": [""Autoimmune Hepatitis""], ""nct_id"": ""NCT02950077"", ""status"": ""COMPLETED"", ""title"": ""Mindfulness - Based Stress Reduction and the Relationship on Inflammation in Autoimmune Hepatitis""}, {""conditions"": [""Non-Hodgkin's Lymphoma"", ""Chronic Lymphocytic Leukemia""], ""nct_id"": ""NCT00504972"", ""status"": ""COMPLETED"", ""title"": ""Phase I Trial of Anti-CD74 (hLL1) Antibody Therapy in B Cell Malignancies""}, {""conditions"": [""Autoimmune Hepatitis""], ""nct_id"": ""NCT03711669"", ""status"": ""UNKNOWN"", ""title"": ""Biomarkers to Predict the Success of Immunosuppression Withdrawal in Autoimmune Hepatitis""}]"	https://clinicaltrials.gov/search?term=CD74+autoimmune
TIMP1	TIMP1 autoimmune	5	"[{""conditions"": [""Systemic Lupus Erythematosus""], ""nct_id"": ""NCT04951427"", ""status"": ""UNKNOWN"", ""title"": ""PRediction Of Flares In Lupus With autoantibodiEs and Chemokines""}, {""conditions"": [""Rheumatoid Arthritis""], ""nct_id"": ""NCT02096120"", ""status"": ""COMPLETED"", ""title"": ""Full Mouth Disinfection and Antibiotics for Periodontitis in High or Moderate Disease Activity Rheumatoid Arthritis""}, {""conditions"": [""Rheumatoid Arthritis""], ""nct_id"": ""NCT00537667"", ""status"": ""TERMINATED"", ""title"": ""The SPECTRA Study""}, {""conditions"": [""Diabetic Foot Ulcer""], ""nct_id"": ""NCT00935051"", ""status"": ""COMPLETED"", ""title"": ""Matrix Metalloproteinase-1/Tissue Inhibitor of Metalloproteinase-1 (MMP-1/TIMP-1) Ratio and Diabetic Foot Ulcers""}, {""conditions"": [""Arthritis, Rheumatoid""], ""nct_id"": ""NCT02858492"", ""status"": ""COMPLETED"", ""title"": ""Safety and Tolerability, Pharmacokinetics (PK), Pharmacodynamics (PD) and Efficacy of Repeat Doses of GSK2982772 in Subjects With Moderate to Severe Rheumatoid Arthritis (RA)""}]"	https://clinicaltrials.gov/search?term=TIMP1+autoimmune
