gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend	genetic_or_target_db_breadth	discovery_priority_score	has_ms_anchor	broad_pool_reason	uniprot_status	uniprot_accession	protein_name	sequence_length	uniprot_locations	uniprot_keywords	uniprot_accessible	uniprot_enzymatic_or_catalytic	uniprot_transmembrane_feature_count	uniprot_active_or_binding_features	function_excerpt	family	n_delta_fdr10_positive_diseases	n_delta_trend_or_better_diseases	n_delta_negative_trend_diseases	n_state_resid_non_ifn_r_ge_0_35_diseases	n_confounder_dominant_diseases	rank_score	go_no_go	demotion_or_support_reason	chembl_status	chembl_target_chembl_id	chembl_target_pref_name	chembl_target_type	chembl_target_organism	chembl_target_accessions	chembl_search_hit_count	chembl_url	chembl_activity_count	chembl_activity_values_nM_count	chembl_unique_molecules_returned	chembl_best_standard_value_nM_returned	chembl_median_standard_value_nM_returned	europepmc_query	europepmc_hit_count	europepmc_examples_json	europepmc_url	clinicaltrials_query	clinicaltrials_hit_count	clinicaltrials_examples_json	clinicaltrials_url	prior_flags	google_patents_url	wave39_call	wave39_reason	wave39_score
P4HB	17	4	0	2	0	4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis		0.0001651252932294	0.0282149116521777	1.4739017190730932	2.6711571512501857			ibd_uc_epithelial:1.11,p=0.00017;ibd_crohn_epithelial:1.01,p=0.00031;sjogren_gland_stromal:1.47,p=0.027;psoriasis_skin_apc:0.956,p=0.028	False	-0.1078198500006752	-0.2766885154398827	0.5193269228408691	0.9352591033176444							4.1273843411659	1.3136921705829498	2.81369217058295	0.0	0.0				False	False	0.0	20.206369217058295	False	positive_disease_count>=4	found	P07237	Protein disulfide-isomerase	508.0	Cell membrane;Endoplasmic reticulum;Endoplasmic reticulum lumen;Melanosome	3D-structure;Acetylation;Cell membrane;Chaperone;Craniosynostosis;Direct protein sequencing;Disease variant;Disulfide bond;Endoplasmic reticulum;Isomerase;Membrane;Osteogenesis imperfecta;Phosphoprotein;Proteomics identification;Redox-active center;Reference proteome;Repeat;Signal	True	True	0.0	Active site:Nucleophile;Active site:Nucleophile;Active site:Nucleophile;Active site:Nucleophile	This multifunctional protein catalyzes the formation, breakage and rearrangement of disulfide bonds. At the cell surface, seems to act as a reductase that cleaves disulfide bonds of proteins attached to the cell. May therefore cause structural modifications of exofacial proteins. Inside the cell, seems to form/rearrange disulfide bonds of nascent proteins. At high concentrations and following phosphorylation by FAM20C, functions as a chaperone that inhibits aggregation of misfolded proteins (PubMed:32149426). At low concentrations, facilitates aggregation (anti-chaperone activity). May be involved with other chaperones in the structural modification of the TG precursor in hormone biogenesis.										found	CHEMBL5422	Protein disulfide-isomerase	SINGLE PROTEIN	Homo sapiens	P07237	4.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=P4HB	702.0	100.0	97.0	3.0	10255.0	"""P4HB"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	402.0	"[{""doi"": ""10.1016/j.dld.2025.04.015"", ""id"": ""40300947"", ""source"": ""MED"", ""title"": ""Distribution of epithelial endoplasmic reticulum stress-related proteins in adult and pediatric Crohn's disease: Association with inflammation and fibrosis."", ""year"": ""2025""}, {""doi"": ""10.12122/j.issn.1673-4254.2025.09.12"", ""id"": ""41022602"", ""source"": ""MED"", ""title"": ""[Diagnostic and predictive value of ferroptosis-related genes in patients with ulcerative colitis]."", ""year"": ""2025""}, {""doi"": ""10.34172/jlms.2024.26"", ""id"": ""39188934"", ""source"": ""MED"", ""title"": ""Efficacy Evaluation of Treatment of Psoriasis Via Narrow Band-Ultraviolet Radiation."", ""year"": ""2024""}]"	https://europepmc.org/search?query=%22P4HB%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	P4HB autoimmune	0.0	[]	https://clinicaltrials.gov/search?term=P4HB+autoimmune		https://patents.google.com/?q=P4HB+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; no_ms_anchor; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 702	16.5
PIK3R2	17	4	0	0	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0151452752677326	0.3152092590117714	1.3030684940658654	1.5703786342878332			t1d_stellate_cell:1.3,p=0.015;psoriasis_keratinocyte:0.724,p=0.025;ibd_uc_myeloid:1.07,p=0.03;ibd_crohn_myeloid:0.776,p=0.034	False	-0.039543595896534	-0.0837531178797261	0.8467976277585396	0.976211196296546															False	False	0.0	16.0	False	positive_disease_count>=4	found	O00459	Phosphatidylinositol 3-kinase regulatory subunit beta	728.0		3D-structure;Disease variant;GTPase activation;Phosphoprotein;Protein transport;Proteomics identification;Reference proteome;Repeat;SH2 domain;SH3 domain;Stress response;Transport;Ubl conjugation	False	True	0.0		Regulatory subunit of phosphoinositide-3-kinase (PI3K), a kinase that phosphorylates PtdIns(4,5)P2 (Phosphatidylinositol 4,5-bisphosphate) to generate phosphatidylinositol 3,4,5-trisphosphate (PIP3). PIP3 plays a key role by recruiting PH domain-containing proteins to the membrane, including AKT1 and PDPK1, activating signaling cascades involved in cell growth, survival, proliferation, motility and morphology. Binds to activated (phosphorylated) protein-tyrosine kinases, through its SH2 domain, and acts as an adapter, mediating the association of the p110 catalytic unit to the plasma membrane. Indirectly regulates autophagy (PubMed:23604317). Promotes nuclear translocation of XBP1 isoform 2 										found	CHEMBL4437	Phosphatidylinositol 3-kinase regulatory subunit beta	SINGLE PROTEIN	Homo sapiens	O00459	4.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PIK3R2	1781.0	100.0	99.0	100.0	10000.0										https://patents.google.com/?q=PIK3R2+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; no_ms_anchor; not_surface_secreted_extracellular_by_uniprot; ChEMBL exact target found; ChEMBL activity records: 1781	14.5
PPIA	17	6	0	0	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0059984809470958	0.1779473752415412	0.6032286382537198	1.3237794114884152			ibd_uc_stromal:0.365,p=0.006;sjogren_gland_epithelial:0.298,p=0.016;t1d_acinar_cell:0.603,p=0.025;ibd_crohn_epithelial:0.327,p=0.035;psoriasis_skin_apc:0.603,p=0.039;sjogren_gland_apc:0.282,p=0.044	False	0.0798111319015699	0.227219782558099	0.5869705544995741	0.9464449594593544							0.4892503554771201	-1.01074964452288	1.5	0.0	0.0				False	False	0.0	21.024462517773856	False	positive_disease_count>=4	found	P62937	Peptidyl-prolyl cis-trans isomerase A	165.0	Cell membrane;Cytoplasm;Nucleus;Secreted	3D-structure;Acetylation;Alternative splicing;Apoptosis;Cell membrane;Cytoplasm;Direct protein sequencing;Glycoprotein;Host-virus interaction;Isomerase;Isopeptide bond;Membrane;Nucleus;Phosphoprotein;Proteomics identification;Reference proteome;Rotamase;Secreted;Ubl conjugation	True	True	0.0		Catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides (PubMed:2001362, PubMed:20676357, PubMed:21245143, PubMed:21593166, PubMed:25678563). Exerts a strong chemotactic effect on leukocytes partly through activation of one of its membrane receptors BSG/CD147, initiating a signaling cascade that culminates in MAPK/ERK activation (PubMed:11943775, PubMed:21245143). Activates endothelial cells (ECs) in a pro-inflammatory manner by stimulating activation of NF-kappa-B and ERK, JNK and p38 MAP-kinases and by inducing expression of adhesion molecules including SELE and VCAM1 (PubMed:15130913). Induces apoptosis in ECs by promoting the FOXO1-dependent expression of C										found	CHEMBL1949	Peptidyl-prolyl cis-trans isomerase A	SINGLE PROTEIN	Homo sapiens	P62937	2.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PPIA	646.0	100.0	87.0	2.0	102500.0	"""PPIA"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	1968.0	"[{""doi"": ""10.1038/s43856-026-01487-9"", ""id"": ""41794919"", ""source"": ""MED"", ""title"": ""Identifying genetic and cellular connections and distinctions among 15 autoimmune diseases using an in-silico approach."", ""year"": ""2026""}, {""doi"": ""10.3390/ijms262412068"", ""id"": ""41465494"", ""source"": ""MED"", ""title"": ""High Blood Levels of Cyclophilin A Increased Susceptibility to Ulcerative Colitis in a Transgenic Mouse Model."", ""year"": ""2025""}, {""doi"": ""10.1093/crocol/otag023"", ""id"": ""42027409"", ""source"": ""MED"", ""title"": ""Inflammation significantly alters mucosal transcriptomic signatures in pediatric inflammatory bowel disease."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22PPIA%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	PPIA autoimmune	0.0	[]	https://clinicaltrials.gov/search?term=PPIA+autoimmune	Wave25 causal proxy: MODULE_MARKER_NOT_GENETICALLY_ANCHORED	https://patents.google.com/?q=PPIA+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	no_ms_anchor; prior_demoted_or_class_blocked; core_machinery_or_hla_marker; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 646	14.0
HLA-DMA	14	4	0	0	0	4	0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		0.0013680608623487	0.1173991051235459	3.165712096741079	1.8664741999374248			sjogren_gland_epithelial:1.33,p=0.0014;ibd_uc_epithelial:3.17,p=0.0029;ibd_crohn_epithelial:3,p=0.0039;t1d_acinar_cell:1.37,p=0.0044	False	0.2126620284251732	0.4869924866680328	0.2606019417088906	0.9049965616313804															False	False	0.0	16.0	False	positive_disease_count>=4	found	P28067	HLA class II histocompatibility antigen, DM alpha chain	261.0	Late endosome membrane;Lysosome membrane	3D-structure;Adaptive immunity;Disulfide bond;Endosome;Glycoprotein;Immunity;Lysosome;MHC II;Membrane;Proteomics identification;Reference proteome;Signal;Transmembrane;Transmembrane helix	True	False	1.0		Plays a critical role in catalyzing the release of class II-associated invariant chain peptide (CLIP) from newly synthesized MHC class II molecules and freeing the peptide binding site for acquisition of antigenic peptides. In B-cells, the interaction between HLA-DM and MHC class II molecules is regulated by HLA-DO	hla_chaperone_loading	1.0	6.0	0.0	7.0	0.0	30.75	NO_GO	strong local state biology but weak direct druggability/tractable modulation	not_found_exact						20.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=HLA-DMA	0.0	0.0													https://patents.google.com/?q=HLA-DMA+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; no_ms_anchor; core_machinery_or_hla_marker; reachable protein class by UniProt location/features; Wave15 residual state support in 7 diseases	13.75
HLA-DRA	14	3	0	0	0	3	0	Crohn disease;Sjogren syndrome;ulcerative colitis		0.0037431728214531	0.161921384243311	4.337059743305548	1.8394097351407943			sjogren_gland_epithelial:1.81,p=0.0037;ibd_uc_epithelial:4.34,p=0.0063;ibd_crohn_epithelial:3.79,p=0.011	False	0.2891316379039903	0.7323559303695486	0.0967712300030488	0.8989378106274888							5.5446481581119755	2.022324079055988	3.522324079055988	1.0	0.0	MS			False	True	0.0	14.2772324079056	True	positive_disease_count>=3_with_MS_anchor	found	P01903	HLA class II histocompatibility antigen, DR alpha chain	254.0	Autolysosome membrane;Cell membrane;Early endosome membrane;Endoplasmic reticulum membrane;Late endosome membrane;Lysosome membrane	3D-structure;Adaptive immunity;Cell membrane;Cytoplasmic vesicle;Direct protein sequencing;Disulfide bond;Endoplasmic reticulum;Endosome;Glycoprotein;Host-virus interaction;Immunity;Isopeptide bond;Lysosome;MHC II;Membrane;Proteomics identification;Reference proteome;Signal;Transmembrane;Transmembrane helix;Ubl conjugation	True	False	1.0		An alpha chain of antigen-presenting major histocompatibility complex class II (MHCII) molecule. In complex with the beta chain HLA-DRB, displays antigenic peptides on professional antigen presenting cells (APCs) for recognition by alpha-beta T cell receptor (TCR) on HLA-DR-restricted CD4-positive T cells. This guides antigen-specific T-helper effector functions, both antibody-mediated immune response and macrophage activation, to ultimately eliminate the infectious agents and transformed cells (PubMed:15265931, PubMed:15322540, PubMed:17334368, PubMed:22327072, PubMed:24190431, PubMed:27591323, PubMed:29884618, PubMed:31495665, PubMed:8145819, PubMed:9075930). Typically presents extracellul	state_positive_control	1.0	6.0	0.0	7.0	0.0	10.5	NO_GO	state-definition positive control, not dependency nomination																							https://patents.google.com/?q=HLA-DRA+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; core_machinery_or_hla_marker; reachable protein class by UniProt location/features; Wave15 residual state support in 7 diseases	13.75
APOL1	17	5	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0003577910696826	0.0417904697946241	2.8189585429046327	2.2257084457147083			ibd_uc_epithelial:2.82,p=0.00036;ibd_crohn_epithelial:1.76,p=0.011;psoriasis_skin_stromal:0.647,p=0.015;t1d_acinar_cell:1.69,p=0.028;t1d_ductal_cell:0.962,p=0.034	False	-0.1201588560224085	-0.2281927208994943	0.5940095372095473	0.9466965949245808															False	False	0.0	19.0	False	positive_disease_count>=4	found	O14791	Apolipoprotein L1	398.0	Secreted	3D-structure;Alternative splicing;Cholesterol metabolism;Direct protein sequencing;Disease variant;Glycoprotein;HDL;Lipid metabolism;Lipid transport;Phosphoprotein;Proteomics identification;Reference proteome;Secreted;Signal;Steroid metabolism;Sterol metabolism;Transport	True	False	0.0		May play a role in lipid exchange and transport throughout the body. May participate in reverse cholesterol transport from peripheral cells to the liver. A component of trypanosome lytic factor of human serum; plays a crucial role in killing Trypanosoma brucei by forming pores in parasite lysosomal membranes and sensitizing T.brucei to oxidation-stimulated osmotic lysis (PubMed:12621437, PubMed:16020735, PubMed:19997494, PubMed:26645690, PubMed:7723792)										found	CHEMBL4680021	Apolipoprotein L1	SINGLE PROTEIN	Homo sapiens	O14791	1.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=APOL1	593.0	100.0	95.0	250.0	250.0	"""APOL1"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	1672.0	"[{""doi"": ""10.1371/journal.pone.0339397"", ""id"": ""41481752"", ""source"": ""MED"", ""title"": ""Analysis of common differential gene expression between rheumatoid arthritis and ulcerative colitis."", ""year"": ""2026""}, {""doi"": null, ""id"": ""PMC12985002"", ""source"": ""PMC"", ""title"": ""Cultural Determinants of Chronic Disease Management: A Cross-Comparative Medical Review"", ""year"": ""2026""}, {""doi"": ""10.1007/s10067-025-07723-2"", ""id"": ""41205134"", ""source"": ""MED"", ""title"": ""Exploration of the shared gene signatures and potential molecular mechanisms between Crohn's disease and psoriasis."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22APOL1%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	APOL1 autoimmune	0.0	[]	https://clinicaltrials.gov/search?term=APOL1+autoimmune		https://patents.google.com/?q=APOL1+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; no_ms_anchor; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 593	13.5
METAP1	17	5	0	0	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.00542583745958	0.1988042459110889	1.43285268167042	1.3487355956724711			t1d_endothelial_cell:1.43,p=0.0054;t1d_stellate_cell:0.977,p=0.019;psoriasis_skin_stromal:0.658,p=0.026;ibd_uc_stromal:0.482,p=0.03;ibd_crohn_epithelial:0.354,p=0.033	False	0.1760880236986839	0.2515241789746114	0.5494103314772019	0.9390010612097776							1.2300076150470654	-0.2699923849529347	1.5	0.0	0.0				False	False	0.0	17.061500380752353	False	positive_disease_count>=4	found	P53582	Methionine aminopeptidase 1	386.0	Cytoplasm	3D-structure;Acetylation;Aminopeptidase;Cytoplasm;Hydrolase;Metal-binding;Protease;Proteomics identification;Reference proteome;Zinc;Zinc-finger	False	True	0.0	Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site	Cotranslationally removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val). Required for normal progression through the cell cycle										found	CHEMBL2474	Methionine aminopeptidase 1	SINGLE PROTEIN	Homo sapiens	P53582	2.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=METAP1	392.0	71.0	100.0	370.0	45000.0	"""METAP1"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	49.0	"[{""doi"": ""10.1002/advs.202508280"", ""id"": ""40642900"", ""source"": ""MED"", ""title"": ""Zinc Alleviates Gut Barrier Dysfunction by Promoting the Methylation of AKT."", ""year"": ""2025""}, {""doi"": null, ""id"": ""PMC11448958"", ""source"": ""PMC"", ""title"": ""Patent highlights October\u2013November 2023"", ""year"": null}, {""doi"": ""10.1165/rcmb.2024-0428oc"", ""id"": ""39836049"", ""source"": ""MED"", ""title"": ""Novel Sarcoidosis Epitope Augments MHCII, CD80, and CD86 Expression and Promotes B-Cell Differentiation and IgG Production."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22METAP1%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	METAP1 autoimmune	0.0	[]	https://clinicaltrials.gov/search?term=METAP1+autoimmune		https://patents.google.com/?q=METAP1+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; no_ms_anchor; not_surface_secreted_extracellular_by_uniprot; ChEMBL exact target found; ChEMBL activity records: 392	13.42
HLA-DMB	14	4	0	0	0	4	0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		0.0056942214139875	0.1739922960097122	2.6934554157152135	1.4946933161469054			sjogren_gland_epithelial:1.2,p=0.0057;ibd_uc_epithelial:2.69,p=0.0076;t1d_ductal_cell:2.04,p=0.021;ibd_crohn_epithelial:2.39,p=0.024	False	0.1259803949746825	0.1880976186072985	0.6648851015588776	0.9565589890801192															False	False	0.0	16.0	False	positive_disease_count>=4	found	P28068	HLA class II histocompatibility antigen, DM beta chain	263.0	Late endosome membrane;Lysosome membrane	3D-structure;Adaptive immunity;Disulfide bond;Endosome;Glycoprotein;Immunity;Immunoglobulin domain;Lysosome;MHC II;Membrane;Proteomics identification;Reference proteome;Signal;Transmembrane;Transmembrane helix	True	False	1.0		Plays a critical role in catalyzing the release of class II-associated invariant chain peptide (CLIP) from newly synthesized MHC class II molecules and freeing the peptide binding site for acquisition of antigenic peptides. In B-cells, the interaction between HLA-DM and MHC class II molecules is regulated by HLA-DO	hla_chaperone_loading	0.0	5.0	0.0	7.0	1.0	26.5	NO_GO	strong local state biology but weak direct druggability/tractable modulation	not_found_exact						20.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=HLA-DMB	0.0	0.0													https://patents.google.com/?q=HLA-DMB+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; no_ms_anchor; core_machinery_or_hla_marker; reachable protein class by UniProt location/features; Wave15 residual state support in 7 diseases	13.25
PKM	17	7	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0001061048032522	0.0250248385526533	1.1126863304662082	2.00625856059578			ibd_uc_epithelial:1.11,p=0.00011;psoriasis_keratinocyte:0.949,p=0.0034;ibd_crohn_epithelial:0.548,p=0.0065;psoriasis_skin_apc:0.542,p=0.017;ibd_uc_stromal:0.734,p=0.035;psoriasis_skin_stromal:0.582,p=0.041;t1d_endothelial_cell:1.05,p=0.042	False	0.2079528837975353	0.3734962823418621	0.3934173353018323	0.9157809859344704							1.728659970244652	0.1143299851223261	1.614329985122326	0.0	0.0				False	False	0.0	21.086432998512233	False	positive_disease_count>=4	found	P14618	Pyruvate kinase PKM	531.0	Cytoplasm;Nucleus	3D-structure;ATP-binding;Acetylation;Allosteric enzyme;Alternative splicing;Cytoplasm;Direct protein sequencing;Glycolysis;Hydroxylation;Isopeptide bond;Kinase;Magnesium;Metal-binding;Methylation;Nucleotide-binding;Nucleus;Phosphoprotein;Potassium;Proteomics identification;Pyruvate;Reference proteome;S-nitrosylation;Transferase;Translation regulation;Ubl conjugation	False	True	0.0	Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site	Catalyzes the final rate-limiting step of glycolysis by mediating the transfer of a phosphoryl group from phosphoenolpyruvate (PEP) to ADP, generating ATP (PubMed:15996096, PubMed:1854723, PubMed:20847263). The ratio between the highly active tetrameric form and nearly inactive dimeric form determines whether glucose carbons are channeled to biosynthetic processes or used for glycolytic ATP production (PubMed:15996096, PubMed:1854723, PubMed:20847263). The transition between the 2 forms contributes to the control of glycolysis and is important for tumor cell proliferation and survival (PubMed:15996096, PubMed:1854723, PubMed:20847263) Isoform specifically expressed during embryogenesis that 										found	CHEMBL1075189	Pyruvate kinase PKM	SINGLE PROTEIN	Homo sapiens	P14618	4.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PKM	14174.0	100.0	97.0	11.0	212.0	"""PKM"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	1191.0	"[{""doi"": ""10.3389/fendo.2024.1383221"", ""id"": ""39314521"", ""source"": ""MED"", ""title"": ""The association of common autoimmune diseases with autoimmune thyroiditis: a two-sample Mendelian randomization study."", ""year"": ""2024""}, {""doi"": ""10.2147/jir.s557806"", ""id"": ""41847428"", ""source"": ""MED"", ""title"": ""Identification and Validation of Key Purine Metabolism-Related Genes in Ulcerative Colitis Using Bioinformatics and Machine Learning."", ""year"": ""2026""}, {""doi"": ""10.1186/s43556-026-00472-x"", ""id"": ""42159990"", ""source"": ""MED"", ""title"": ""Lactate and lactylation: mechanisms, function, diseases, and therapeutic targets."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22PKM%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	PKM autoimmune	0.0	[]	https://clinicaltrials.gov/search?term=PKM+autoimmune		https://patents.google.com/?q=PKM+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; no_ms_anchor; not_surface_secreted_extracellular_by_uniprot; ChEMBL exact target found; ChEMBL activity records: 14174	13.0
CTSC	17	5	1	1	0	4	1	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	Crohn disease	0.0010153242877074	0.090244716408932	2.6990645030288647	2.4771358210281273	0.0104340680830563	-1.3581491108297463	ibd_crohn_epithelial:0.602,p=0.001;psoriasis_keratinocyte:2.7,p=0.0045;psoriasis_skin_stromal:0.803,p=0.0047;ibd_uc_epithelial:0.86,p=0.0052;t1d_endothelial_cell:1.42,p=0.018	False	0.0104805143281527	0.0292000491021733	0.9460810317140338	0.9944057947422876							0.8130529566079012	-0.6869470433920988	1.5	0.0	0.0				False	False	0.0	15.040652647830395	False	positive_disease_count>=4	found	P53634	Dipeptidyl peptidase 1	463.0	Lysosome	3D-structure;Alternative splicing;Chloride;Direct protein sequencing;Disease variant;Disulfide bond;Glycoprotein;Hydrolase;Lysosome;Palmoplantar keratoderma;Protease;Proteomics identification;Reference proteome;Signal;Thiol protease;Zymogen	False	True	0.0	Active site;Active site;Active site;Binding site;Binding site;Binding site	Thiol protease (PubMed:1586157). Has dipeptidylpeptidase activity (PubMed:1586157). Active against a broad range of dipeptide substrates composed of both polar and hydrophobic amino acids (PubMed:1586157). Proline cannot occupy the P1 position and arginine cannot occupy the P2 position of the substrate (PubMed:1586157). Can act as both an exopeptidase and endopeptidase (PubMed:1586157). Activates serine proteases such as elastase, cathepsin G and granzymes A and B (PubMed:8428921)										found	CHEMBL2252	Dipeptidyl peptidase 1	SINGLE PROTEIN	Homo sapiens	P53634	5.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CTSC	2383.0	100.0	88.0	0.0	472.5										https://patents.google.com/?q=CTSC+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; no_ms_anchor; not_surface_secreted_extracellular_by_uniprot; directional_negative_disease_signal; ChEMBL exact target found; ChEMBL activity records: 2383	13.0
