gene	wave34_score	wave34_call	failed_gates	gwas_catalog_trait_count	gwas_catalog_min_p	gwas_catalog_traits	local_positive_disease_count	local_negative_disease_count	positive_diseases	residual_retained_disease_count	ms_anchor	ms_wm_delta_log2	ms_wm_p	genetics_ready_score	ot_n_diseases_score_ge_0_5	gtex_n_relevant_tissues_with_significant_cis_eqtl	druggable_activity_count	chembl_target_id	chembl_pref_name	chembl_target_type	chembl_best_nM	clinicaltrials_autoimmune_count	europepmc_autoimmune_hit_count	perturbation_or_model_support	foundation_rescue_recommendation	foundation_real_perturbation_alignment_call	manual_blocker_class	manual_blocker_text_wave34	proxy_call	primary_blocker
FADS1	19.5	PARK_GENETIC_DRUGGABLE_NEEDS_CELL_STATE	gate_local_cell_state;gate_perturbation_or_model	9	8e-16	Atopic dermatitis;Bipolar disorder or inflammatory bowel disease (MTAG);Crohn's disease;Hypothyroidism or rheumatoid arthritis (pleiotropy);Inflammatory bowel disease;Rheumatoid arthritis;Type 1 diabetes;Ulcerative colitis;Vitiligo	2.0	0.0	psoriasis;ulcerative colitis	0.0	False	-0.5582998002248747	0.0302817182679143				61.0	CHEMBL5840	Acyl-CoA (8-3)-desaturase	SINGLE PROTEIN	0.52	0.0	840.0	False						
FADS2	18.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	10	2e-16	Atopic dermatitis;Bipolar disorder or Crohn's disease (MTAG);Bipolar disorder or inflammatory bowel disease (MTAG);Crohn's disease;Hypothyroidism or rheumatoid arthritis (pleiotropy);Inflammatory bowel disease;Rheumatoid arthritis;Type 1 diabetes;Ulcerative colitis;Vitiligo	2.0	0.0	Crohn disease;ulcerative colitis	0.0	False	-1.511731792716413	0.1303764679615833				0.0	CHEMBL6097	Acyl-CoA 6-desaturase	SINGLE PROTEIN		0.0	902.0	False						
FADS3	1.2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	1	2e-08	Rheumatoid arthritis	0.0	1.0		0.0	False	-0.4647765054188522	0.2561536269226456				0.0					0.0	0.0	False						
