gene	screen_call	median_efficient_minus_noneater_lfc	n_sgrna	efficient_fdr	contrast_fdr	reopener_score	reopener_call	positive_disease_count	negative_disease_count	positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	opentargets_max_genetic_association	opentargets_disease_count	residual_retained_disease_count	strict_core_covariate_surviving_disease_count	top_retained_tests	wave34_call	gwas_catalog_trait_count	chembl_target_id	chembl_best_nM	druggable_activity_count	efferocytosis_screen_call	efferocytosis_median_efficient_minus_noneater_lfc	efferocytosis_contrast_fdr	geneformer_model_support_pass	wave57_call
STARD5	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.4749259401880717	4	0.8221627590893646	0.920009505703422	1.9749259401880717	NO_GO_EFFEROCYTOSIS_ONLY	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.3405236664023316	0.2090343477941671	0.8993702893651148	0.0	0.0	0.0	0.0			0.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.4749259401880717	0.920009505703422	False	
NKAIN2	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.917538115831697	4	0.8221627590893646	0.920009505703422	1.917538115831697	NO_GO_EFFEROCYTOSIS_ONLY	0.0	0.0		0.1459157680322858	0.8993021428533917	0.9847461495953936	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.917538115831697	0.920009505703422	False	
SAA1	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.3879955833673697	4	0.8221627590893646	0.920009505703422	1.8879955833673696	NO_GO_EFFEROCYTOSIS_ONLY	4.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	0.0	1.0	1.0	0.0	0.0	1.0	0.0	ibd_uc_epithelial|complement_phagocytosis:3.14,p=0.0011;ibd_uc_epithelial|lysosomal_apc:3.2,p=0.0092;ibd_uc_epithelial|lipid_loader_repair:2.97,p=0.029;ibd_uc_epithelial|core_lysosomal_lipid:2.36,p=0.034		0.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.3879955833673697	0.920009505703422	False	
TRIM46	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.8291055128406355	4	0.8221627590893646	0.920009505703422	1.8291055128406355	NO_GO_EFFEROCYTOSIS_ONLY	0.0	0.0		-0.6632328513969799	0.5429054647201933	0.9390010612097776	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.8291055128406355	0.920009505703422	False	
PLLP	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.8004670765727546	3	0.8221627590893646	0.920009505703422	1.8004670765727546	NO_GO_EFFEROCYTOSIS_ONLY	0.0	1.0		-0.401151847235722	0.7092657869613989	0.9669212366619434	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.8004670765727546	0.920009505703422	False	
ZMYM3	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.2999340667456873	4	0.8221627590893646	0.9971256078463696	1.7999340667456873	NO_GO_EFFEROCYTOSIS_ONLY	3.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus	0.1245559979250661	0.6271183947661418	0.9496514626470688	0.0	0.0	0.0	0.0			0.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.2999340667456873	0.9971256078463696	False	
AHCTF1	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.768308361290408	3	0.8221627590893646	0.920009505703422	1.768308361290408	NO_GO_EFFEROCYTOSIS_ONLY	0.0	0.0		0.3408473138799657	0.049567863682125	0.8766654477139005	0.0	0.0	0.0	0.0			0.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.768308361290408	0.920009505703422	False	
LRRC7	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.7569214561782507	4	0.8221627590893646	0.920009505703422	1.7569214561782507	NO_GO_EFFEROCYTOSIS_ONLY	1.0	1.0	type 1 diabetes mellitus	0.0	1.0	1.0	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.7569214561782507	0.920009505703422	False	
CENPF	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.2509859056205665	4	0.8221627590893646	0.9965506589785832	1.7509859056205666	NO_GO_EFFEROCYTOSIS_ONLY	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis	0.9442555978549034	0.2196408882425368	0.8993702893651148	0.0	0.0	0.0	0.0			0.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.2509859056205665	0.9965506589785832	False	
CD9	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.7466880318269618	4	1.0	1.0	1.7466880318269618	NO_GO_EFFEROCYTOSIS_ONLY	0.0	2.0		1.1100295973517351	0.0019686305906988	0.8344760564031432	0.0	0.0	0.0	0.0			0.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.7466880318269618	1.0	False	
