compartment	qc_feature	raw_auc	raw_exact_p	qc_feature_auc	qc_feature_exact_p	spearman_ifn_qc	residualized_auc	residualized_exact_p	attenuation
b_plasma_like	median_pct_mito	1.0	0.02857142857142857	0.9375	0.05714285714285714	-0.7380952380952381	0.6875	0.4857142857142857	0.3125
b_plasma_like	mean_pct_mito	1.0	0.02857142857142857	1.0	0.02857142857142857	-0.8333333333333335	0.6875	0.4857142857142857	0.3125
b_plasma_like	n_barcodes	1.0	0.02857142857142857	0.625	0.6857142857142857	0.19047619047619052	0.9375	0.05714285714285714	0.0625
b_plasma_like	median_umi	1.0	0.02857142857142857	0.6875	0.4857142857142857	0.14285714285714288	1.0	0.02857142857142857	0.0
b_plasma_like	mean_umi	1.0	0.02857142857142857	0.75	0.34285714285714286	0.2380952380952381	1.0	0.02857142857142857	0.0
epithelial_like	mean_pct_mito	1.0	0.02857142857142857	1.0	0.02857142857142857	-0.8095238095238096	0.6875	0.4857142857142857	0.3125
epithelial_like	median_pct_mito	1.0	0.02857142857142857	0.9375	0.05714285714285714	-0.6428571428571429	0.75	0.34285714285714286	0.25
epithelial_like	n_barcodes	1.0	0.02857142857142857	0.625	0.6857142857142857	0.19047619047619052	1.0	0.02857142857142857	0.0
epithelial_like	median_umi	1.0	0.02857142857142857	0.6875	0.4857142857142857	0.04761904761904763	1.0	0.02857142857142857	0.0
epithelial_like	mean_umi	1.0	0.02857142857142857	0.75	0.34285714285714286	0.30952380952380953	1.0	0.02857142857142857	0.0
myeloid_apc_like	mean_pct_mito	1.0	0.02857142857142857	1.0	0.02857142857142857	-0.6904761904761906	0.5625	0.8857142857142857	0.4375
myeloid_apc_like	median_pct_mito	1.0	0.02857142857142857	0.9375	0.05714285714285714	-0.523809523809524	0.75	0.34285714285714286	0.25
myeloid_apc_like	n_barcodes	1.0	0.02857142857142857	0.625	0.6857142857142857	0.4285714285714286	0.9375	0.05714285714285714	0.0625
myeloid_apc_like	median_umi	1.0	0.02857142857142857	0.6875	0.4857142857142857	-0.04761904761904763	1.0	0.02857142857142857	0.0
myeloid_apc_like	mean_umi	1.0	0.02857142857142857	0.75	0.34285714285714286	0.19047619047619052	1.0	0.02857142857142857	0.0
stromal_endothelial_like	mean_pct_mito	0.875	0.11428571428571428	1.0	0.02857142857142857	-0.3571428571428572	0.5625	0.8857142857142857	0.3125
stromal_endothelial_like	median_pct_mito	0.875	0.11428571428571428	0.9375	0.05714285714285714	-0.2142857142857143	0.625	0.6857142857142857	0.25
stromal_endothelial_like	n_barcodes	0.875	0.11428571428571428	0.625	0.6857142857142857	-0.09523809523809526	0.8125	0.2	0.0625
stromal_endothelial_like	mean_umi	0.875	0.11428571428571428	0.75	0.34285714285714286	0.7619047619047621	0.8125	0.2	0.0625
stromal_endothelial_like	median_umi	0.875	0.11428571428571428	0.6875	0.4857142857142857	0.3571428571428572	0.9375	0.05714285714285714	-0.0625
t_cell_like	mean_pct_mito	1.0	0.02857142857142857	1.0	0.02857142857142857	-0.7142857142857144	0.75	0.34285714285714286	0.25
t_cell_like	median_pct_mito	1.0	0.02857142857142857	0.9375	0.05714285714285714	-0.5714285714285715	0.8125	0.2	0.1875
t_cell_like	mean_umi	1.0	0.02857142857142857	0.75	0.34285714285714286	0.2142857142857143	0.9375	0.05714285714285714	0.0625
t_cell_like	n_barcodes	1.0	0.02857142857142857	0.625	0.6857142857142857	0.3333333333333334	1.0	0.02857142857142857	0.0
t_cell_like	median_umi	1.0	0.02857142857142857	0.6875	0.4857142857142857	-0.09523809523809526	1.0	0.02857142857142857	0.0
